Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 08:21:25')
***MACCDC1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.015832497971132398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014132210984826088, model_test_time: 0.0017002869863063097
Total test time: 0.013610298978164792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012080581160262227, model_test_time: 0.001529717817902565
Total test time: 0.013541450258344412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012013306142762303, model_test_time: 0.0015281441155821085
Total test time: 0.013583079213276505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012061248999089003, model_test_time: 0.0015218302141875029
Total test time: 0.013562932144850492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012035490944981575, model_test_time: 0.0015274411998689175
Total test time: 0.013482672860845923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011947528924793005, model_test_time: 0.0015351439360529184
Total test time: 0.013527191011235118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011998638976365328, model_test_time: 0.00152855203486979
Total test time: 0.013716481160372496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01218304131180048, model_test_time: 0.0015334398485720158
Total test time: 0.01369611220434308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012164524057880044, model_test_time: 0.0015315881464630365
Total test time: 0.015470934798941016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013312399853020906, model_test_time: 0.0021585349459201097
Total test time: 0.018862528493627906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016649922356009483, model_test_time: 0.0022126061376184225
Total test time: 0.01880667801015079 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016642550937831402, model_test_time: 0.0021641270723193884
Total test time: 0.018875213339924812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016715235309675336, model_test_time: 0.0021599780302494764
Total test time: 0.015547154005616903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014021768933162093, model_test_time: 0.0015253850724548101
Total test time: 0.013506894232705235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01197256613522768, model_test_time: 0.0015343280974775553
Total test time: 0.01354848500341177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012016527121886611, model_test_time: 0.0015319578815251589
Total test time: 0.013505893992260098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01197493588551879, model_test_time: 0.0015309581067413092
Total test time: 0.013612872920930386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012085044058039784, model_test_time: 0.0015278288628906012
Total test time: 0.01428931811824441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012140912935137749, model_test_time: 0.002148405183106661
Total test time: 0.01888556405901909 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667427201755345, model_test_time: 0.00221129204146564
***1_th repeat
