Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 01:55:53')
***MACCDC1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.004263167502358556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0036179423332214355, model_test_time: 0.0006452251691371202
Total test time: 0.0017941188998520374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011431269813328981, model_test_time: 0.0006509919185191393
Total test time: 0.0017003761604428291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009951761458069086, model_test_time: 0.0007052000146359205
Total test time: 0.0033593650441616774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0029645480681210756, model_test_time: 0.00039481697604060173
Total test time: 0.0020308122038841248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014887601137161255, model_test_time: 0.0005420520901679993
Total test time: 0.00839068228378892 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.007083533331751823, model_test_time: 0.001307148952037096
Total test time: 0.0015076142735779285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011049311142414808, model_test_time: 0.0004026831593364477
Total test time: 0.0015960198361426592 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011672449763864279, model_test_time: 0.0004287748597562313
Total test time: 0.0028108591213822365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022558430209755898, model_test_time: 0.0005550161004066467
Total test time: 0.001216307980939746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008622677996754646, model_test_time: 0.00035404018126428127
Total test time: 0.0011663190089166164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008297502063214779, model_test_time: 0.00033656880259513855
Total test time: 0.0012101070024073124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008341048378497362, model_test_time: 0.0003760021645575762
Total test time: 0.00114150601439178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000822972971946001, model_test_time: 0.00031853304244577885
