Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-01 01:55:47')
***MACCDC1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.006758023286238313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004818333312869072, model_test_time: 0.0019396899733692408
Total test time: 0.002955673262476921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012350091710686684, model_test_time: 0.0017206640914082527
Total test time: 0.007286624517291784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004807301331311464, model_test_time: 0.00247932318598032
Total test time: 0.002886412898078561 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001581838121637702, model_test_time: 0.0013045747764408588
Total test time: 0.0027787056751549244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010967848356813192, model_test_time: 0.0016819208394736052
Total test time: 0.0029719527810811996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015396508388221264, model_test_time: 0.0014323019422590733
Total test time: 0.0021164817735552788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000924629857763648, model_test_time: 0.0011918519157916307
Total test time: 0.0021950271911919117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008644112385809422, model_test_time: 0.0013306159526109695
Total test time: 0.0023399789351969957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008341539651155472, model_test_time: 0.0015058249700814486
Total test time: 0.0029853987507522106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017050998285412788, model_test_time: 0.0012802989222109318
Total test time: 0.001965590985491872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008638498838990927, model_test_time: 0.0011017411015927792
Total test time: 0.0019109598360955715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008487049490213394, model_test_time: 0.001062254887074232
Total test time: 0.0028211891185492277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012562840711325407, model_test_time: 0.001564905047416687
Total test time: 0.00372244231402874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0025162522215396166, model_test_time: 0.0012061900924891233
Total test time: 0.001973428064957261 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008357279002666473, model_test_time: 0.0011377001646906137
Total test time: 0.0018785090651363134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008263140916824341, model_test_time: 0.0010521949734538794
Total test time: 0.002777647925540805 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014653669204562902, model_test_time: 0.0013122810050845146
Total test time: 0.0027406460139900446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001318235183134675, model_test_time: 0.0014224108308553696
Total test time: 0.002699812175706029 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009629952255636454, model_test_time: 0.0017368169501423836
Total test time: 0.0032372341956943274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013692171778529882, model_test_time: 0.0018680170178413391
***1_th repeat
Total test time: 0.0027667947579175234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001518363831564784, model_test_time: 0.0012484309263527393
Total test time: 0.0023664189502596855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013608839362859726, model_test_time: 0.001005535013973713
Total test time: 0.0030407432932406664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016332801897078753, model_test_time: 0.0014074631035327911
Total test time: 0.00223974185064435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012377358507364988, model_test_time: 0.0010020059999078512
Total test time: 0.004680640297010541 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016324201133102179, model_test_time: 0.003048220183700323
Total test time: 0.0017489222809672356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009684150572866201, model_test_time: 0.0007805072236806154
Total test time: 0.002427313243970275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014591130893677473, model_test_time: 0.0009682001546025276
Total test time: 0.0028764596208930016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013472128193825483, model_test_time: 0.0015292468015104532
Total test time: 0.002164550358429551 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001099474262446165, model_test_time: 0.001065076095983386
Total test time: 0.0018696573097258806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008867161814123392, model_test_time: 0.0009829411283135414
Total test time: 0.0024256862234324217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016703822184354067, model_test_time: 0.000755304004997015
Total test time: 0.0027256051544100046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012845189776271582, model_test_time: 0.0014410861767828465
Total test time: 0.001786935143172741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010378691367805004, model_test_time: 0.0007490660063922405
Total test time: 0.0017895307391881943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008344929665327072, model_test_time: 0.0009550377726554871
Total test time: 0.0017629081849008799 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010436400771141052, model_test_time: 0.0007192681077867746
Total test time: 0.0036406347062438726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002522219903767109, model_test_time: 0.0011184148024767637
Total test time: 0.001990335760638118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012260829098522663, model_test_time: 0.0007642528507858515
Total test time: 0.001591698732227087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008831147570163012, model_test_time: 0.0007085839752107859
Total test time: 0.0024803292471915483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009752381592988968, model_test_time: 0.0015050910878926516
Total test time: 0.0026500411331653595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011466611176729202, model_test_time: 0.0015033800154924393
***2_th repeat
Total test time: 0.0039253830909729 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014830098953098059, model_test_time: 0.0024423731956630945
