Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-01 01:55:57')
***MACCDC1, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.014768590219318867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013675913913175464, model_test_time: 0.001092676306143403
Total test time: 0.0033599587623029947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014705397188663483, model_test_time: 0.0018894190434366465
Total test time: 0.0055970491375774145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004657170036807656, model_test_time: 0.0009398791007697582
Total test time: 0.007100143702700734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0052444408647716045, model_test_time: 0.0018557028379291296
Total test time: 0.0017127718310803175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010946339461952448, model_test_time: 0.0006181378848850727
Total test time: 0.0019621658138930798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013561258092522621, model_test_time: 0.0006060400046408176
Total test time: 0.0019155037589371204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001033583888784051, model_test_time: 0.0008819198701530695
Total test time: 0.0023950792383402586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016018820460885763, model_test_time: 0.0007931971922516823
Total test time: 0.0032065859995782375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002523604081943631, model_test_time: 0.0006829819176346064
Total test time: 0.0029660880099982023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00218337494879961, model_test_time: 0.0007827130611985922
Total test time: 0.002292957389727235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015580551698803902, model_test_time: 0.0007349022198468447
Total test time: 0.0017642357852309942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012250568252056837, model_test_time: 0.0005391789600253105
Total test time: 0.0027515077963471413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020682646427303553, model_test_time: 0.000683243153616786
Total test time: 0.002074373187497258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015392419882118702, model_test_time: 0.000535131199285388
Total test time: 0.0014915468636900187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009850249625742435, model_test_time: 0.0005065219011157751
