Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-01 08:23:05')
***MACCDC1, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01637184899300337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014216497773304582, model_test_time: 0.0021553512196987867
Total test time: 0.014124832581728697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012104922672733665, model_test_time: 0.0020199099089950323
Total test time: 0.014009148813784122 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012040775967761874, model_test_time: 0.0019683728460222483
Total test time: 0.0140328339766711 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012063014786690474, model_test_time: 0.001969819189980626
Total test time: 0.013923653168603778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011965945130214095, model_test_time: 0.0019577080383896828
Total test time: 0.013896412448957562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011929815402254462, model_test_time: 0.0019665970467031
Total test time: 0.013907654909417033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011938261799514294, model_test_time: 0.0019693931099027395
Total test time: 0.01386274816468358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011896761832758784, model_test_time: 0.001965986331924796
Total test time: 0.013917024014517665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011953908950090408, model_test_time: 0.0019631150644272566
Total test time: 0.013935911003500223 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011961556039750576, model_test_time: 0.001974354963749647
Total test time: 0.013875542907044291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011924131074920297, model_test_time: 0.0019514118321239948
Total test time: 0.01397102139890194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012009462341666222, model_test_time: 0.0019615590572357178
Total test time: 0.019474859349429607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663137716241181, model_test_time: 0.0028434821870177984
Total test time: 0.0194314899854362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663795206695795, model_test_time: 0.0027935379184782505
Total test time: 0.019460192881524563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016688987845554948, model_test_time: 0.002771205035969615
Total test time: 0.01948000700213015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01661558193154633, model_test_time: 0.0028644250705838203
Total test time: 0.019394379807636142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016594731016084552, model_test_time: 0.00279964879155159
Total test time: 0.019394065253436565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660365704447031, model_test_time: 0.002790408208966255
Total test time: 0.019356510136276484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01655741687864065, model_test_time: 0.002799093257635832
Total test time: 0.0174186360090971 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015462891198694706, model_test_time: 0.0019557448104023933
***1_th repeat
Total test time: 0.014381750952452421 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012384840752929449, model_test_time: 0.001996910199522972
Total test time: 0.014010224724188447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012095348909497261, model_test_time: 0.001914875814691186
Total test time: 0.0139508000575006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012025127885863185, model_test_time: 0.0019256721716374159
Total test time: 0.013958986848592758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012036776868626475, model_test_time: 0.0019222099799662828
Total test time: 0.013984189601615071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012074480764567852, model_test_time: 0.0019097088370472193
Total test time: 0.01394283794797957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01200705487281084, model_test_time: 0.0019357830751687288
Total test time: 0.01395589322783053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012024073163047433, model_test_time: 0.0019318200647830963
Total test time: 0.0139223572332412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012001666240394115, model_test_time: 0.001920690992847085
Total test time: 0.013963410630822182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012027461780235171, model_test_time: 0.0019359488505870104
Total test time: 0.01397818815894425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012060813140124083, model_test_time: 0.0019173750188201666
Total test time: 0.019483431242406368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016746207140386105, model_test_time: 0.0027372241020202637
Total test time: 0.019537003943696618 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016713670920580626, model_test_time: 0.0028233330231159925
Total test time: 0.01947093242779374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016735152574256063, model_test_time: 0.0027357798535376787
Total test time: 0.017971250228583813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016049394151195884, model_test_time: 0.001921856077387929
Total test time: 0.0140074472874403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01209062710404396, model_test_time: 0.0019168201833963394
Total test time: 0.01404340984299779 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012122144922614098, model_test_time: 0.0019212649203836918
Total test time: 0.01407200051471591 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012150439666584134, model_test_time: 0.0019215608481317759
Total test time: 0.014057482359930873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012083034263923764, model_test_time: 0.0019744480960071087
Total test time: 0.014611800666898489 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01202544174157083, model_test_time: 0.0025863589253276587
Total test time: 0.01954035717062652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01680235401727259, model_test_time: 0.0027380031533539295
***2_th repeat
Total test time: 0.01933980593457818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016493899980559945, model_test_time: 0.002845905954018235
Total test time: 0.019656908931210637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679283590056002, model_test_time: 0.0028640730306506157
Total test time: 0.01963179837912321 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016793799120932817, model_test_time: 0.0028379992581903934
Total test time: 0.01968290819786489 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01676078117452562, model_test_time: 0.0029221270233392715
Total test time: 0.019716519862413406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01686840900219977, model_test_time: 0.0028481108602136374
Total test time: 0.019766890443861485 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016922927228733897, model_test_time: 0.0028439632151275873
Total test time: 0.019682095386087894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685072435066104, model_test_time: 0.002831371035426855
Total test time: 0.019729666877537966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016808337066322565, model_test_time: 0.0029213298112154007
Total test time: 0.01968396408483386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016839687013998628, model_test_time: 0.0028442770708352327
Total test time: 0.01972855464555323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01688331482000649, model_test_time: 0.0028452398255467415
Total test time: 0.01967376214452088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016838021110743284, model_test_time: 0.0028357410337775946
Total test time: 0.019712760113179684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016804652055725455, model_test_time: 0.0029081080574542284
