Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-01 08:19:32')
***MACCDC1, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.022227729205042124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019227017415687442, model_test_time: 0.003000711789354682
Total test time: 0.01948799192905426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016701848013326526, model_test_time: 0.0027861439157277346
Total test time: 0.0194402695633471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01662608957849443, model_test_time: 0.0028141799848526716
Total test time: 0.01868814299814403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016658644890412688, model_test_time: 0.0020294981077313423
Total test time: 0.013947314349934459 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011965851299464703, model_test_time: 0.001981463050469756
Total test time: 0.013914055889472365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011944666039198637, model_test_time: 0.0019693898502737284
Total test time: 0.013833464123308659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011854629963636398, model_test_time: 0.0019788341596722603
Total test time: 0.013806428527459502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011821853695437312, model_test_time: 0.00198457483202219
Total test time: 0.013855055905878544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011860889848321676, model_test_time: 0.0019941660575568676
Total test time: 0.01938266004435718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656425790861249, model_test_time: 0.002818402135744691
Total test time: 0.01945506688207388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016545388847589493, model_test_time: 0.0029096780344843864
Total test time: 0.01940669841133058 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016587610356509686, model_test_time: 0.002819088054820895
Total test time: 0.019461287884041667 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016642922768369317, model_test_time: 0.00281836511567235
Total test time: 0.01943836431019008 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016555314185097814, model_test_time: 0.002883050125092268
Total test time: 0.019408956868574023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01658703596331179, model_test_time: 0.002821920905262232
Total test time: 0.019364827778190374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016544481739401817, model_test_time: 0.002820346038788557
Total test time: 0.017061022575944662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015012505929917097, model_test_time: 0.002048516646027565
Total test time: 0.014001220231875777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011966296005994081, model_test_time: 0.0020349242258816957
Total test time: 0.013977941824123263 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012004515854641795, model_test_time: 0.001973425969481468
Total test time: 0.013904888182878494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01193103613331914, model_test_time: 0.0019738520495593548
***1_th repeat
Total test time: 0.01443011499941349 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012334099039435387, model_test_time: 0.0020960159599781036
Total test time: 0.01532121910713613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01236182008869946, model_test_time: 0.0029593990184366703
Total test time: 0.01965130097232759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01677447371184826, model_test_time: 0.002876827260479331
Total test time: 0.01963517302647233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016761641949415207, model_test_time: 0.002873531077057123
Total test time: 0.0195964511949569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016710347263142467, model_test_time: 0.002886103931814432
Total test time: 0.0195760081987828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166116280015558, model_test_time: 0.002964380197227001
Total test time: 0.019610245944932103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01671514194458723, model_test_time: 0.0028951040003448725
Total test time: 0.019589507021009922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016701624961569905, model_test_time: 0.0028878820594400167
Total test time: 0.01959745236672461 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016708922339603305, model_test_time: 0.0028885300271213055
Total test time: 0.01971726189367473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01675188192166388, model_test_time: 0.002965379972010851
Total test time: 0.019713134970515966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016830048989504576, model_test_time: 0.0028830859810113907
Total test time: 0.019634191878139973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016755456803366542, model_test_time: 0.002878735074773431
Total test time: 0.01870997529476881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166933280415833, model_test_time: 0.0020166472531855106
Total test time: 0.014065605122596025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012048755073919892, model_test_time: 0.002016850048676133
Total test time: 0.014083104906603694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01205830997787416, model_test_time: 0.002024794928729534
Total test time: 0.014078234089538455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012045772979035974, model_test_time: 0.0020324611105024815
Total test time: 0.014200417324900627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012096995022147894, model_test_time: 0.0021034223027527332
