Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-01 08:25:59')
***MACCDC1, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.016392678022384644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014034737134352326, model_test_time: 0.002357940888032317
Total test time: 0.013910223497077823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01171733415685594, model_test_time: 0.002192889340221882
Total test time: 0.013965628575533628 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011764609720557928, model_test_time: 0.0022010188549757004
Total test time: 0.013920183992013335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011719017988070846, model_test_time: 0.0022011660039424896
Total test time: 0.014025403186678886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011820441111922264, model_test_time: 0.0022049620747566223
Total test time: 0.013912091730162501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011703221825882792, model_test_time: 0.002208869904279709
Total test time: 0.01394214783795178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011728832963854074, model_test_time: 0.002213314874097705
Total test time: 0.013913112226873636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01170216710306704, model_test_time: 0.002210945123806596
Total test time: 0.013902130769565701 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011651834705844522, model_test_time: 0.00225029606372118
Total test time: 0.014023145893588662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01175155583769083, model_test_time: 0.002271590055897832
Total test time: 0.013961571734398603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011700869770720601, model_test_time: 0.0022607019636780024
Total test time: 0.01394129591062665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011675463989377022, model_test_time: 0.002265831921249628
