Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:28:03')
***MACCDC1, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.022542071994394064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01779187493957579, model_test_time: 0.004750197054818273
Total test time: 0.021316621219739318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016728530172258615, model_test_time: 0.004588091047480702
Total test time: 0.02126834401860833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01673780824057758, model_test_time: 0.004530535778030753
Total test time: 0.019824990071356297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016719567123800516, model_test_time: 0.0031054229475557804
Total test time: 0.015244158916175365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012122496031224728, model_test_time: 0.003121662884950638
Total test time: 0.015307641122490168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012119089951738715, model_test_time: 0.0031885511707514524
Total test time: 0.015233528800308704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012082884786650538, model_test_time: 0.003150644013658166
Total test time: 0.015241584042087197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0120798300486058, model_test_time: 0.0031617539934813976
Total test time: 0.016949597978964448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012487394269555807, model_test_time: 0.004462203709408641
Total test time: 0.021204364020377398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016746714944019914, model_test_time: 0.004457649076357484
Total test time: 0.021253325510770082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016719845589250326, model_test_time: 0.004533479921519756
Total test time: 0.02124773128889501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016719436272978783, model_test_time: 0.004528295015916228
Total test time: 0.021233733743429184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016707920003682375, model_test_time: 0.004525813739746809
Total test time: 0.021322064101696014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016713771037757397, model_test_time: 0.004608293063938618
Total test time: 0.021335526136681437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016801379155367613, model_test_time: 0.004534146981313825
Total test time: 0.019252985948696733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016148359049111605, model_test_time: 0.003104626899585128
Total test time: 0.015116403112187982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012022110167890787, model_test_time: 0.0030942929442971945
Total test time: 0.015115346992388368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012033182894811034, model_test_time: 0.0030821640975773335
Total test time: 0.015115033136680722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012024202151224017, model_test_time: 0.003090830985456705
Total test time: 0.015212399885058403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01205683103762567, model_test_time: 0.0031555688474327326
***1_th repeat
Total test time: 0.019098544027656317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015145475743338466, model_test_time: 0.003953068284317851
Total test time: 0.020854241913184524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01693589403294027, model_test_time: 0.003918347880244255
Total test time: 0.02088450128212571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016960024135187268, model_test_time: 0.003924477146938443
Total test time: 0.020774279022589326 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016793378861621022, model_test_time: 0.003980900160968304
Total test time: 0.02095503592863679 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016968782991170883, model_test_time: 0.003986252937465906
Total test time: 0.020847632084041834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685806387104094, model_test_time: 0.003989568213000894
Total test time: 0.02092420239932835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016942986520007253, model_test_time: 0.003981215879321098
Total test time: 0.02086679683998227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01693326490931213, model_test_time: 0.003933531930670142
Total test time: 0.02083655819296837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01691465498879552, model_test_time: 0.00392190320417285
Total test time: 0.020889204693958163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016969912685453892, model_test_time: 0.0039192920085042715
Total test time: 0.020813687006011605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01688428525812924, model_test_time: 0.003929401747882366
Total test time: 0.014934111153706908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012202493147924542, model_test_time: 0.002731618005782366
Total test time: 0.014911462785676122 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012194159673526883, model_test_time: 0.0027173031121492386
Total test time: 0.0149324641097337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012209883192554116, model_test_time: 0.0027225809171795845
Total test time: 0.01496773911640048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012240141164511442, model_test_time: 0.002727597951889038
Total test time: 0.01481957733631134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012117292266339064, model_test_time: 0.0027022850699722767
Total test time: 0.02087090816348791 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016944635193794966, model_test_time: 0.0039262729696929455
