Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(full)', time='2021-04-01 08:21:30')
***MACCDC1, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.015756277833133936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014099489897489548, model_test_time: 0.0016567879356443882
Total test time: 0.0135412837844342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012013213941827416, model_test_time: 0.001528069842606783
Total test time: 0.013484339229762554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969881132245064, model_test_time: 0.0015144580975174904
Total test time: 0.013554506003856659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012025768868625164, model_test_time: 0.001528737135231495
Total test time: 0.013515005819499493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012009416706860065, model_test_time: 0.0015055891126394272
Total test time: 0.013733426108956337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012211004039272666, model_test_time: 0.001522422069683671
Total test time: 0.013692335691303015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969955638051033, model_test_time: 0.0017223800532519817
Total test time: 0.018839104333892465 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016695939004421234, model_test_time: 0.0021431653294712305
Total test time: 0.018949766876176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016808971762657166, model_test_time: 0.002140795113518834
Total test time: 0.01887050992809236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016726271016523242, model_test_time: 0.0021442389115691185
Total test time: 0.017875666730105877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016361614922061563, model_test_time: 0.0015140518080443144
Total test time: 0.013518246822059155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011986287776380777, model_test_time: 0.0015319590456783772
Total test time: 0.0135444151237607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012029177974909544, model_test_time: 0.0015152371488511562
Total test time: 0.013494209852069616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011979269096627831, model_test_time: 0.0015149407554417849
Total test time: 0.013558875070884824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012034212937578559, model_test_time: 0.0015246621333062649
Total test time: 0.013606041204184294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012085063150152564, model_test_time: 0.0015209780540317297
Total test time: 0.01890052924863994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016747254179790616, model_test_time: 0.002153275068849325
Total test time: 0.018955786246806383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016807547071948647, model_test_time: 0.0021482391748577356
Total test time: 0.018873768858611584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016739103943109512, model_test_time: 0.0021346649155020714
Total test time: 0.019096801057457924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016879471018910408, model_test_time: 0.002217330038547516
***1_th repeat
Total test time: 0.019357921788468957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017184128751978278, model_test_time: 0.002173793036490679
Total test time: 0.01902535860426724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016867916798219085, model_test_time: 0.002157441806048155
Total test time: 0.018943618051707745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016781749902293086, model_test_time: 0.0021618681494146585
Total test time: 0.016339726513251662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014800786273553967, model_test_time: 0.0015389402396976948
Total test time: 0.013557539787143469 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012030804762616754, model_test_time: 0.0015267350245267153
Total test time: 0.013617521850392222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012084674090147018, model_test_time: 0.001532847760245204
Total test time: 0.013586929999291897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012061581946909428, model_test_time: 0.0015253480523824692
Total test time: 0.013642872916534543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212097005918622, model_test_time: 0.0015219028573483229
