Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:29:15')
***MACCDC1, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.045429403660818934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014324980787932873, model_test_time: 0.03110442287288606
Total test time: 0.043477082159370184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012058630120009184, model_test_time: 0.031418452039361
Total test time: 0.044479796662926674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012037944747135043, model_test_time: 0.03244185191579163
Total test time: 0.05339465197175741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016837492818012834, model_test_time: 0.03655715915374458
Total test time: 0.04842673731036484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016769495327025652, model_test_time: 0.03165724198333919
Total test time: 0.04362763394601643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012159369885921478, model_test_time: 0.03146826406009495
Total test time: 0.04786038212478161 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012118518119677901, model_test_time: 0.03574186400510371
Total test time: 0.05369401699863374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016799736069515347, model_test_time: 0.036894280929118395
Total test time: 0.04372207494452596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012669429881498218, model_test_time: 0.03105264506302774
Total test time: 0.043526577996090055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012120442232117057, model_test_time: 0.031406135763973
Total test time: 0.04311508988030255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01206581387668848, model_test_time: 0.031049276003614068
Total test time: 0.043529358925297856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012048927834257483, model_test_time: 0.03148043109104037
Total test time: 0.050324506824836135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013702868018299341, model_test_time: 0.036621638806536794
Total test time: 0.05340224597603083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016718534054234624, model_test_time: 0.0366837119217962
Total test time: 0.05322295427322388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016691813245415688, model_test_time: 0.03653114102780819
Total test time: 0.05296501633711159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016787644242867827, model_test_time: 0.036177372094243765
Total test time: 0.0533874686807394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016801958670839667, model_test_time: 0.036585510009899735
Total test time: 0.05299297906458378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016766496933996677, model_test_time: 0.0362264821305871
Total test time: 0.053008034359663725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016813366441056132, model_test_time: 0.03619466791860759
Total test time: 0.0532942118588835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01677016308531165, model_test_time: 0.03652404877357185
***1_th repeat
Total test time: 0.05083123524673283 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01738844416104257, model_test_time: 0.03344279108569026
Total test time: 0.04358713538385928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012194572016596794, model_test_time: 0.03139256336726248
Total test time: 0.04601531708613038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01222325605340302, model_test_time: 0.03379206103272736
Total test time: 0.05327072995714843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016926195938140154, model_test_time: 0.03634453401900828
Total test time: 0.04545116168446839 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01400734088383615, model_test_time: 0.03144382080063224
Total test time: 0.04322655079886317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012220960110425949, model_test_time: 0.031005590688437223
Total test time: 0.050503242295235395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013667498249560595, model_test_time: 0.0368357440456748
Total test time: 0.05383012164384127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016827752580866218, model_test_time: 0.03700236906297505
Total test time: 0.05372662516310811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016850734129548073, model_test_time: 0.03687589103356004
Total test time: 0.053816141095012426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016814179020002484, model_test_time: 0.03700196207500994
Total test time: 0.0539766566362232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016887362813577056, model_test_time: 0.03708929382264614
Total test time: 0.04533373867161572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014319203794002533, model_test_time: 0.031014534877613187
Total test time: 0.0430417968891561 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012188108870759606, model_test_time: 0.030853688018396497
Total test time: 0.050208546221256256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012882869224995375, model_test_time: 0.03732567699626088
Total test time: 0.05385791906155646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01681758719496429, model_test_time: 0.03704033186659217
Total test time: 0.053934286814183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016927212942391634, model_test_time: 0.03700707387179136
Total test time: 0.053629202069714665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692808303050697, model_test_time: 0.0367011190392077
Total test time: 0.05364360916428268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016859512077644467, model_test_time: 0.03678409708663821
Total test time: 0.053828847128897905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016932919155806303, model_test_time: 0.0368959279730916
Total test time: 0.05396398971788585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016875009983778, model_test_time: 0.03708897973410785
***2_th repeat
Total test time: 0.05354896420612931 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01644343021325767, model_test_time: 0.03710553399287164
Total test time: 0.04976081452332437 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01686501083895564, model_test_time: 0.03289580368436873
Total test time: 0.043263069121167064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012092963326722383, model_test_time: 0.03117010579444468
Total test time: 0.0462176981382072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012048352044075727, model_test_time: 0.03416934609413147
Total test time: 0.05357257346622646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016776772681623697, model_test_time: 0.03679580078460276
Total test time: 0.05354985292069614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016816827934235334, model_test_time: 0.036733024986460805
Total test time: 0.05367536726407707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016813864232972264, model_test_time: 0.0368615030311048
Total test time: 0.05377566278912127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016740625724196434, model_test_time: 0.037035037064924836
Total test time: 0.053851774195209146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016855661990121007, model_test_time: 0.03699611220508814
Total test time: 0.05374414520338178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016831031069159508, model_test_time: 0.03691311413422227
Total test time: 0.04533459316007793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013934139860793948, model_test_time: 0.03140045329928398
Total test time: 0.04349558218382299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012160554062575102, model_test_time: 0.03133502812124789
Total test time: 0.05005034548230469 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013746402692049742, model_test_time: 0.03630394279025495
Total test time: 0.05318441800773144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016769515117630363, model_test_time: 0.036414902890101075
Total test time: 0.05302829318679869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016731312265619636, model_test_time: 0.036296980921179056
Total test time: 0.05357094784267247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01685366197489202, model_test_time: 0.03671728586778045
Total test time: 0.05323658185079694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016818142030388117, model_test_time: 0.03641843982040882
Total test time: 0.05360524193383753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016802218044176698, model_test_time: 0.036803023889660835
Total test time: 0.05337932100519538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016730220057070255, model_test_time: 0.036649100948125124
Total test time: 0.0532916015945375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01674529490992427, model_test_time: 0.03654630668461323
***3_th repeat
Total test time: 0.053745754761621356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01684019691310823, model_test_time: 0.036905557848513126
Total test time: 0.05366875813342631 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016810625325888395, model_test_time: 0.03685813280753791
Total test time: 0.0535794273018837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016759737161919475, model_test_time: 0.03681969013996422
