Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:25:40')
***MACCDC1, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.044252319959923625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01318123796954751, model_test_time: 0.031071081990376115
Total test time: 0.04191126907244325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010930480901151896, model_test_time: 0.03098078817129135
Total test time: 0.043005761224776506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010905297007411718, model_test_time: 0.03210046421736479
Total test time: 0.05245457566343248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014994211727753282, model_test_time: 0.0374603639356792
Total test time: 0.048102742061018944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015018377918750048, model_test_time: 0.033084364142268896
Total test time: 0.042400033911690116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010968331946060061, model_test_time: 0.031431701965630054
Total test time: 0.04403695720247924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010981148341670632, model_test_time: 0.03305580886080861
Total test time: 0.051690984051674604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015083802165463567, model_test_time: 0.03660718188621104
Total test time: 0.051890181144699454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015157059067860246, model_test_time: 0.03673312207683921
Total test time: 0.05198036483488977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015106745762750506, model_test_time: 0.03687361907213926
Total test time: 0.05163065320812166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015142264077439904, model_test_time: 0.03648838913068175
Total test time: 0.05091089406050742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015155153116211295, model_test_time: 0.03575574094429612
Total test time: 0.04248616215772927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011009905254468322, model_test_time: 0.031476256903260946
Total test time: 0.042978151235729456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010942758992314339, model_test_time: 0.03203539224341512
Total test time: 0.05216091591864824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01511130086146295, model_test_time: 0.03704961505718529
Total test time: 0.052082994021475315 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015132080065086484, model_test_time: 0.03695091395638883
Total test time: 0.052015159744769335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0150866718031466, model_test_time: 0.036928487941622734
Total test time: 0.05216008401475847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015179264126345515, model_test_time: 0.03698081988841295
Total test time: 0.05222324817441404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015086098108440638, model_test_time: 0.0371371500659734
Total test time: 0.04250892042182386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010953443823382258, model_test_time: 0.0315554765984416
***1_th repeat
Total test time: 0.04267063946463168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011401229538023472, model_test_time: 0.031269409926608205
Total test time: 0.051734779961407185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015324407955631614, model_test_time: 0.03641037200577557
Total test time: 0.05162144987843931 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015254391822963953, model_test_time: 0.036367058055475354
Total test time: 0.05173311126418412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015330813126638532, model_test_time: 0.036402298137545586
Total test time: 0.04619590099900961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015174725092947483, model_test_time: 0.031021175906062126
Total test time: 0.042160761542618275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011072069639340043, model_test_time: 0.03108869190327823
Total test time: 0.04557902878150344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011016386793926358, model_test_time: 0.03456264198757708
Total test time: 0.05195136507973075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015297129284590483, model_test_time: 0.036654235795140266
Total test time: 0.05178024107590318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015290352050215006, model_test_time: 0.03648988902568817
Total test time: 0.051031965063884854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015346167143434286, model_test_time: 0.03568579792045057
Total test time: 0.04234255384653807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011097346665337682, model_test_time: 0.031245207181200385
Total test time: 0.04216268891468644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011067589744925499, model_test_time: 0.031095099169760942
Total test time: 0.04243588703684509 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01116349478252232, model_test_time: 0.03127239225432277
Total test time: 0.04219154128804803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01109145930968225, model_test_time: 0.03110008197836578
Total test time: 0.05045903427526355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014243989018723369, model_test_time: 0.03621504525654018
Total test time: 0.05146480514667928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01524968701414764, model_test_time: 0.03621511813253164
Total test time: 0.051210645120590925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015149801038205624, model_test_time: 0.0360608440823853
Total test time: 0.05146025097928941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015297463862225413, model_test_time: 0.036162787117064
Total test time: 0.051471452694386244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015222853980958462, model_test_time: 0.03624859871342778
