Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:18:09')
***MACCDC1, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.016838661627843976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013237747829407454, model_test_time: 0.0036009137984365225
Total test time: 0.014417803846299648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01097473711706698, model_test_time: 0.003443066729232669
Total test time: 0.014424028107896447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01099396008066833, model_test_time: 0.003430068027228117
Total test time: 0.01441519451327622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010981034487485886, model_test_time: 0.0034341600257903337
Total test time: 0.014391307020559907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010948423761874437, model_test_time: 0.0034428832586854696
Total test time: 0.014486082131043077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01100979303009808, model_test_time: 0.003476289100944996
Total test time: 0.014437545090913773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010993792908266187, model_test_time: 0.003443752182647586
Total test time: 0.014345197007060051 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010927777970209718, model_test_time: 0.003417419036850333
Total test time: 0.014473358867689967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01106051285751164, model_test_time: 0.0034128460101783276
Total test time: 0.016001296462491155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011033514514565468, model_test_time: 0.004967781947925687
Total test time: 0.02008569473400712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01511939475312829, model_test_time: 0.00496629998087883
Total test time: 0.020157213788479567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015208800788968801, model_test_time: 0.004948412999510765
Total test time: 0.020109473261982203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01520428224466741, model_test_time: 0.004905191017314792
Total test time: 0.020093956030905247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01521546789444983, model_test_time: 0.004878488136455417
Total test time: 0.02013556589372456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015237947925925255, model_test_time: 0.004897617967799306
Total test time: 0.02016645693220198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01520778494887054, model_test_time: 0.004958671983331442
Total test time: 0.02021260093897581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015251207863911986, model_test_time: 0.004961393075063825
Total test time: 0.020051975967362523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015150802908465266, model_test_time: 0.004901173058897257
Total test time: 0.02013154816813767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015237171901389956, model_test_time: 0.004894376266747713
Total test time: 0.020135454600676894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015214967774227262, model_test_time: 0.004920486826449633
***1_th repeat
Total test time: 0.021852406207472086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016769071109592915, model_test_time: 0.005083335097879171
Total test time: 0.021690523251891136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016611558152362704, model_test_time: 0.005078965099528432
Total test time: 0.02159433811903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016498560085892677, model_test_time: 0.0050957780331373215
Total test time: 0.021578803192824125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016481506172567606, model_test_time: 0.005097297020256519
Total test time: 0.015377240953966975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011875822907313704, model_test_time: 0.0035014180466532707
Total test time: 0.015372742200270295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011848825262859464, model_test_time: 0.0035239169374108315
Total test time: 0.01545888721011579 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011929008178412914, model_test_time: 0.003529879031702876
Total test time: 0.01550297811627388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011898119933903217, model_test_time: 0.0036048581823706627
Total test time: 0.016925658797845244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011910562869161367, model_test_time: 0.005015095928683877
Total test time: 0.021703391103073955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016523930011317134, model_test_time: 0.005179461091756821
Total test time: 0.021689538843929768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016483060084283352, model_test_time: 0.005206478759646416
Total test time: 0.021655316930264235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01648596697486937, model_test_time: 0.005169349955394864
