Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:24:37')
***MACCDC1, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01849267352372408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014242283767089248, model_test_time: 0.004250389756634831
Total test time: 0.01598742208443582 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011871638940647244, model_test_time: 0.004115783143788576
Total test time: 0.01603412558324635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011921601602807641, model_test_time: 0.004112523980438709
Total test time: 0.015996588161215186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011924637015908957, model_test_time: 0.00407195114530623
Total test time: 0.01600481290370226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011934082955121994, model_test_time: 0.004070729948580265
Total test time: 0.021032958989962935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015068296808749437, model_test_time: 0.005964662181213498
Total test time: 0.022350034909322858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0164346881210804, model_test_time: 0.005915346788242459
Total test time: 0.02237261109985411 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0164381330832839, model_test_time: 0.0059344780165702105
Total test time: 0.020489472895860672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01638191193342209, model_test_time: 0.004107560962438583
Total test time: 0.0159483109600842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01188363810069859, model_test_time: 0.00406467285938561
Total test time: 0.01604916201904416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011985580902546644, model_test_time: 0.004063581116497517
Total test time: 0.015954441158100963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01188206416554749, model_test_time: 0.0040723769925534725
Total test time: 0.01593579282052815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011885378742590547, model_test_time: 0.004050414077937603
Total test time: 0.016008774051442742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011887731030583382, model_test_time: 0.004121043020859361
Total test time: 0.016020198119804263 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011889082146808505, model_test_time: 0.004131115972995758
Total test time: 0.01603281032294035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011928008170798421, model_test_time: 0.004104802152141929
Total test time: 0.01602647895924747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969953076913953, model_test_time: 0.004056525882333517
Total test time: 0.016031939769163728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011951487744227052, model_test_time: 0.004080452024936676
Total test time: 0.02230738988146186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016437132842838764, model_test_time: 0.0058702570386230946
Total test time: 0.022357203997671604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01647340995259583, model_test_time: 0.005883794045075774
***1_th repeat
Total test time: 0.02253725309856236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01741329301148653, model_test_time: 0.0051239600870758295
Total test time: 0.02205528412014246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692824997007847, model_test_time: 0.0051270341500639915
Total test time: 0.02202691463753581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016902768751606345, model_test_time: 0.005124145885929465
Total test time: 0.02205191506072879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01692519406788051, model_test_time: 0.005126720992848277
Total test time: 0.022003137273713946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016870751045644283, model_test_time: 0.005132386228069663
Total test time: 0.02200813707895577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016890787053853273, model_test_time: 0.005117350025102496
