Namespace(dataset='MACCDC1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 08:21:46')
***MACCDC1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4741765041835606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.4640847742557526e-06, model_test_time: 0.47416904009878635
Total test time: 0.4719723607413471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.868736818432808e-06, model_test_time: 0.47196549200452864
Total test time: 0.4377129110507667 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.351852789521217e-06, model_test_time: 0.4377065591979772
Total test time: 0.468324629124254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.907153874635696e-06, model_test_time: 0.46831772197037935
Total test time: 0.43953965953551233 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.573274731636047e-06, model_test_time: 0.4395330862607807
Total test time: 0.440822274889797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.794929504394531e-06, model_test_time: 0.4408154799602926
Total test time: 0.49803070770576596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.629852578043938e-06, model_test_time: 0.4980240778531879
Total test time: 0.4876149143092334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.500165909528732e-06, model_test_time: 0.4876084141433239
Total test time: 0.445159925846383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.61193984746933e-06, model_test_time: 0.4451513139065355
Total test time: 0.454131999053061 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.183989509940147e-06, model_test_time: 0.45412481506355107
Total test time: 0.4484040087554604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.963056072592735e-06, model_test_time: 0.4483940456993878
Total test time: 0.4868958289735019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.00000761449337e-05, model_test_time: 0.486885828897357
Total test time: 0.49033796112053096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0424060747027397e-05, model_test_time: 0.49032753705978394
Total test time: 0.476474649971351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.057112038135529e-06, model_test_time: 0.4764655928593129
Total test time: 0.47191492398269475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.463844329118729e-06, model_test_time: 0.4719084601383656
Total test time: 0.4706149948760867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.68596476316452e-06, model_test_time: 0.47060830891132355
Total test time: 0.46812737896107137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.44406133890152e-06, model_test_time: 0.46811993489973247
Total test time: 0.5007087122648954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.613088771700859e-06, model_test_time: 0.5007020991761237
Total test time: 0.4716495652683079 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.129041478037834e-06, model_test_time: 0.4716424362268299
Total test time: 0.47054400108754635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.75814226269722e-06, model_test_time: 0.47053724294528365
***1_th repeat
Total test time: 0.48630164028145373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.759306415915489e-06, model_test_time: 0.4862948809750378
Total test time: 0.47746969293802977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.963048458099365e-06, model_test_time: 0.47746072988957167
Total test time: 0.47025072015821934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2962138801813126e-06, model_test_time: 0.47024342394433916
Total test time: 0.5045334522146732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.517162546515465e-06, model_test_time: 0.5045269350521266
Total test time: 0.5334625171963125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.556068107485771e-06, model_test_time: 0.5334529611282051
Total test time: 0.492239453131333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.982140570878983e-06, model_test_time: 0.4922304709907621
Total test time: 0.4464471787214279 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0350719094276428e-05, model_test_time: 0.44643682800233364
Total test time: 0.4670800359454006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.758863598108292e-06, model_test_time: 0.4670702770818025
Total test time: 0.4928579218685627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0239891707897186e-05, model_test_time: 0.4928476819768548
Total test time: 0.48513698298484087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.963048458099365e-06, model_test_time: 0.48512801993638277
Total test time: 0.44132800586521626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.238937541842461e-06, model_test_time: 0.4413207669276744
Total test time: 0.48321946104988456 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.017049938440323e-06, model_test_time: 0.4832124439999461
Total test time: 0.44995670625939965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.815208613872528e-06, model_test_time: 0.4499468910507858
Total test time: 0.45314804883673787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.222872227430344e-06, model_test_time: 0.45314082596451044
Total test time: 0.4923718923237175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.760252967476845e-06, model_test_time: 0.49236313207075
Total test time: 0.44967025495134294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0220799595117569e-05, model_test_time: 0.4496600341517478
Total test time: 0.46835201722569764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.111128747463226e-06, model_test_time: 0.4683429060969502
Total test time: 0.48349085566587746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.722752004861832e-06, model_test_time: 0.4834841329138726
Total test time: 0.4840195090509951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.740004315972328e-06, model_test_time: 0.48400976904667914
Total test time: 0.4688700835686177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.370719686150551e-06, model_test_time: 0.46886271284893155
***2_th repeat
Total test time: 0.5026947180740535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.592134013772011e-06, model_test_time: 0.5026881259400398
Total test time: 0.45972790312953293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.037073373794556e-06, model_test_time: 0.45972086605615914
Total test time: 0.480084917973727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.481096640229225e-06, model_test_time: 0.48007543687708676
Total test time: 0.46743718395009637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.055932655930519e-06, model_test_time: 0.46743012801744044
Total test time: 0.5275314883328974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.388197213411331e-06, model_test_time: 0.527522100135684
Total test time: 0.46274936757981777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.33276829123497e-06, model_test_time: 0.46274203481152654
Total test time: 0.4939863132312894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0000308975577354e-05, model_test_time: 0.4939763129223138
Total test time: 0.49789324891753495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.906943887472153e-06, model_test_time: 0.4978833419736475
Total test time: 0.44375759991817176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.167008101940155e-06, model_test_time: 0.4437484329100698
Total test time: 0.43833313626237214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.592141628265381e-06, model_test_time: 0.43832554412074387
Total test time: 0.47933715488761663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.926944479346275e-06, model_test_time: 0.4793302279431373
Total test time: 0.4582080713007599 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.777024388313293e-06, model_test_time: 0.4581982942763716
Total test time: 0.48449761304073036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7588407546281815e-06, model_test_time: 0.48449085419997573
Total test time: 0.47905026003718376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.332085028290749e-06, model_test_time: 0.47904092795215547
Total test time: 0.50283890706487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.462920621037483e-06, model_test_time: 0.502831444144249
Total test time: 0.46966951503418386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.092952728271484e-06, model_test_time: 0.4696624220814556
Total test time: 0.45376644004136324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.372109055519104e-06, model_test_time: 0.4537600679323077
Total test time: 0.5087145147845149 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.98074358701706e-06, model_test_time: 0.5087055340409279
Total test time: 0.4729608753696084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.073394954204559e-06, model_test_time: 0.4729538019746542
Total test time: 0.5130817741155624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.556045264005661e-06, model_test_time: 0.5130752180702984
***3_th repeat
Total test time: 0.48294844711199403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.705079719424248e-06, model_test_time: 0.4829387420322746
Total test time: 0.4623702550306916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.685033440589905e-06, model_test_time: 0.46236356999725103
Total test time: 0.4504770727362484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.554903954267502e-06, model_test_time: 0.4504675178322941
Total test time: 0.48722730204463005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.20402817428112e-06, model_test_time: 0.48721809801645577
Total test time: 0.45768688432872295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.555136784911156e-06, model_test_time: 0.45767732919193804
Total test time: 0.48222440015524626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.629154086112976e-06, model_test_time: 0.48221777100116014
Total test time: 0.48006538464687765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.61078330874443e-06, model_test_time: 0.4800557738635689
Total test time: 0.4698121598921716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536960765719414e-06, model_test_time: 0.4698046229314059
Total test time: 0.49348766286857426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0277843102812767e-05, model_test_time: 0.49347738502547145
Total test time: 0.530344813130796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.407056495547295e-06, model_test_time: 0.5303354060743004
Total test time: 0.5023206151090562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9069210439920425e-06, model_test_time: 0.5023137081880122
Total test time: 0.5029830250423402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.51809386909008e-06, model_test_time: 0.5029765069484711
Total test time: 0.46020110975950956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.537884473800659e-06, model_test_time: 0.46019457187503576
Total test time: 0.4944983469322324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.943963959813118e-06, model_test_time: 0.49448840296827257
Total test time: 0.4739815990906209 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.519979357719421e-06, model_test_time: 0.47397207911126316
Total test time: 0.47304603178054094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.92601315677166e-06, model_test_time: 0.47303910576738417
Total test time: 0.49101655767299235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.001986674964428e-05, model_test_time: 0.4910065378062427
Total test time: 0.4958277812693268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.685048669576645e-06, model_test_time: 0.49581909622065723
Total test time: 0.4952050612773746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.668269634246826e-06, model_test_time: 0.4951983930077404
Total test time: 0.49261005502194166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.980976417660713e-06, model_test_time: 0.492601074045524
***4_th repeat
Total test time: 0.41429602378048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.77678394317627e-06, model_test_time: 0.41428724699653685
Total test time: 0.48654144210740924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.3141342252492905e-06, model_test_time: 0.486535127973184
Total test time: 0.443309442140162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.665258064866066e-06, model_test_time: 0.4433007768820971
Total test time: 0.49198676319792867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.222188964486122e-06, model_test_time: 0.4919775410089642
Total test time: 0.49011696479283273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.740928024053574e-06, model_test_time: 0.4901082238648087
Total test time: 0.4907730568666011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.683884516358376e-06, model_test_time: 0.49076437298208475
Total test time: 0.4403293989598751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.480863809585571e-06, model_test_time: 0.4403199180960655
