Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 08:28:14')
***MACCDC1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4023041962645948 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.426366209983826e-06, model_test_time: 0.4022967698983848
Total test time: 0.4520513566676527 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.648734703660011e-06, model_test_time: 0.45204170793294907
Total test time: 0.4626691478770226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.51811671257019e-06, model_test_time: 0.46265962976031005
Total test time: 0.4872693563811481 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425202056765556e-06, model_test_time: 0.48726193117909133
Total test time: 0.5003641629591584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0462943464517593e-05, model_test_time: 0.5003537000156939
Total test time: 0.4792620949447155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.500887244939804e-06, model_test_time: 0.47925259405747056
Total test time: 0.5056721449363977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.665716111660004e-06, model_test_time: 0.505664479220286
Total test time: 0.4786532218568027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.740920409560204e-06, model_test_time: 0.47864548093639314
Total test time: 0.4591777597088367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.704846888780594e-06, model_test_time: 0.4591680548619479
Total test time: 0.49367638817057014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.667113095521927e-06, model_test_time: 0.4936687210574746
Total test time: 0.5029264944605529 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.981216862797737e-06, model_test_time: 0.5029165132436901
Total test time: 0.503565366845578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.202864021062851e-06, model_test_time: 0.5035561639815569
Total test time: 0.4562640371732414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.148148819804192e-06, model_test_time: 0.4562548890244216
Total test time: 0.45458582090213895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.813811630010605e-06, model_test_time: 0.45457600709050894
Total test time: 0.4522499539889395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.388895705342293e-06, model_test_time: 0.4522405650932342
Total test time: 0.537169337971136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.703915566205978e-06, model_test_time: 0.5371596340555698
Total test time: 0.49583793291822076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.499955922365189e-06, model_test_time: 0.4958284329622984
Total test time: 0.4133938599843532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.573064744472504e-06, model_test_time: 0.4133842869196087
Total test time: 0.49116428988054395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.462004527449608e-06, model_test_time: 0.4911548278760165
Total test time: 0.4585050062742084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0647112503647804e-05, model_test_time: 0.4584943591617048
***1_th repeat
