Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 08:18:15')
***MACCDC1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.44281010585837066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.629860192537308e-06, model_test_time: 0.4428024759981781
Total test time: 0.4209513100795448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.315065547823906e-06, model_test_time: 0.42094499501399696
Total test time: 0.402720247162506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.92603600025177e-06, model_test_time: 0.40271032112650573
Total test time: 0.4520939541980624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.481096640229225e-06, model_test_time: 0.4520844731014222
Total test time: 0.47246068622916937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5551139414310455e-06, model_test_time: 0.47245413111522794
Total test time: 0.47387940692715347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.68596476316452e-06, model_test_time: 0.4738727209623903
Total test time: 0.44265430700033903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.517162546515465e-06, model_test_time: 0.4426477898377925
Total test time: 0.4844979951158166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.204238161444664e-06, model_test_time: 0.48449179087765515
Total test time: 0.4487568417098373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.037787094712257e-06, model_test_time: 0.4487478039227426
Total test time: 0.49412961211055517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.79611650109291e-06, model_test_time: 0.4941198159940541
Total test time: 0.46482665883377194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.461981683969498e-06, model_test_time: 0.464820196852088
Total test time: 0.4372370683122426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.628222763538361e-06, model_test_time: 0.4372304400894791
Total test time: 0.49901553406380117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.702045306563377e-06, model_test_time: 0.4990068320184946
Total test time: 0.4731802619062364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5730419009923935e-06, model_test_time: 0.4731736888643354
Total test time: 0.44008952798321843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.387949153780937e-06, model_test_time: 0.44008214003406465
Total test time: 0.4531512879766524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.055016562342644e-06, model_test_time: 0.45314223296009004
Total test time: 0.5121771288104355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.444775059819221e-06, model_test_time: 0.5121676840353757
Total test time: 0.4411879521794617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.944173946976662e-06, model_test_time: 0.44118100800551474
Total test time: 0.5008516090456396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.370944902300835e-06, model_test_time: 0.5008452381007373
Total test time: 0.46902901004068553 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.778879418969154e-06, model_test_time: 0.46902023116126657
***1_th repeat
Total test time: 0.4744807234965265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.463386282324791e-06, model_test_time: 0.47447326011024415
