Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-01 08:03:00')
***MAWI1_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.021020698826760054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017264426918700337, model_test_time: 0.0037562719080597162
Total test time: 0.018688156036660075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015142102027311921, model_test_time: 0.003546054009348154
Total test time: 0.01879137521609664 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01515302830375731, model_test_time: 0.0036383469123393297
Total test time: 0.018661117181181908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01510473107919097, model_test_time: 0.003556386101990938
Total test time: 0.018721560947597027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015113638946786523, model_test_time: 0.003607922000810504
Total test time: 0.018659635912626982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015084434999153018, model_test_time: 0.0035752009134739637
Total test time: 0.018740523839369416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01518458197824657, model_test_time: 0.0035559418611228466
Total test time: 0.018764209002256393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01515610096976161, model_test_time: 0.0036081080324947834
Total test time: 0.01872152555733919 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01516760140657425, model_test_time: 0.003553924150764942
Total test time: 0.018746191170066595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01519589708186686, model_test_time: 0.0035502940881997347
Total test time: 0.018741915002465248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015130714047700167, model_test_time: 0.0036112009547650814
Total test time: 0.018987780204042792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015207990072667599, model_test_time: 0.0037797901313751936
Total test time: 0.02598423813469708 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020754999248310924, model_test_time: 0.005229238886386156
Total test time: 0.025919240899384022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02077016606926918, model_test_time: 0.0051490748301148415
Total test time: 0.025897852843627334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020733945071697235, model_test_time: 0.0051639077719300985
Total test time: 0.025942147942259908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020707000978291035, model_test_time: 0.005235146963968873
Total test time: 0.02590712788514793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02074675797484815, model_test_time: 0.005160369910299778
Total test time: 0.02182849496603012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01821149792522192, model_test_time: 0.003616997040808201
