Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-01 08:04:51')
***MAWI1_2020, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01902614813297987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017160614021122456, model_test_time: 0.0018655341118574142
Total test time: 0.017017618054524064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015260100131854415, model_test_time: 0.0017575179226696491
Total test time: 0.023235187167301774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020747148199006915, model_test_time: 0.002488038968294859
Total test time: 0.023318093037232757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02079566614702344, model_test_time: 0.002522426890209317
Total test time: 0.02331305597908795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020815923810005188, model_test_time: 0.002497132169082761
Total test time: 0.017294056015089154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015538777923211455, model_test_time: 0.001755278091877699
Total test time: 0.016998933162540197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015236656181514263, model_test_time: 0.0017622769810259342
Total test time: 0.016965284943580627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015205304138362408, model_test_time: 0.0017599808052182198
Total test time: 0.017001729924231768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015234452905133367, model_test_time: 0.001767277019098401
Total test time: 0.021769626066088676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019265864975750446, model_test_time: 0.00250376109033823
Total test time: 0.023412164766341448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02080110996030271, model_test_time: 0.0026110548060387373
Total test time: 0.023255187086760998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0207580360583961, model_test_time: 0.0024971510283648968
Total test time: 0.023224169621244073 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020732611883431673, model_test_time: 0.0024915577378124
Total test time: 0.023207003250718117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02064103912562132, model_test_time: 0.002565964125096798
Total test time: 0.02318548411130905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02067872299812734, model_test_time: 0.0025067611131817102
Total test time: 0.023175706854090095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020666778786107898, model_test_time: 0.002508928067982197
Total test time: 0.023238111985847354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020681185880675912, model_test_time: 0.002556926105171442
Total test time: 0.023147169966250658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020635372027754784, model_test_time: 0.0025117979384958744
Total test time: 0.019352548057213426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01760464091785252, model_test_time: 0.0017479071393609047
Total test time: 0.017028912901878357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015267802868038416, model_test_time: 0.001761110033839941
***1_th repeat
Total test time: 0.017018822021782398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015159935923293233, model_test_time: 0.0018588860984891653
Total test time: 0.016871137777343392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015040584839880466, model_test_time: 0.001830552937462926
Total test time: 0.02103399345651269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018384587252512574, model_test_time: 0.0026494062040001154
Total test time: 0.022947341902181506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02033650898374617, model_test_time: 0.002610832918435335
Total test time: 0.02291580568999052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020310731837525964, model_test_time: 0.0026050738524645567
Total test time: 0.023019841173663735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020363692892715335, model_test_time: 0.0026561482809484005
Total test time: 0.022908804938197136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020300119882449508, model_test_time: 0.002608685055747628
Total test time: 0.022938343230634928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020321546122431755, model_test_time: 0.0026167971082031727
Total test time: 0.019728871062397957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017898947931826115, model_test_time: 0.0018299231305718422
Total test time: 0.016792492708191276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014957827981561422, model_test_time: 0.0018346647266298532
Total test time: 0.016800860641524196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014971641823649406, model_test_time: 0.0018292188178747892
Total test time: 0.016707474132999778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014825274236500263, model_test_time: 0.0018821998964995146
