Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:03:12')
***MAWI1_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02764864801429212 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.023503126110881567, model_test_time: 0.004145521903410554
Total test time: 0.02440744242630899 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020521247293800116, model_test_time: 0.003886195132508874
Total test time: 0.024492179974913597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020590319065377116, model_test_time: 0.003901860909536481
Total test time: 0.024297701194882393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02042619208805263, model_test_time: 0.0038715091068297625
Total test time: 0.024460142944008112 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020571189001202583, model_test_time: 0.0038889539428055286
Total test time: 0.020759887993335724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018066871911287308, model_test_time: 0.002693016082048416
Total test time: 0.01776721002534032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01499519613571465, model_test_time: 0.0027720138896256685
Total test time: 0.017770840786397457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015086453640833497, model_test_time: 0.00268438714556396
Total test time: 0.0178832090459764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015080973040312529, model_test_time: 0.0028022360056638718
Total test time: 0.021159620955586433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017260777996852994, model_test_time: 0.0038988429587334394
Total test time: 0.024600195232778788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020719759166240692, model_test_time: 0.0038804360665380955
Total test time: 0.024620936485007405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020686520263552666, model_test_time: 0.00393441622145474
Total test time: 0.020381303736940026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01762782596051693, model_test_time: 0.0027534777764230967
Total test time: 0.017785194097086787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015105250990018249, model_test_time: 0.0026799431070685387
Total test time: 0.017786210868507624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015045084757730365, model_test_time: 0.002741126110777259
Total test time: 0.017824542010203004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015121526084840298, model_test_time: 0.002703015925362706
Total test time: 0.02195866103284061 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01808015094138682, model_test_time: 0.0038785100914537907
Total test time: 0.024497436825186014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02056718780659139, model_test_time: 0.003930249018594623
Total test time: 0.02445210493169725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02056526206433773, model_test_time: 0.003886842867359519
Total test time: 0.019811370875686407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017109150998294353, model_test_time: 0.0027022198773920536
***1_th repeat
Total test time: 0.01808433304540813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015632016118615866, model_test_time: 0.002452316926792264
Total test time: 0.017805412877351046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01533507788553834, model_test_time: 0.002470334991812706
Total test time: 0.01775993383489549 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015323375118896365, model_test_time: 0.0024365587159991264
Total test time: 0.024261662736535072 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02075222064740956, model_test_time: 0.003509442089125514
