Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(full)', time='2021-04-01 08:06:57')
***MAWI1_2020, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.018992114113643765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017345722066238523, model_test_time: 0.001646392047405243
Total test time: 0.01688500866293907 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015345393912866712, model_test_time: 0.00153961475007236
Total test time: 0.01686169533059001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015342857455834746, model_test_time: 0.0015188378747552633
Total test time: 0.0168115661945194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015274470439180732, model_test_time: 0.0015370957553386688
Total test time: 0.016970228170976043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015386336017400026, model_test_time: 0.0015838921535760164
Total test time: 0.01678401045501232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015263542300090194, model_test_time: 0.0015204681549221277
Total test time: 0.016911063343286514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015373281203210354, model_test_time: 0.0015377821400761604
Total test time: 0.016903934068977833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01537137501873076, model_test_time: 0.0015325590502470732
Total test time: 0.01681343629024923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015282950131222606, model_test_time: 0.0015304861590266228
Total test time: 0.016830471577122808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015321559738367796, model_test_time: 0.0015089118387550116
Total test time: 0.017609492409974337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015464464435353875, model_test_time: 0.0021450279746204615
Total test time: 0.023100024089217186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02088084933348, model_test_time: 0.0022191747557371855
Total test time: 0.023109689820557833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02095851395279169, model_test_time: 0.002151175867766142
Total test time: 0.022993301739916205 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02083369973115623, model_test_time: 0.0021596020087599754
Total test time: 0.02303317398764193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02082357299514115, model_test_time: 0.002209600992500782
Total test time: 0.023017875850200653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02086645970121026, model_test_time: 0.0021514161489903927
Total test time: 0.022611609427258372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02091336715966463, model_test_time: 0.0016982422675937414
Total test time: 0.016814084257930517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015289821196347475, model_test_time: 0.0015242630615830421
Total test time: 0.01675915881060064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015230284770950675, model_test_time: 0.0015288740396499634
Total test time: 0.016898879781365395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015314931748434901, model_test_time: 0.0015839480329304934
***1_th repeat
Total test time: 0.01769932429306209 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015463150339201093, model_test_time: 0.002236173953860998
Total test time: 0.023044839035719633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020900089293718338, model_test_time: 0.002144749742001295
