Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(full)', time='2021-04-01 08:03:06')
***MAWI1_2020, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02453851024620235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01700761611573398, model_test_time: 0.0075308941304683685
Total test time: 0.021695460891351104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014318063855171204, model_test_time: 0.0073773970361799
Total test time: 0.02176584699191153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014377671992406249, model_test_time: 0.0073881749995052814
Total test time: 0.021797700319439173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014438692247495055, model_test_time: 0.0073590080719441175
Total test time: 0.021848939126357436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014528188854455948, model_test_time: 0.007320750271901488
Total test time: 0.021769477985799313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014412283897399902, model_test_time: 0.00735719408839941
Total test time: 0.02171840355731547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014342747628688812, model_test_time: 0.0073756559286266565
Total test time: 0.02181960572488606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014406875940039754, model_test_time: 0.007412729784846306
Total test time: 0.021734442561864853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014362248592078686, model_test_time: 0.007372193969786167
Total test time: 0.02743822825141251 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016528888372704387, model_test_time: 0.010909339878708124
Total test time: 0.030366275925189257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019577637081965804, model_test_time: 0.010788638843223453
Total test time: 0.03041814500465989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019544803071767092, model_test_time: 0.0108733419328928
Total test time: 0.03033538698218763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019521433860063553, model_test_time: 0.010813953122124076
Total test time: 0.030356219271197915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019558191997930408, model_test_time: 0.010798027273267508
Total test time: 0.030413886299356818 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01953969313763082, model_test_time: 0.010874193161725998
Total test time: 0.0305716956499964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019594171782955527, model_test_time: 0.010977523867040873
Total test time: 0.030207021161913872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019504324300214648, model_test_time: 0.010702696861699224
Total test time: 0.021757514216005802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014391339384019375, model_test_time: 0.007366174831986427
Total test time: 0.02175394189544022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014347026823088527, model_test_time: 0.007406915072351694
Total test time: 0.021757180569693446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014325506752356887, model_test_time: 0.007431673817336559
***1_th repeat
Total test time: 0.030041966820135713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01954343286342919, model_test_time: 0.010498533956706524
Total test time: 0.030773580772802234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02028708392754197, model_test_time: 0.010486496845260262
Total test time: 0.030800283886492252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020308711798861623, model_test_time: 0.01049157208763063
Total test time: 0.030772988917306066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020297768991440535, model_test_time: 0.010475219925865531
Total test time: 0.030730580678209662 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02023200993426144, model_test_time: 0.010498570743948221
Total test time: 0.022046453319489956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014877848094329238, model_test_time: 0.007168605225160718
Total test time: 0.022011213935911655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014820404816418886, model_test_time: 0.007190809119492769
Total test time: 0.022053694119676948 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014852367108687758, model_test_time: 0.007201327010989189
Total test time: 0.02605481049977243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015516592655330896, model_test_time: 0.010538217844441533
Total test time: 0.030847913352772593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0203188790474087, model_test_time: 0.010529034305363894
Total test time: 0.030857727164402604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02032976713962853, model_test_time: 0.010527960024774075
Total test time: 0.02201693505048752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01481709023937583, model_test_time: 0.007199844811111689
Total test time: 0.02206697012297809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014828532002866268, model_test_time: 0.007238438120111823
Total test time: 0.022128508426249027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014885811368003488, model_test_time: 0.00724269705824554
Total test time: 0.02754996274597943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017006207956001163, model_test_time: 0.010543754789978266
Total test time: 0.030881079845130444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02034713886678219, model_test_time: 0.010533940978348255
Total test time: 0.030788377858698368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020318767754361033, model_test_time: 0.010469610104337335
Total test time: 0.030896689044311643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020333841210231185, model_test_time: 0.010562847834080458
Total test time: 0.030770875746384263 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020318413618952036, model_test_time: 0.010452462127432227
Total test time: 0.03081776574254036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020300786709412932, model_test_time: 0.010516979033127427
***2_th repeat
Total test time: 0.03206038707867265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02122074901126325, model_test_time: 0.010839638067409396
Total test time: 0.03146258322522044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020619835006073117, model_test_time: 0.010842748219147325
Total test time: 0.030512050027027726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019634838914498687, model_test_time: 0.01087721111252904
Total test time: 0.03059799177572131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01971361367031932, model_test_time: 0.010884378105401993
Total test time: 0.03050067904405296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01959902374073863, model_test_time: 0.010901655303314328
Total test time: 0.03050432656891644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01960563473403454, model_test_time: 0.010898691834881902
Total test time: 0.03056803112849593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01961146923713386, model_test_time: 0.010956561891362071
Total test time: 0.030454327585175633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01963220746256411, model_test_time: 0.010822120122611523
Total test time: 0.03042949386872351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019600337836891413, model_test_time: 0.010829156031832099
Total test time: 0.02194428746588528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014440374681726098, model_test_time: 0.0075039127841591835
Total test time: 0.021853586891666055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014407024718821049, model_test_time: 0.007446562172845006
Total test time: 0.0218718268442899 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0143910797778517, model_test_time: 0.007480747066438198
Total test time: 0.025308196898549795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014433004893362522, model_test_time: 0.010875192005187273
Total test time: 0.03044294216670096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019565860275179148, model_test_time: 0.010877081891521811
Total test time: 0.03047616290859878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019612821051850915, model_test_time: 0.010863341856747866
Total test time: 0.03035340621136129 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019511508056893945, model_test_time: 0.010841898154467344
Total test time: 0.03042903309687972 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019570803036913276, model_test_time: 0.010858230059966445
Total test time: 0.03040294023230672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019600042141973972, model_test_time: 0.010802898090332747
Total test time: 0.030464588198810816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01957326615229249, model_test_time: 0.010891322046518326
Total test time: 0.03040488506667316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019540876848623157, model_test_time: 0.010864008218050003
***3_th repeat
Total test time: 0.016385482158511877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014873459003865719, model_test_time: 0.0015120231546461582
Total test time: 0.016728827264159918 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0152016740757972, model_test_time: 0.0015271531883627176
Total test time: 0.016845713136717677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015330283204093575, model_test_time: 0.0015154299326241016
Total test time: 0.016781991813331842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01526491274125874, model_test_time: 0.001517079072073102
Total test time: 0.022956654662266374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020816108910366893, model_test_time: 0.002140545751899481
Total test time: 0.02295310120098293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020743517903611064, model_test_time: 0.0022095832973718643
Total test time: 0.022919841343536973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02078251726925373, model_test_time: 0.0021373240742832422
Total test time: 0.01677095564082265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015249728923663497, model_test_time: 0.001521226717159152
Total test time: 0.01673547481186688 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015219099819660187, model_test_time: 0.0015163749922066927
Total test time: 0.016731159994378686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015213303966447711, model_test_time: 0.001517856027930975
Total test time: 0.01680014096200466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015275951009243727, model_test_time: 0.0015241899527609348
Total test time: 0.021515020867809653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019371992209926248, model_test_time: 0.0021430286578834057
Total test time: 0.022842029575258493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02071992796845734, model_test_time: 0.0021221016068011522
