Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:08:21')
***MAWI1_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04851579526439309 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727168634533882, model_test_time: 0.03124410891905427
Total test time: 0.057629728922620416 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02094951504841447, model_test_time: 0.03668021387420595
Total test time: 0.057487286161631346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020907903090119362, model_test_time: 0.036579383071511984
Total test time: 0.05765920993871987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020854941802099347, model_test_time: 0.03680426813662052
Total test time: 0.04672142583876848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015336635056883097, model_test_time: 0.031384790781885386
Total test time: 0.04658392816781998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015302468091249466, model_test_time: 0.03128146007657051
Total test time: 0.057307847775518894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02089584874920547, model_test_time: 0.036411999026313424
Total test time: 0.05228621372953057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020800609840080142, model_test_time: 0.03148560388945043
Total test time: 0.04661681712605059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015329783083871007, model_test_time: 0.031287034042179585
Total test time: 0.053934714989736676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01716931676492095, model_test_time: 0.036765398224815726
Total test time: 0.0572447010781616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020840646931901574, model_test_time: 0.03640405414626002
Total test time: 0.05720529379323125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0208455347456038, model_test_time: 0.03635975904762745
Total test time: 0.0567518959287554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020777016878128052, model_test_time: 0.03597487905062735
Total test time: 0.05680500599555671 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020829886896535754, model_test_time: 0.03597511909902096
