Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:15:06')
***MAWI1_2020, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.04594022105447948 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015095785027369857, model_test_time: 0.030844436027109623
Total test time: 0.04368201526813209 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012786210048943758, model_test_time: 0.030895805219188333
Total test time: 0.04363249661400914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012736172880977392, model_test_time: 0.03089632373303175
Total test time: 0.04363686731085181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012744876090437174, model_test_time: 0.03089199122041464
Total test time: 0.047092202585190535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01274093147367239, model_test_time: 0.034351271111518145
Total test time: 0.05379267898388207 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017567706992849708, model_test_time: 0.03622497199103236
Total test time: 0.0544104918371886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01758718676865101, model_test_time: 0.03682330506853759
Total test time: 0.05401891190558672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017588614020496607, model_test_time: 0.03643029788509011
Total test time: 0.053962858160957694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017548930132761598, model_test_time: 0.036413928028196096
Total test time: 0.0494704251177609 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01755252224393189, model_test_time: 0.03191790287382901
Total test time: 0.04370688530616462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012718175072222948, model_test_time: 0.030988710233941674
Total test time: 0.0473003457300365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012689119903370738, model_test_time: 0.03461122582666576
Total test time: 0.053713996428996325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01756661431863904, model_test_time: 0.036147382110357285
Total test time: 0.054503878112882376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01768733188509941, model_test_time: 0.036816546227782965
Total test time: 0.05432864208705723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017501485999673605, model_test_time: 0.03682715608738363
Total test time: 0.05372116109356284 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017593575175851583, model_test_time: 0.03612758591771126
Total test time: 0.05391545174643397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017514393664896488, model_test_time: 0.036401058081537485
Total test time: 0.05438567767851055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01756859477609396, model_test_time: 0.03681708290241659
Total test time: 0.05417288769967854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017485708696767688, model_test_time: 0.03668717900291085
Total test time: 0.05425277375616133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01756853866390884, model_test_time: 0.03668423509225249
***1_th repeat
Total test time: 0.05486471764743328 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018015173729509115, model_test_time: 0.036849543917924166
Total test time: 0.05428299610503018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017669832101091743, model_test_time: 0.036613164003938437
