Namespace(dataset='MAWI1_2020', feat='stats', gs='True', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:11:29')
***MAWI1_2020, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.0460316997487098 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015103177865967155, model_test_time: 0.030928521882742643
Total test time: 0.043748582946136594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01274524605832994, model_test_time: 0.031003336887806654
Total test time: 0.04428883199580014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012726580956950784, model_test_time: 0.031562251038849354
Total test time: 0.053665220737457275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017475421773269773, model_test_time: 0.0361897989641875
Total test time: 0.050345568684861064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017499938840046525, model_test_time: 0.03284562984481454
Total test time: 0.04358034604229033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01272763591259718, model_test_time: 0.03085271012969315
Total test time: 0.0463720269035548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012721875915303826, model_test_time: 0.03365015098825097
Total test time: 0.05395765881985426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01755243889056146, model_test_time: 0.0364052199292928
Total test time: 0.04573307791724801 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014951606979593635, model_test_time: 0.030781470937654376
Total test time: 0.043517809361219406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012675951234996319, model_test_time: 0.030841858126223087
Total test time: 0.050295960856601596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014161622850224376, model_test_time: 0.03613433800637722
Total test time: 0.0530724017880857 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017398219788447022, model_test_time: 0.03567418199963868
Total test time: 0.04361790092661977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012664637062698603, model_test_time: 0.030953263863921165
Total test time: 0.04380945092998445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012682192027568817, model_test_time: 0.031127258902415633
Total test time: 0.043486068258062005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012665654299780726, model_test_time: 0.03082041395828128
Total test time: 0.0436031233984977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012759468285366893, model_test_time: 0.030843655113130808
Total test time: 0.05389045807532966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017569735180586576, model_test_time: 0.036320722894743085
Total test time: 0.052601242903620005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01747506996616721, model_test_time: 0.03512617293745279
Total test time: 0.04377026576548815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012743817875161767, model_test_time: 0.03102644789032638
Total test time: 0.044280366972088814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012660247040912509, model_test_time: 0.031620119931176305
***1_th repeat
Total test time: 0.05381901585496962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017912709852680564, model_test_time: 0.03590630600228906
Total test time: 0.053307099966332316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017410350032150745, model_test_time: 0.03589674993418157
Total test time: 0.053494522580876946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017489514779299498, model_test_time: 0.03600500780157745
Total test time: 0.053640980273485184 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017496939282864332, model_test_time: 0.03614404099062085
Total test time: 0.05350839113816619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017502550967037678, model_test_time: 0.03600584017112851
Total test time: 0.053319340106099844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017404313199222088, model_test_time: 0.035915026906877756
Total test time: 0.046046606032177806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015073047019541264, model_test_time: 0.030973559012636542
Total test time: 0.04368945467285812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012691617710515857, model_test_time: 0.030997836962342262
Total test time: 0.04996863380074501 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013966700062155724, model_test_time: 0.03600193373858929
Total test time: 0.05356511217541993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017592197051271796, model_test_time: 0.03597291512414813
Total test time: 0.05346557800658047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017408090876415372, model_test_time: 0.0360574871301651
Total test time: 0.05109029612503946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017425460973754525, model_test_time: 0.03366483515128493
Total test time: 0.04345203214325011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012609136989340186, model_test_time: 0.03084289515390992
Total test time: 0.04539991682395339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012687912909314036, model_test_time: 0.032712003914639354
