Namespace(dataset='MAWI1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 08:08:48')
***MAWI1_2020, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.020990384044125676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01738540595397353, model_test_time: 0.0036049780901521444
Total test time: 0.019051222130656242 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015498446067795157, model_test_time: 0.003552776062861085
Total test time: 0.018962907139211893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015475444961339235, model_test_time: 0.0034874621778726578
Total test time: 0.01914396067149937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015557517763227224, model_test_time: 0.003586442908272147
Total test time: 0.026317583862692118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021283118054270744, model_test_time: 0.005034465808421373
Total test time: 0.026309939101338387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02123393607325852, model_test_time: 0.005076003028079867
Total test time: 0.026339658303186297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021272229962050915, model_test_time: 0.005067428341135383
Total test time: 0.026323030004277825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021292007993906736, model_test_time: 0.005031022010371089
Total test time: 0.02641893457621336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021339617669582367, model_test_time: 0.005079316906630993
Total test time: 0.024536420358344913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02103551314212382, model_test_time: 0.003500907216221094
Total test time: 0.019165477016940713 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015589443035423756, model_test_time: 0.0035760339815169573
Total test time: 0.019089498789981008 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015536574879661202, model_test_time: 0.003552923910319805
Total test time: 0.01908120117150247 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015572424046695232, model_test_time: 0.0035087771248072386
Total test time: 0.019151367712765932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015561444917693734, model_test_time: 0.003589922795072198
Total test time: 0.019138161791488528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015632719732820988, model_test_time: 0.0035054420586675406
Total test time: 0.019134144065901637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015553406905382872, model_test_time: 0.0035807371605187654
Total test time: 0.019086258253082633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015555648133158684, model_test_time: 0.0035306101199239492
Total test time: 0.01914588618092239 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015639481134712696, model_test_time: 0.003506405046209693
Total test time: 0.019174403278157115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01559155504219234, model_test_time: 0.003582848235964775
Total test time: 0.019146127393469214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01564536918886006, model_test_time: 0.0035007582046091557
***1_th repeat
Total test time: 0.01897761202417314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01567253516986966, model_test_time: 0.003305076854303479
Total test time: 0.02526171808131039 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020494098076596856, model_test_time: 0.004767620004713535
Total test time: 0.025188848841935396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02048087609000504, model_test_time: 0.004707972751930356
Total test time: 0.025278401793912053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020507504930719733, model_test_time: 0.00477089686319232
Total test time: 0.01840592036023736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015071844216436148, model_test_time: 0.0033340761438012123
Total test time: 0.018226165557280183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014975568745285273, model_test_time: 0.0032505968119949102
Total test time: 0.01834799605421722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014998327009379864, model_test_time: 0.0033496690448373556
Total test time: 0.018372569233179092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01505438145250082, model_test_time: 0.0033181877806782722
Total test time: 0.025251127779483795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02048121183179319, model_test_time: 0.004769915947690606
Total test time: 0.025157941970974207 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020516135031357408, model_test_time: 0.004641806939616799
Total test time: 0.025247883750125766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020532318856567144, model_test_time: 0.004715564893558621
Total test time: 0.02532286522909999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020443839253857732, model_test_time: 0.004879025975242257
Total test time: 0.02519466308876872 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02045833901502192, model_test_time: 0.0047363240737468
Total test time: 0.025329643161967397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02055000513792038, model_test_time: 0.004779638024047017
