Namespace(dataset='MAWI1_2020', feat='stats', gs='False', header='True', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:13:59')
***MAWI1_2020, Nystrom-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/MAWI1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.022770660929381847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015225926879793406, model_test_time: 0.007544734049588442
Total test time: 0.019657744793221354 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012139861937612295, model_test_time: 0.007517882855609059
Total test time: 0.01961758197285235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012044699862599373, model_test_time: 0.007572882110252976
Total test time: 0.01952337916009128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012055161176249385, model_test_time: 0.007468217983841896
Total test time: 0.025851377053186297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014938825974240899, model_test_time: 0.010912551078945398
Total test time: 0.027611153200268745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016675381222739816, model_test_time: 0.01093577197752893
Total test time: 0.027622264809906483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016597069799900055, model_test_time: 0.011025195010006428
Total test time: 0.019938386976718903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012494685128331184, model_test_time: 0.007443701848387718
Total test time: 0.019640357699245214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01213073288090527, model_test_time: 0.007509624818339944
Total test time: 0.019722891971468925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012259951094165444, model_test_time: 0.007462940877303481
Total test time: 0.019627931993454695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012110474053770304, model_test_time: 0.007517457939684391
Total test time: 0.027320571709424257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016374762635678053, model_test_time: 0.010945809073746204
Total test time: 0.027609618147835135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01661129225976765, model_test_time: 0.010998325888067484
Total test time: 0.02752710087224841 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016556162852793932, model_test_time: 0.01097093801945448
Total test time: 0.01965317316353321 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01216506538912654, model_test_time: 0.0074881077744066715
Total test time: 0.01965904515236616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012129827169701457, model_test_time: 0.007529217982664704
Total test time: 0.01959956414066255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012152881128713489, model_test_time: 0.007446683011949062
Total test time: 0.019590748939663172 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01208097510971129, model_test_time: 0.007509773829951882
Total test time: 0.0275468984618783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016624328214675188, model_test_time: 0.010922570247203112
Total test time: 0.02768654003739357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016729972092434764, model_test_time: 0.010956567944958806
***1_th repeat
Total test time: 0.028660861076787114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01807552110403776, model_test_time: 0.010585339972749352
Total test time: 0.027666502399370074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01704525714740157, model_test_time: 0.010621245251968503
Total test time: 0.02769670495763421 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017095958814024925, model_test_time: 0.010600746143609285
Total test time: 0.023931442061439157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016745250904932618, model_test_time: 0.007186191156506538
Total test time: 0.019655766896903515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012414206750690937, model_test_time: 0.007241560146212578
Total test time: 0.019669356988742948 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012504590908065438, model_test_time: 0.007164766080677509
Total test time: 0.019618729827925563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012368614785373211, model_test_time: 0.007250115042552352
Total test time: 0.02364350575953722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013069387758150697, model_test_time: 0.010574118001386523
Total test time: 0.02767461515031755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017038648016750813, model_test_time: 0.010635967133566737
Total test time: 0.02768141101114452 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01705192495137453, model_test_time: 0.010629486059769988
Total test time: 0.027633172227069736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0170564993750304, model_test_time: 0.010576672852039337
Total test time: 0.027627967298030853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01704379520379007, model_test_time: 0.010584172094240785
Total test time: 0.027557286201044917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01699116826057434, model_test_time: 0.010566117940470576
Total test time: 0.02036277879960835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013142607873305678, model_test_time: 0.007220170926302671
Total test time: 0.019585971953347325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012391798896715045, model_test_time: 0.00719417305663228
Total test time: 0.01962363626807928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01236498518846929, model_test_time: 0.00725865107960999
Total test time: 0.019719321513548493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012526295380666852, model_test_time: 0.007193026132881641
Total test time: 0.02706915489397943 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016474351985380054, model_test_time: 0.010594802908599377
Total test time: 0.027712522074580193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01710153417661786, model_test_time: 0.010610987897962332
Total test time: 0.02767939167097211 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017028202768415213, model_test_time: 0.010651188902556896
***2_th repeat
Total test time: 0.019919589161872864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013143439078703523, model_test_time: 0.006776150083169341
Total test time: 0.019659339683130383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012926356866955757, model_test_time: 0.006732982816174626
Total test time: 0.019649859983474016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012839007889851928, model_test_time: 0.006810852093622088
Total test time: 0.019893831573426723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01276273070834577, model_test_time: 0.007131100865080953
Total test time: 0.02750536031089723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017601777333766222, model_test_time: 0.009903582977131009
Total test time: 0.027444532373920083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017566095106303692, model_test_time: 0.009878437267616391
Total test time: 0.027424364117905498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017582610249519348, model_test_time: 0.00984175386838615
Total test time: 0.027467214036732912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017560443840920925, model_test_time: 0.009906770195811987
Total test time: 0.027465974213555455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017547038150951266, model_test_time: 0.009918936062604189
Total test time: 0.027432624017819762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01748120808042586, model_test_time: 0.009951415937393904
Total test time: 0.027420477010309696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017537743085995317, model_test_time: 0.00988273392431438
Total test time: 0.027504732133820653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01756405713967979, model_test_time: 0.009940674994140863
Total test time: 0.02274788706563413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016018996248021722, model_test_time: 0.00672889081761241
Total test time: 0.01954947365447879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012775304727256298, model_test_time: 0.00677416892722249
Total test time: 0.019511251244693995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012794564245268703, model_test_time: 0.006716686999425292
Total test time: 0.019606692949309945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01283504394814372, model_test_time: 0.0067716490011662245
Total test time: 0.02458654879592359 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014656817773357034, model_test_time: 0.009929731022566557
Total test time: 0.027530065272003412 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017645906191319227, model_test_time: 0.009884159080684185
Total test time: 0.027572342194616795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017677738331258297, model_test_time: 0.009894603863358498
Total test time: 0.027537232264876366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0176378320902586, model_test_time: 0.009899400174617767
***3_th repeat
Total test time: 0.027302405098453164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0163386519998312, model_test_time: 0.010963753098621964
