Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:03:19')
***MAWI1_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020056590205058455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017455609049648046, model_test_time: 0.002600981155410409
Total test time: 0.01772412029094994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015272987075150013, model_test_time: 0.0024511332157999277
Total test time: 0.017738398164510727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015314931282773614, model_test_time: 0.002423466881737113
Total test time: 0.017754564061760902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01529985829256475, model_test_time: 0.0024547057691961527
Total test time: 0.01776771293953061 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015338116092607379, model_test_time: 0.002429596846923232
Total test time: 0.0177586751524359 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015324060106649995, model_test_time: 0.002434615045785904
Total test time: 0.01783013716340065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015421114163473248, model_test_time: 0.0024090229999274015
Total test time: 0.024185685208067298 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02069344511255622, model_test_time: 0.003492240095511079
Total test time: 0.024414866929873824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02088199811987579, model_test_time: 0.0035328688099980354
Total test time: 0.02440629107877612 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020929865073412657, model_test_time: 0.0034764260053634644
Total test time: 0.024410699028521776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020845534978434443, model_test_time: 0.0035651640500873327
Total test time: 0.024440661072731018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02093268116004765, model_test_time: 0.0035079799126833677
Total test time: 0.024388532154262066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02083166316151619, model_test_time: 0.0035568689927458763
Total test time: 0.02450617589056492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.021023287903517485, model_test_time: 0.003482887987047434
Total test time: 0.02437686687335372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020818517077714205, model_test_time: 0.003558349795639515
Total test time: 0.02437193994410336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020864126039668918, model_test_time: 0.0035078139044344425
Total test time: 0.024346570251509547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02083644224330783, model_test_time: 0.0035101280082017183
Total test time: 0.02439434709958732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020875626243650913, model_test_time: 0.003518720855936408
Total test time: 0.024185703601688147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.020931402686983347, model_test_time: 0.0032543009147047997
