Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(diag)', time='2021-04-01 08:37:05')
***SFRIG1_2020, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.0639579938724637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.06243177084252238, model_test_time: 0.0015262230299413204
Total test time: 0.013617696706205606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012196137802675366, model_test_time: 0.00142155890353024
Total test time: 0.013646474573761225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01224108156748116, model_test_time: 0.0014053930062800646
Total test time: 0.014276219066232443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012266600038856268, model_test_time: 0.002009619027376175
Total test time: 0.018963257549330592 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01688756630755961, model_test_time: 0.0020756912417709827
Total test time: 0.018945720978081226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016944860108196735, model_test_time: 0.002000860869884491
Total test time: 0.018961184192448854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016972361132502556, model_test_time: 0.0019888230599462986
Total test time: 0.018941833171993494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01688697305507958, model_test_time: 0.0020548601169139147
Total test time: 0.01883333269506693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016838342882692814, model_test_time: 0.001994989812374115
Total test time: 0.0189434967469424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016951710917055607, model_test_time: 0.001991785829886794
Total test time: 0.01890536886639893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016845194855704904, model_test_time: 0.002060174010694027
Total test time: 0.015200696419924498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013778656255453825, model_test_time: 0.0014220401644706726
Total test time: 0.013589514186605811 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012174880132079124, model_test_time: 0.0014146340545266867
Total test time: 0.013629365246742964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012173047056421638, model_test_time: 0.0014563181903213263
