Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='KJL-GMM(diag)', time='2021-04-01 08:43:39')
***SFRIG1_2020, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.015641249949112535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014111710945144296, model_test_time: 0.0015295390039682388
Total test time: 0.01352783408947289 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012052127392962575, model_test_time: 0.001475706696510315
Total test time: 0.013510668184608221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012039128225296736, model_test_time: 0.0014715399593114853
Total test time: 0.013456207001581788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012021369999274611, model_test_time: 0.0014348370023071766
Total test time: 0.01343705877661705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012019091984257102, model_test_time: 0.0014179667923599482
Total test time: 0.018386000767350197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636584266088903, model_test_time: 0.0020201581064611673
Total test time: 0.018721252214163542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01670611323788762, model_test_time: 0.002015138976275921
Total test time: 0.018687269184738398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016666557174175978, model_test_time: 0.00202071201056242
Total test time: 0.018683490343391895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666024257428944, model_test_time: 0.002023247769102454
Total test time: 0.01862762402743101 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01659698598086834, model_test_time: 0.0020306380465626717
Total test time: 0.018821247154846787 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016801035031676292, model_test_time: 0.002020212123170495
Total test time: 0.018744825152680278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016643763054162264, model_test_time: 0.002101062098518014
Total test time: 0.018324500881135464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016695020953193307, model_test_time: 0.0016294799279421568
Total test time: 0.013425096170976758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01199618517421186, model_test_time: 0.0014289109967648983
Total test time: 0.013424205128103495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011984035139903426, model_test_time: 0.0014401699882000685
Total test time: 0.013455780688673258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012024553725495934, model_test_time: 0.0014312269631773233
Total test time: 0.013522815192118287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012088904157280922, model_test_time: 0.0014339110348373652
Total test time: 0.013515816302970052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012084664078429341, model_test_time: 0.0014311522245407104
Total test time: 0.018151765456423163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016134978272020817, model_test_time: 0.0020167871844023466
Total test time: 0.018817212199792266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679199910722673, model_test_time: 0.0020252130925655365
***1_th repeat
Total test time: 0.019192944280803204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017175509128719568, model_test_time: 0.0020174351520836353
Total test time: 0.01887395093217492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01679486990906298, model_test_time: 0.0020790810231119394
Total test time: 0.013473538216203451 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012043535243719816, model_test_time: 0.001430002972483635
Total test time: 0.013531299075111747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01209849794395268, model_test_time: 0.0014328011311590672
Total test time: 0.01349574071355164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012063886038959026, model_test_time: 0.0014318546745926142
Total test time: 0.013470466248691082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012032851111143827, model_test_time: 0.0014376151375472546
Total test time: 0.013455056818202138 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012024534866213799, model_test_time: 0.0014305219519883394
Total test time: 0.01776032941415906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015739597147330642, model_test_time: 0.0020207322668284178
Total test time: 0.01871343608945608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016698946245014668, model_test_time: 0.002014489844441414
Total test time: 0.018756565870717168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016755279153585434, model_test_time: 0.002001286717131734
Total test time: 0.01877484191209078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016767777036875486, model_test_time: 0.002007064875215292
Total test time: 0.013496556784957647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01207640371285379, model_test_time: 0.001420153072103858
Total test time: 0.013452706160023808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012031869031488895, model_test_time: 0.001420837128534913
Total test time: 0.013472463702782989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012065366841852665, model_test_time: 0.0014070968609303236
Total test time: 0.013450503814965487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012038183864206076, model_test_time: 0.0014123199507594109
Total test time: 0.013366670813411474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011963110882788897, model_test_time: 0.0014035599306225777
Total test time: 0.016460119048133492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014464312931522727, model_test_time: 0.0019958061166107655
Total test time: 0.01877610106021166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016781036043539643, model_test_time: 0.001995065016672015
Total test time: 0.01867202902212739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016632077051326632, model_test_time: 0.0020399519708007574
Total test time: 0.01874289778061211 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016737333731725812, model_test_time: 0.002005564048886299
***2_th repeat
Total test time: 0.014409943949431181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012984217843040824, model_test_time: 0.001425726106390357
Total test time: 0.013542295899242163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01208525593392551, model_test_time: 0.0014570399653166533
Total test time: 0.013463946990668774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012056349776685238, model_test_time: 0.0014075972139835358
Total test time: 0.013493334641680121 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012083089677616954, model_test_time: 0.0014102449640631676
Total test time: 0.013498540036380291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012098591076210141, model_test_time: 0.0013999489601701498
