Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(diag)', time='2021-04-01 01:56:30')
***SFRIG1_2020, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.006026293849572539 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005329811945557594, model_test_time: 0.000696481904014945
Total test time: 0.00254377000965178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020491790492087603, model_test_time: 0.0004945909604430199
Total test time: 0.003072659019380808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002432923996821046, model_test_time: 0.000639735022559762
Total test time: 0.003075476735830307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002536363899707794, model_test_time: 0.0005391128361225128
Total test time: 0.0037834004033356905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028650392778217793, model_test_time: 0.0009183611255139112
Total test time: 0.0028596443589776754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0025102102663367987, model_test_time: 0.00034943409264087677
Total test time: 0.0017926599830389023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014501609839498997, model_test_time: 0.0003424989990890026
Total test time: 0.0019481978379189968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001610904699191451, model_test_time: 0.00033729313872754574
Total test time: 0.002549929777160287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020875600166618824, model_test_time: 0.0004623697604984045
Total test time: 0.0022194578777998686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018629678525030613, model_test_time: 0.0003564900252968073
Total test time: 0.0030523259192705154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022690140176564455, model_test_time: 0.0007833119016140699
Total test time: 0.0021219532936811447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001529682194814086, model_test_time: 0.0005922710988670588
Total test time: 0.003145411144942045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0026203731540590525, model_test_time: 0.0005250379908829927
Total test time: 0.002222413895651698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018743190448731184, model_test_time: 0.0003480948507785797
Total test time: 0.002088892972096801 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017512720078229904, model_test_time: 0.0003376209642738104
Total test time: 0.0019276165403425694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016021768096834421, model_test_time: 0.00032543973065912724
Total test time: 0.0027673651929944754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020474130287766457, model_test_time: 0.0007199521642178297
Total test time: 0.0017857309430837631 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001481994055211544, model_test_time: 0.0003037368878722191
Total test time: 0.00288975122384727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0023239501751959324, model_test_time: 0.0005658010486513376
Total test time: 0.001789553090929985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014643962495028973, model_test_time: 0.0003251568414270878
***1_th repeat
Total test time: 0.002465691650286317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002141411416232586, model_test_time: 0.00032428023405373096
Total test time: 0.0020373829174786806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016536829061806202, model_test_time: 0.0003837000112980604
Total test time: 0.0022321301512420177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001822139136493206, model_test_time: 0.0004099910147488117
Total test time: 0.004244769224897027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003727835137397051, model_test_time: 0.0005169340874999762
Total test time: 0.0019432618282735348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016311740037053823, model_test_time: 0.00031208782456815243
Total test time: 0.0032109327148646116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024650089908391237, model_test_time: 0.0007459237240254879
Total test time: 0.0023482544347643852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018968491349369287, model_test_time: 0.0004514052998274565
Total test time: 0.0027540766168385744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022588458377867937, model_test_time: 0.0004952307790517807
Total test time: 0.0034936009906232357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0029921189416199923, model_test_time: 0.0005014820490032434
Total test time: 0.0024978748988360167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002051105722784996, model_test_time: 0.0004467691760510206
Total test time: 0.002389101078733802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019407619256526232, model_test_time: 0.00044833915308117867
Total test time: 0.0025524708908051252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021015729289501905, model_test_time: 0.0004508979618549347
Total test time: 0.0025179735384881496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002074397634714842, model_test_time: 0.0004435759037733078
Total test time: 0.004326612688601017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0037873699329793453, model_test_time: 0.0005392427556216717
Total test time: 0.005048204213380814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004400470294058323, model_test_time: 0.0006477339193224907
Total test time: 0.0036306199617683887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0032414370216429234, model_test_time: 0.0003891829401254654
Total test time: 0.0020660862792283297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017376132309436798, model_test_time: 0.00032847304828464985
Total test time: 0.002793238963931799 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002369617111980915, model_test_time: 0.00042362185195088387
Total test time: 0.002079236088320613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017585570458322763, model_test_time: 0.00032067904248833656
Total test time: 0.002109614899381995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017860799562186003, model_test_time: 0.00032353494316339493
***2_th repeat
Total test time: 0.0021635431330651045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018190443515777588, model_test_time: 0.0003444987814873457
Total test time: 0.002995578106492758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0025446501094847918, model_test_time: 0.00045092799700796604
Total test time: 0.0018491679802536964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015414671506732702, model_test_time: 0.0003077008295804262
Total test time: 0.00222459202632308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018155428115278482, model_test_time: 0.0004090492147952318
Total test time: 0.0019381875172257423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016323465388268232, model_test_time: 0.0003058409783989191
Total test time: 0.0033413751516491175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019368769135326147, model_test_time: 0.0014044982381165028
Total test time: 0.0018958710134029388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015714839100837708, model_test_time: 0.0003243871033191681
Total test time: 0.0018733448814600706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015074489638209343, model_test_time: 0.0003658959176391363
Total test time: 0.0019674613140523434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016573541797697544, model_test_time: 0.00031010713428258896
Total test time: 0.002000620821490884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016658047679811716, model_test_time: 0.0003348160535097122
Total test time: 0.0027830442413687706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002407086081802845, model_test_time: 0.0003759581595659256
Total test time: 0.0018251079600304365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015262891538441181, model_test_time: 0.0002988188061863184
Total test time: 0.0021253719460219145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017967389430850744, model_test_time: 0.00032863300293684006
Total test time: 0.0019841999746859074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015006880275905132, model_test_time: 0.00048351194709539413
Total test time: 0.0031854610424488783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002835203893482685, model_test_time: 0.0003502571489661932
Total test time: 0.0020002557430416346 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016199727542698383, model_test_time: 0.0003802829887717962
Total test time: 0.002309095114469528 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001972201047465205, model_test_time: 0.000336894067004323
Total test time: 0.002919686259701848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00194929214194417, model_test_time: 0.000970394117757678
Total test time: 0.010009096702560782 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.009376419708132744, model_test_time: 0.0006326769944280386
Total test time: 0.0034414450637996197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0029532539192587137, model_test_time: 0.00048819114454090595
***3_th repeat
Total test time: 0.00301257218234241 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002640414983034134, model_test_time: 0.0003721571993082762
Total test time: 0.0024709030985832214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019880281761288643, model_test_time: 0.00048287492245435715
Total test time: 0.002067412016913295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016646729782223701, model_test_time: 0.00040273903869092464
Total test time: 0.0018662938382476568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014993618242442608, model_test_time: 0.00036693201400339603
Total test time: 0.0018985241185873747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015369511675089598, model_test_time: 0.0003615729510784149
Total test time: 0.0022038647439330816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001705107744783163, model_test_time: 0.0004987569991499186
Total test time: 0.0030191445257514715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024258983321487904, model_test_time: 0.0005932461936026812
Total test time: 0.002207960933446884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018788198940455914, model_test_time: 0.0003291410394012928
Total test time: 0.0020413242746144533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001722537213936448, model_test_time: 0.0003187870606780052
Total test time: 0.001871389104053378 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015528451185673475, model_test_time: 0.0003185439854860306
Total test time: 0.0026870158035308123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002075450960546732, model_test_time: 0.0006115648429840803
Total test time: 0.0020233821123838425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017056812066584826, model_test_time: 0.0003177009057253599
Total test time: 0.001877891132608056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015245580580085516, model_test_time: 0.00035333307459950447
Total test time: 0.0018444927409291267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015340838581323624, model_test_time: 0.0003104088827967644
Total test time: 0.002696947194635868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021574189886450768, model_test_time: 0.0005395282059907913
Total test time: 0.0019849888049066067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016248750034719706, model_test_time: 0.0003601138014346361
Total test time: 0.0017991201020777225 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014968060422688723, model_test_time: 0.0003023140598088503
Total test time: 0.0019107488915324211 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015007131733000278, model_test_time: 0.00041003571823239326
Total test time: 0.0019544567912817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015236448962241411, model_test_time: 0.000430811895057559
Total test time: 0.003403340233489871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002943362109363079, model_test_time: 0.00045997812412679195
***4_th repeat
Total test time: 0.001823417842388153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014983487781137228, model_test_time: 0.0003250690642744303
Total test time: 0.0018354863859713078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014311391860246658, model_test_time: 0.0004043471999466419
Total test time: 0.0031362222507596016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002083113184198737, model_test_time: 0.0010531090665608644
Total test time: 0.0024038192350417376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018810431938618422, model_test_time: 0.0005227760411798954
Total test time: 0.002255626954138279 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017966320738196373, model_test_time: 0.00045899488031864166
Total test time: 0.0023990769404917955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001959090121090412, model_test_time: 0.0004399868194013834
Total test time: 0.00231454917229712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018882560543715954, model_test_time: 0.0004262931179255247
Total test time: 0.0022904928773641586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001957160886377096, model_test_time: 0.00033333199098706245
Total test time: 0.0018280241638422012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014386759139597416, model_test_time: 0.00038934824988245964
Total test time: 0.0019976519979536533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014993350487202406, model_test_time: 0.0004983169492334127
Total test time: 0.002032018266618252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015703390818089247, model_test_time: 0.0004616791848093271
Total test time: 0.002285307738929987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017959377728402615, model_test_time: 0.0004893699660897255
Total test time: 0.002235504100099206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018923319876194, model_test_time: 0.00034317211247980595
Total test time: 0.0019576866179704666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016112008597701788, model_test_time: 0.0003464857582002878
Total test time: 0.003189084120094776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002369627123698592, model_test_time: 0.000819456996396184
Total test time: 0.0016722220461815596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013624168932437897, model_test_time: 0.0003098051529377699
Total test time: 0.0022785901091992855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017783069051802158, model_test_time: 0.0005002832040190697
Total test time: 0.0020403899252414703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016063679940998554, model_test_time: 0.0004340219311416149
Total test time: 0.0017025729175657034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013850198592990637, model_test_time: 0.0003175530582666397
Total test time: 0.0019825699273496866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016669519245624542, model_test_time: 0.0003156180027872324
speedup/out/models_res/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag/SFRIG1_2020-KJL-GMM(diag).dat
