Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 01:56:27')
***SFRIG1_2020, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.006606461014598608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006101934937760234, model_test_time: 0.0005045260768383741
Total test time: 0.0020621332805603743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016615241765975952, model_test_time: 0.00040060910396277905
Total test time: 0.003212372539564967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028027775697410107, model_test_time: 0.0004095949698239565
Total test time: 0.0028479848988354206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021089138463139534, model_test_time: 0.0007390710525214672
Total test time: 0.0064008228946477175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005628390004858375, model_test_time: 0.0007724328897893429
Total test time: 0.004846248775720596 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00407971884123981, model_test_time: 0.0007665299344807863
Total test time: 0.003017103997990489 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0025785069447010756, model_test_time: 0.00043859705328941345
Total test time: 0.0023377554025501013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018174017313867807, model_test_time: 0.0005203536711633205
Total test time: 0.0026939320378005505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002289571100845933, model_test_time: 0.0004043609369546175
Total test time: 0.0018854497466236353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015245629474520683, model_test_time: 0.00036088679917156696
Total test time: 0.0019227887969464064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001486706081777811, model_test_time: 0.0004360827151685953
Total test time: 0.0022702845744788647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017431017477065325, model_test_time: 0.0005271828267723322
Total test time: 0.002617117017507553 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020721040200442076, model_test_time: 0.0005450129974633455
Total test time: 0.0025595275219529867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020515744108706713, model_test_time: 0.0005079531110823154
Total test time: 0.002556515857577324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018850509077310562, model_test_time: 0.0006714649498462677
Total test time: 0.007274281233549118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006862320238724351, model_test_time: 0.0004119609948247671
Total test time: 0.005781529936939478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005414338782429695, model_test_time: 0.0003671911545097828
Total test time: 0.002840653993189335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022394899278879166, model_test_time: 0.0006011640653014183
Total test time: 0.002482350915670395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019596668425947428, model_test_time: 0.0005226840730756521
Total test time: 0.0032674341928213835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028723471332341433, model_test_time: 0.0003950870595872402
***1_th repeat
Total test time: 0.0038001248612999916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0033641529735177755, model_test_time: 0.00043597188778221607
Total test time: 0.0024176493752747774 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018654956948012114, model_test_time: 0.0005521536804735661
Total test time: 0.0028083669021725655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022576379124075174, model_test_time: 0.000550728989765048
Total test time: 0.003935406683012843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0026833119336515665, model_test_time: 0.0012520947493612766
Total test time: 0.002538135042414069 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002007876057177782, model_test_time: 0.0005302589852362871
Total test time: 0.0026320910546928644 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022516348399221897, model_test_time: 0.0003804562147706747
Total test time: 0.003461552085354924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003048365004360676, model_test_time: 0.0004131870809942484
Total test time: 0.0029763085767626762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024641668424010277, model_test_time: 0.0005121417343616486
Total test time: 0.0029466617852449417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0025722519494593143, model_test_time: 0.00037440983578562737
Total test time: 0.0020120127592235804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001672342885285616, model_test_time: 0.00033966987393796444
Total test time: 0.001996853156015277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001534820068627596, model_test_time: 0.000462033087387681
Total test time: 0.0030123889446258545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002556195016950369, model_test_time: 0.0004561939276754856
Total test time: 0.0023697465658187866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020138637628406286, model_test_time: 0.000355882802978158
Total test time: 0.0045206909999251366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003966423915699124, model_test_time: 0.0005542670842260122
Total test time: 0.020347735146060586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.019792049191892147, model_test_time: 0.0005556859541684389
Total test time: 0.003765786299481988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0032405529636889696, model_test_time: 0.0005252333357930183
Total test time: 0.0023082050029188395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018071499653160572, model_test_time: 0.0005010550376027822
Total test time: 0.00284714181907475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024193848948925734, model_test_time: 0.0004277569241821766
Total test time: 0.0028089999686926603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020316028967499733, model_test_time: 0.000777397071942687
Total test time: 0.0025463502388447523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001999183092266321, model_test_time: 0.0005471671465784311
***2_th repeat
Total test time: 0.0031376529950648546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0026110089384019375, model_test_time: 0.0005266440566629171
Total test time: 0.0043382353615015745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003935851156711578, model_test_time: 0.00040238420478999615
Total test time: 0.0031328778713941574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00256386399269104, model_test_time: 0.0005690138787031174
Total test time: 0.002625606721267104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002114000963047147, model_test_time: 0.0005116057582199574
Total test time: 0.004319674801081419 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003742863889783621, model_test_time: 0.0005768109112977982
Total test time: 0.0025163490790873766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020736311562359333, model_test_time: 0.0004427179228514433
Total test time: 0.0023970534093677998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018499577417969704, model_test_time: 0.0005470956675708294
Total test time: 0.002877701772376895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022726329043507576, model_test_time: 0.0006050688680261374
Total test time: 0.0028596867341548204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022633057087659836, model_test_time: 0.0005963810253888369
Total test time: 0.00468075112439692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0038475182373076677, model_test_time: 0.0008332328870892525
Total test time: 0.003828697605058551 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0029680337756872177, model_test_time: 0.0008606638293713331
Total test time: 0.0027384969871491194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021364788990467787, model_test_time: 0.0006020180881023407
Total test time: 0.002070419955998659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017066898290067911, model_test_time: 0.000363730126991868
Total test time: 0.0027112208772450686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0023488570004701614, model_test_time: 0.0003623638767749071
Total test time: 0.00208466500043869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001571316970512271, model_test_time: 0.0005133480299264193
Total test time: 0.0025781120639294386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002144215162843466, model_test_time: 0.0004338969010859728
Total test time: 0.0027368557639420033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021961897145956755, model_test_time: 0.0005406660493463278
Total test time: 0.002391221933066845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019248919561505318, model_test_time: 0.00046632997691631317
Total test time: 0.002846041228622198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002246320014819503, model_test_time: 0.0005997212138026953
Total test time: 0.0022357830312103033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016979831270873547, model_test_time: 0.0005377999041229486
***3_th repeat
Total test time: 0.0018669250421226025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015027329791337252, model_test_time: 0.0003641920629888773
Total test time: 0.0022507819812744856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017300511244684458, model_test_time: 0.0005207308568060398
Total test time: 0.0028088323306292295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0023575082886964083, model_test_time: 0.0004513240419328213
Total test time: 0.0034350671339780092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028364260215312243, model_test_time: 0.000598641112446785
Total test time: 0.002638721838593483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015647639520466328, model_test_time: 0.0010739578865468502
Total test time: 0.0029689951334148645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0025740950368344784, model_test_time: 0.00039490009658038616
Total test time: 0.0038787901867181063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002250575227662921, model_test_time: 0.0016282149590551853
Total test time: 0.0025673091877251863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020687170326709747, model_test_time: 0.0004985921550542116
Total test time: 0.005081237060949206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003632452106103301, model_test_time: 0.0014487849548459053
Total test time: 0.002729221945628524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021733639296144247, model_test_time: 0.0005558580160140991
Total test time: 0.003336261957883835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0027799189556390047, model_test_time: 0.0005563430022448301
Total test time: 0.0043505895882844925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003912012791261077, model_test_time: 0.00043857679702341557
Total test time: 0.0024973899126052856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019953008741140366, model_test_time: 0.0005020890384912491
Total test time: 0.0035235690884292126 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0030529950745403767, model_test_time: 0.0004705740138888359
Total test time: 0.002839841181412339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021057091653347015, model_test_time: 0.0007341320160776377
Total test time: 0.0022861179895699024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019228949677199125, model_test_time: 0.0003632230218499899
Total test time: 0.0027265187818557024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002362548839300871, model_test_time: 0.0003639699425548315
Total test time: 0.0019616831559687853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001582798082381487, model_test_time: 0.0003788850735872984
Total test time: 0.0022702491842210293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018574900459498167, model_test_time: 0.0004127591382712126
Total test time: 0.0021600909531116486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016810819506645203, model_test_time: 0.0004790090024471283
***4_th repeat
Total test time: 0.0017915135249495506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013761324808001518, model_test_time: 0.0004153810441493988
Total test time: 0.0021607750095427036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016942420043051243, model_test_time: 0.00046653300523757935
Total test time: 0.0043820044957101345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003905682358890772, model_test_time: 0.00047632213681936264
Total test time: 0.0025967280380427837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021990141831338406, model_test_time: 0.0003977138549089432
Total test time: 0.002207559999078512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001793907955288887, model_test_time: 0.00041365204378962517
Total test time: 0.0032505339477211237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002720650751143694, model_test_time: 0.0005298831965774298
Total test time: 0.0036898900289088488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0028397170826792717, model_test_time: 0.0008501729462295771
Total test time: 0.0019608070142567158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015949050430208445, model_test_time: 0.0003659019712358713
Total test time: 0.00271000643260777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018954372499138117, model_test_time: 0.0008145691826939583
Total test time: 0.002764143282547593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019862172193825245, model_test_time: 0.0007779260631650686
Total test time: 0.0024909505154937506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018242096994072199, model_test_time: 0.0006667408160865307
Total test time: 0.0031715030781924725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00258499919436872, model_test_time: 0.0005865038838237524
Total test time: 0.002314523793756962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019530977588146925, model_test_time: 0.0003614260349422693
Total test time: 0.0019728050101548433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016217802185565233, model_test_time: 0.00035102479159832
Total test time: 0.0031702201813459396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002308351220563054, model_test_time: 0.0008618689607828856
Total test time: 0.001871986547484994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013834857381880283, model_test_time: 0.0004885008092969656
Total test time: 0.002633066149428487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0020817259792238474, model_test_time: 0.0005513401702046394
Total test time: 0.0025154429022222757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021046889014542103, model_test_time: 0.00041075400076806545
Total test time: 0.0024718977510929108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019720569252967834, model_test_time: 0.0004998408257961273
Total test time: 0.003426262876018882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002425512997433543, model_test_time: 0.0010007498785853386
speedup/out/models_res/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full/SFRIG1_2020-KJL-GMM(full).dat
