Namespace(dataset='SFRIG1_2020', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-01 01:56:32')
***SFRIG1_2020, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.006531747989356518 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004979660967364907, model_test_time: 0.0015520870219916105
Total test time: 0.0024333151523023844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00091891223564744, model_test_time: 0.0015144029166549444
Total test time: 0.003559497185051441 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012009572237730026, model_test_time: 0.0023585399612784386
Total test time: 0.0034699877724051476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001356273889541626, model_test_time: 0.0021137138828635216
Total test time: 0.0051026062574237585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003250383073464036, model_test_time: 0.0018522231839597225
Total test time: 0.003411974525079131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001269482308998704, model_test_time: 0.002142492216080427
Total test time: 0.0034242847468703985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017481560353189707, model_test_time: 0.0016761287115514278
Total test time: 0.003191230120137334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014113159850239754, model_test_time: 0.0017799141351133585
Total test time: 0.004605819704011083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001574777765199542, model_test_time: 0.0030310419388115406
Total test time: 0.0031261153053492308 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014194352552294731, model_test_time: 0.0017066800501197577
Total test time: 0.0036157050635665655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001384589122608304, model_test_time: 0.0022311159409582615
Total test time: 0.007338081020861864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004381434991955757, model_test_time: 0.002956646028906107
Total test time: 0.0034827778581529856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014297778252512217, model_test_time: 0.002053000032901764
Total test time: 0.0020709021482616663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008862391114234924, model_test_time: 0.0011846630368381739
Total test time: 0.00412576412782073 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011044060811400414, model_test_time: 0.003021358046680689
Total test time: 0.002801322378218174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009844282176345587, model_test_time: 0.0018168941605836153
