Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='KJL-OCSVM(linear)', time='2021-04-01 08:43:22')
***SFRIG1_2020, KJL-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.045046008890494704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014212854905053973, model_test_time: 0.03083315398544073
Total test time: 0.04883938515558839 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012406453024595976, model_test_time: 0.03643293213099241
Total test time: 0.05274827522225678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016499394085258245, model_test_time: 0.036248881136998534
Total test time: 0.04283478297293186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01187088992446661, model_test_time: 0.030963893048465252
Total test time: 0.04269032273441553 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011800242820754647, model_test_time: 0.030890079913660884
Total test time: 0.05261451774276793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016260565957054496, model_test_time: 0.036353951785713434
Total test time: 0.052240861812606454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016508801840245724, model_test_time: 0.03573205997236073
Total test time: 0.04283483768813312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01191661087796092, model_test_time: 0.0309182268101722
Total test time: 0.04290585499256849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011896112002432346, model_test_time: 0.031009742990136147
Total test time: 0.04278108081780374 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0118602248840034, model_test_time: 0.03092085593380034
Total test time: 0.043129517463967204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011882224585860968, model_test_time: 0.031247292878106236
Total test time: 0.05255911312997341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016488210298120975, model_test_time: 0.036070902831852436
Total test time: 0.0526964811142534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165082651656121, model_test_time: 0.0361882159486413
Total test time: 0.052831773180514574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016509302193298936, model_test_time: 0.03632247098721564
Total test time: 0.04629757418297231 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015283775050193071, model_test_time: 0.03101379913277924
Total test time: 0.04300383594818413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011967111844569445, model_test_time: 0.031036724103614688
Total test time: 0.048243287252262235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011903501115739346, model_test_time: 0.03633978613652289
Total test time: 0.052458466263487935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01643065526150167, model_test_time: 0.036027811001986265
Total test time: 0.05245078192092478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016571207903325558, model_test_time: 0.035879574017599225
Total test time: 0.05250787315890193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016407322138547897, model_test_time: 0.03610055102035403
***1_th repeat
Total test time: 0.05322417337447405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017218342050909996, model_test_time: 0.03600583132356405
Total test time: 0.047396695939823985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016650001984089613, model_test_time: 0.030746693955734372
Total test time: 0.04297487111762166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011926629114896059, model_test_time: 0.0310482420027256
Total test time: 0.047177257016301155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01203498081304133, model_test_time: 0.035142276203259826
Total test time: 0.052793273935094476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016632779967039824, model_test_time: 0.03616049396805465
Total test time: 0.0527472379617393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016680354019626975, model_test_time: 0.03606688394211233
Total test time: 0.0523911917116493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016694223741069436, model_test_time: 0.03569696797057986
Total test time: 0.04305974068120122 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012038034852594137, model_test_time: 0.031021705828607082
Total test time: 0.04343726974911988 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011982554802671075, model_test_time: 0.0314547149464488
Total test time: 0.05291210697032511 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666842889972031, model_test_time: 0.0362436780706048
Total test time: 0.05306578543968499 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01670922222547233, model_test_time: 0.036356563214212656
Total test time: 0.053103453014045954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669744518585503, model_test_time: 0.03640600782819092
Total test time: 0.05298928776755929 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016558003844693303, model_test_time: 0.03643128392286599
Total test time: 0.052999860839918256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016691092867404222, model_test_time: 0.03630876797251403
Total test time: 0.053096547024324536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016649483935907483, model_test_time: 0.03644706308841705
Total test time: 0.05288403108716011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01670613093301654, model_test_time: 0.03617790015414357
Total test time: 0.05292236269451678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01662277989089489, model_test_time: 0.03629958280362189
Total test time: 0.05303197191096842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01667374186217785, model_test_time: 0.036358230048790574
Total test time: 0.053165189921855927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01683097891509533, model_test_time: 0.0363342110067606
Total test time: 0.05294960387982428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016626280965283513, model_test_time: 0.03632332291454077
***2_th repeat
Total test time: 0.05327415210194886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016222012229263783, model_test_time: 0.037052139872685075
Total test time: 0.05344539089128375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01668274379335344, model_test_time: 0.03676264709793031
Total test time: 0.042952800169587135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011999648064374924, model_test_time: 0.03095315210521221
Total test time: 0.042863893788307905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012001609895378351, model_test_time: 0.030862283892929554
Total test time: 0.053357632365077734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016383990179747343, model_test_time: 0.03697364218533039
Total test time: 0.0534767578355968 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166075408924371, model_test_time: 0.0368692169431597
Total test time: 0.053100305842235684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016734075034037232, model_test_time: 0.03636623080819845
Total test time: 0.05361751513555646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016682001994922757, model_test_time: 0.0369355131406337
Total test time: 0.0531084518879652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016643612878397107, model_test_time: 0.036464839009568095
Total test time: 0.05338846519589424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664481800980866, model_test_time: 0.03674364718608558
Total test time: 0.05330739403143525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166135230101645, model_test_time: 0.03669387102127075
Total test time: 0.05353242275305092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01657800399698317, model_test_time: 0.03695441875606775
Total test time: 0.05362918088212609 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016612910898402333, model_test_time: 0.03701626998372376
Total test time: 0.0530678981449455 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01665737316943705, model_test_time: 0.03641052497550845
Total test time: 0.042986335000023246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011955332942306995, model_test_time: 0.03103100205771625
Total test time: 0.042914354242384434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011927778134122491, model_test_time: 0.030986576108261943
Total test time: 0.051903462037444115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015481899958103895, model_test_time: 0.03642156207934022
Total test time: 0.05281262565404177 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016605336917564273, model_test_time: 0.036207288736477494
Total test time: 0.052871418884024024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016590501880273223, model_test_time: 0.0362809170037508
Total test time: 0.0525399842299521 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016589208273217082, model_test_time: 0.035950775956735015
***3_th repeat
Total test time: 0.05319656082428992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017048567067831755, model_test_time: 0.03614799375645816
Total test time: 0.04410979012027383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012776480056345463, model_test_time: 0.031333310063928366
Total test time: 0.04341251216828823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012072998099029064, model_test_time: 0.03133951406925917
Total test time: 0.051492454251274467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014711844036355615, model_test_time: 0.03678061021491885
Total test time: 0.053590403171256185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016753888223320246, model_test_time: 0.03683651494793594
Total test time: 0.0534290368668735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660772506147623, model_test_time: 0.03682131180539727
Total test time: 0.053580367704853415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016660409746691585, model_test_time: 0.03691995795816183
Total test time: 0.053504647919908166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016619040863588452, model_test_time: 0.036885607056319714
Total test time: 0.05349198170006275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016635188832879066, model_test_time: 0.036856792867183685
Total test time: 0.053270594915375113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016686111921444535, model_test_time: 0.03658448299393058
Total test time: 0.05329744680784643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016675296938046813, model_test_time: 0.036622149869799614
Total test time: 0.049212746089324355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016717575024813414, model_test_time: 0.03249517106451094
Total test time: 0.042932263109833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012006851145997643, model_test_time: 0.03092541196383536
Total test time: 0.04580397414974868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969055281952024, model_test_time: 0.03383491886779666
Total test time: 0.05273562669754028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01654479978606105, model_test_time: 0.036190826911479235
Total test time: 0.052868309896439314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016677410108968616, model_test_time: 0.0361908997874707
Total test time: 0.05236119171604514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016591799911111593, model_test_time: 0.03576939180493355
Total test time: 0.04313773987814784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011974425986409187, model_test_time: 0.031163313891738653
Total test time: 0.042988964822143316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011976369889453053, model_test_time: 0.031012594932690263
Total test time: 0.05359599622897804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016706167021766305, model_test_time: 0.03688982920721173
***4_th repeat
Total test time: 0.053482814226299524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016646410105749965, model_test_time: 0.03683640412054956
Total test time: 0.05362055287696421 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016588635044172406, model_test_time: 0.037031917832791805
Total test time: 0.052783960942178965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016646651085466146, model_test_time: 0.03613730985671282
Total test time: 0.05274407216347754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016699481988325715, model_test_time: 0.036044590175151825
Total test time: 0.0428192273247987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011944444151595235, model_test_time: 0.03087478317320347
Total test time: 0.043094278080388904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011988722020760179, model_test_time: 0.031105556059628725
Total test time: 0.05373332789167762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016603262862190604, model_test_time: 0.037130065029487014
Total test time: 0.05357481096871197 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016632650047540665, model_test_time: 0.03694216092117131
Total test time: 0.05286960443481803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016717851627618074, model_test_time: 0.036151752807199955
Total test time: 0.053022046107798815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663624309003353, model_test_time: 0.036385803017765284
Total test time: 0.05346557288430631 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016697166953235865, model_test_time: 0.03676840593107045
Total test time: 0.052967509953305125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016668871976435184, model_test_time: 0.03629863797686994
Total test time: 0.05366447614505887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016657095169648528, model_test_time: 0.03700738097541034
Total test time: 0.053643477614969015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01666315086185932, model_test_time: 0.036980326753109694
Total test time: 0.05303262220695615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016657929169014096, model_test_time: 0.03637469303794205
