Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(diag)', time='2021-04-01 08:43:49')
***SFRIG1_2020, KJL-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017319487174972892 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014196893200278282, model_test_time: 0.0031225939746946096
Total test time: 0.014680474065244198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011693821055814624, model_test_time: 0.002986653009429574
Total test time: 0.014665030175819993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011685339035466313, model_test_time: 0.0029796911403536797
Total test time: 0.014682342996820807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011645043967291713, model_test_time: 0.0030372990295290947
Total test time: 0.014661901164799929 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011678933165967464, model_test_time: 0.0029829679988324642
Total test time: 0.01460299314931035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011605007108300924, model_test_time: 0.002997986041009426
Total test time: 0.014600919792428613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01160498894751072, model_test_time: 0.0029959308449178934
Total test time: 0.01733952504582703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013167029013857245, model_test_time: 0.004172496031969786
Total test time: 0.02028891909867525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610688609071076, model_test_time: 0.004182033007964492
Total test time: 0.020352102117612958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016073590144515038, model_test_time: 0.00427851197309792
Total test time: 0.020385212963446975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016136866994202137, model_test_time: 0.004248345969244838
Total test time: 0.020308807026594877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016115237958729267, model_test_time: 0.00419356906786561
Total test time: 0.020416932879015803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016229197848588228, model_test_time: 0.004187735030427575
Total test time: 0.020284066908061504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016119386069476604, model_test_time: 0.0041646808385849
Total test time: 0.01896828319877386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602551806718111, model_test_time: 0.0029427651315927505
Total test time: 0.014618621906265616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011667005950585008, model_test_time: 0.0029516159556806087
Total test time: 0.014561552088707685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01164848986081779, model_test_time: 0.0029130622278898954
Total test time: 0.014497941825538874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01158180576749146, model_test_time: 0.002916136058047414
Total test time: 0.014593531610444188 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011679154820740223, model_test_time: 0.002914376789703965
Total test time: 0.01571509800851345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01165910018607974, model_test_time: 0.00405599782243371
***1_th repeat
Total test time: 0.020489896181970835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01705023506656289, model_test_time: 0.0034396611154079437
Total test time: 0.02011707192286849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016618615947663784, model_test_time: 0.003498455975204706
Total test time: 0.020160180749371648 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016642504138872027, model_test_time: 0.0035176766104996204
Total test time: 0.020106163574382663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01665479876101017, model_test_time: 0.003451364813372493
Total test time: 0.02009801520034671 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016655317042022943, model_test_time: 0.003442698158323765
Total test time: 0.02009379188530147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016664390917867422, model_test_time: 0.0034294009674340487
Total test time: 0.020043998025357723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016617762856185436, model_test_time: 0.003426235169172287
Total test time: 0.014550607651472092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01211919984780252, model_test_time: 0.002431407803669572
Total test time: 0.014482755679637194 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01205173903144896, model_test_time: 0.0024310166481882334
Total test time: 0.014525442151352763 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012099311919882894, model_test_time: 0.0024261302314698696
Total test time: 0.014505977975204587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01207753480412066, model_test_time: 0.002428443171083927
Total test time: 0.014490441419184208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012049443321302533, model_test_time: 0.0024409980978816748
Total test time: 0.020157311111688614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016625782009214163, model_test_time: 0.003531529102474451
Total test time: 0.020182698033750057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016732055926695466, model_test_time: 0.003450642107054591
Total test time: 0.02009684918448329 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016630170168355107, model_test_time: 0.0034666790161281824
Total test time: 0.020159218925982714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669954019598663, model_test_time: 0.003459678729996085
Total test time: 0.020111293997615576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166597249917686, model_test_time: 0.0034515690058469772
Total test time: 0.02014199597761035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663342909887433, model_test_time: 0.003508566878736019
Total test time: 0.020188051974400878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016676651081070304, model_test_time: 0.003511400893330574
Total test time: 0.015614878619089723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013189175864681602, model_test_time: 0.002425702754408121
***2_th repeat
Total test time: 0.014530903659760952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011812985874712467, model_test_time: 0.002717917785048485
Total test time: 0.014643735019490123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01192913088016212, model_test_time: 0.002714604139328003
Total test time: 0.014651918318122625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011945147998631, model_test_time: 0.002706770319491625
Total test time: 0.014578347094357014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01186213199980557, model_test_time: 0.002716215094551444
Total test time: 0.01933588506653905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01543058711104095, model_test_time: 0.0039052979554980993
Total test time: 0.020323434844613075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016466653905808926, model_test_time: 0.0038567809388041496
Total test time: 0.02033112128265202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01646254421211779, model_test_time: 0.0038685770705342293
Total test time: 0.020247511798515916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640732283703983, model_test_time: 0.0038401889614760876
Total test time: 0.02029791777022183 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016461580991744995, model_test_time: 0.0038363367784768343
Total test time: 0.0203389348462224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01640791492536664, model_test_time: 0.003931019920855761
Total test time: 0.020418729167431593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016514004906639457, model_test_time: 0.003904724260792136
Total test time: 0.017080901190638542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014391407137736678, model_test_time: 0.002689494052901864
Total test time: 0.014603106305003166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011905316263437271, model_test_time: 0.002697790041565895
Total test time: 0.014633938670158386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011932538356631994, model_test_time: 0.002701400313526392
Total test time: 0.01468401006422937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01197679596953094, model_test_time: 0.002707214094698429
Total test time: 0.014573588501662016 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01185381761752069, model_test_time: 0.002719770884141326
Total test time: 0.017462427029386163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013581999111920595, model_test_time: 0.0038804279174655676
Total test time: 0.020298509625717998 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01642828481271863, model_test_time: 0.0038702248129993677
Total test time: 0.02032452542334795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016450412571430206, model_test_time: 0.0038741128519177437
Total test time: 0.020253013586625457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01638763933442533, model_test_time: 0.0038653742522001266
***3_th repeat
Total test time: 0.02060020691715181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01694832881912589, model_test_time: 0.003651878098025918
