Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:35:45')
***SFRIG1_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01958537008613348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014333883998915553, model_test_time: 0.005251486087217927
Total test time: 0.016819917364045978 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011748222168534994, model_test_time: 0.0050716951955109835
Total test time: 0.01677758409641683 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01166981691494584, model_test_time: 0.00510776718147099
Total test time: 0.016868488863110542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011734629748389125, model_test_time: 0.005133859114721417
Total test time: 0.01685891509987414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011803294066339731, model_test_time: 0.005055621033534408
Total test time: 0.017001338070258498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011956271948292851, model_test_time: 0.005045066121965647
Total test time: 0.023703864309936762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01633848319761455, model_test_time: 0.007365381112322211
Total test time: 0.023665052140131593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016265559941530228, model_test_time: 0.007399492198601365
Total test time: 0.023783399956300855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0163500199560076, model_test_time: 0.007433380000293255
Total test time: 0.02378599322400987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016327114077284932, model_test_time: 0.007458879146724939
Total test time: 0.023705605883151293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016280910931527615, model_test_time: 0.007424694951623678
Total test time: 0.023811640683561563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016413204837590456, model_test_time: 0.0073984358459711075
Total test time: 0.019094361923635006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013954113004729152, model_test_time: 0.005140248918905854
Total test time: 0.016889637801796198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011815960984677076, model_test_time: 0.0050736768171191216
