Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:42:19')
***SFRIG1_2020, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01999279484152794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014145745895802975, model_test_time: 0.005847048945724964
Total test time: 0.017188320634886622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011569303926080465, model_test_time: 0.005619016708806157
Total test time: 0.017114601796492934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01150404685176909, model_test_time: 0.0056105549447238445
Total test time: 0.017276117112487555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011581250000745058, model_test_time: 0.0056948671117424965
Total test time: 0.01729293167591095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011567730689421296, model_test_time: 0.005725200986489654
Total test time: 0.017257431987673044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011629561893641949, model_test_time: 0.0056278700940310955
Total test time: 0.017268062802031636 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011527991620823741, model_test_time: 0.005740071181207895
Total test time: 0.017294207122176886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011591359041631222, model_test_time: 0.005702848080545664
Total test time: 0.017218008171766996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011604804079979658, model_test_time: 0.005613204091787338
Total test time: 0.017151285661384463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011506953975185752, model_test_time: 0.005644331686198711
Total test time: 0.022780933184549212 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014556939015164971, model_test_time: 0.008223994169384241
Total test time: 0.02437628502957523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01609901525080204, model_test_time: 0.008277269778773189
Total test time: 0.024497021920979023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01610029092989862, model_test_time: 0.008396730991080403
Total test time: 0.024299102136865258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01599873905070126, model_test_time: 0.008300363086163998
Total test time: 0.024232361931353807 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016026181634515524, model_test_time: 0.008206180296838284
Total test time: 0.024326971033588052 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016040312126278877, model_test_time: 0.008286658907309175
Total test time: 0.024318452924489975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016051737824454904, model_test_time: 0.008266715100035071
Total test time: 0.02429725043475628 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016012276289984584, model_test_time: 0.008284974144771695
Total test time: 0.024185122922062874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015957220923155546, model_test_time: 0.008227901998907328
Total test time: 0.0242573251016438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016019257251173258, model_test_time: 0.008238067850470543
***1_th repeat
Total test time: 0.024181087035685778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017062196973711252, model_test_time: 0.0071188900619745255
Total test time: 0.023651968222111464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166006691288203, model_test_time: 0.0070512990932911634
Total test time: 0.023224960546940565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663320674560964, model_test_time: 0.006591753801330924
Total test time: 0.016850975807756186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012056087842211127, model_test_time: 0.004794887965545058
Total test time: 0.016969624441117048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012067609233781695, model_test_time: 0.004902015207335353
Total test time: 0.016869291430339217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012081218184903264, model_test_time: 0.004788073245435953
Total test time: 0.016887624515220523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012084069661796093, model_test_time: 0.00480355485342443
Total test time: 0.02160796197131276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014522310812026262, model_test_time: 0.007085651159286499
Total test time: 0.023583878064528108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016557967057451606, model_test_time: 0.007025911007076502
Total test time: 0.023596877232193947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663387310691178, model_test_time: 0.006963004125282168
Total test time: 0.02370661706663668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016654873033985496, model_test_time: 0.007051744032651186
Total test time: 0.02377272490411997 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016695038182660937, model_test_time: 0.007077686721459031
Total test time: 0.023735335795208812 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016681462759152055, model_test_time: 0.007053873036056757
Total test time: 0.023711394984275103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016572652850300074, model_test_time: 0.007138742133975029
Total test time: 0.023620246211066842 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663781702518463, model_test_time: 0.006982429185882211
Total test time: 0.023662414401769638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016661965288221836, model_test_time: 0.007000449113547802
Total test time: 0.02373874536715448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016686909133568406, model_test_time: 0.007051836233586073
