Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='True', header='False', model='KJL-QS-init_GMM(full)', time='2021-04-01 08:32:12')
***SFRIG1_2020, KJL-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.0196012151427567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01357695204205811, model_test_time: 0.00602426310069859
Total test time: 0.016631508013233542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010890700854361057, model_test_time: 0.005740807158872485
Total test time: 0.016636581858620048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010806276928633451, model_test_time: 0.005830304929986596
Total test time: 0.016736281802877784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01090379268862307, model_test_time: 0.005832489114254713
Total test time: 0.016627821372821927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010831499239429832, model_test_time: 0.0057963221333920956
Total test time: 0.01662183995358646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010854164138436317, model_test_time: 0.005767675815150142
Total test time: 0.0166732098441571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010831460822373629, model_test_time: 0.005841749021783471
Total test time: 0.01668706047348678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010878015542402864, model_test_time: 0.005809044931083918
Total test time: 0.01667889696545899 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010868628043681383, model_test_time: 0.005810268921777606
Total test time: 0.023256866028532386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0148131069727242, model_test_time: 0.008443759055808187
Total test time: 0.023390437941998243 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014945066999644041, model_test_time: 0.008445370942354202
Total test time: 0.023247737204656005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014896216336637735, model_test_time: 0.00835152086801827
Total test time: 0.02330627292394638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01495643681846559, model_test_time: 0.00834983610548079
Total test time: 0.023532211780548096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015005880733951926, model_test_time: 0.00852633104659617
Total test time: 0.023439493030309677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014967306982725859, model_test_time: 0.008472186047583818
Total test time: 0.019525085808709264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013761298730969429, model_test_time: 0.005763787077739835
Total test time: 0.016742431791499257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010905071860179305, model_test_time: 0.005837359931319952
Total test time: 0.016643099952489138 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010803908109664917, model_test_time: 0.005839191842824221
Total test time: 0.016625230433419347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010863313218578696, model_test_time: 0.0057619172148406506
Total test time: 0.016673468984663486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010875996900722384, model_test_time: 0.005797472083941102
***1_th repeat
Total test time: 0.017375452909618616 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011316301766782999, model_test_time: 0.006059151142835617
Total test time: 0.017116975970566273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011148879071697593, model_test_time: 0.00596809689886868
Total test time: 0.017160014947876334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011173750972375274, model_test_time: 0.0059862639755010605
Total test time: 0.01725232624448836 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011196639155969024, model_test_time: 0.006055687088519335
Total test time: 0.021880381973460317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013127406127750874, model_test_time: 0.008752975845709443
Total test time: 0.02428374718874693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015468886122107506, model_test_time: 0.008814861066639423
Total test time: 0.024255343014374375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015457758912816644, model_test_time: 0.008797584101557732
Total test time: 0.021084567299112678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015032120048999786, model_test_time: 0.006052447250112891
Total test time: 0.017121553188189864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011149937286973, model_test_time: 0.005971615901216865
Total test time: 0.01715075527317822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011163843097165227, model_test_time: 0.005986912176012993
Total test time: 0.01720006763935089 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01116213877685368, model_test_time: 0.0060379288624972105
Total test time: 0.017249105032533407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011250971117988229, model_test_time: 0.005998133914545178
Total test time: 0.024262804770842195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015413239831104875, model_test_time: 0.00884956493973732
Total test time: 0.02410171669907868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015400240896269679, model_test_time: 0.008701475802809
Total test time: 0.024279471719637513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015462646959349513, model_test_time: 0.008816824760288
Total test time: 0.0242515632417053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015446090139448643, model_test_time: 0.008805473102256656
Total test time: 0.024279674980789423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015460127964615822, model_test_time: 0.008819547016173601
Total test time: 0.024190345080569386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015433203196153045, model_test_time: 0.008757141884416342
