Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='Nystrom-GMM(diag)', time='2021-04-01 08:43:44')
***SFRIG1_2020, Nystrom-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.015718618407845497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014173432253301144, model_test_time: 0.0015451861545443535
Total test time: 0.013287358917295933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011841410771012306, model_test_time: 0.0014459481462836266
Total test time: 0.013292655115947127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011897520162165165, model_test_time: 0.0013951349537819624
Total test time: 0.013245637295767665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011843540240079165, model_test_time: 0.0014020970556885004
Total test time: 0.013218395644798875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011810298776254058, model_test_time: 0.001408096868544817
Total test time: 0.013767550699412823 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01181448483839631, model_test_time: 0.001953065861016512
Total test time: 0.018429943826049566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01644871197640896, model_test_time: 0.001981231849640608
Total test time: 0.01845909026451409 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01648150710389018, model_test_time: 0.001977583160623908
Total test time: 0.01852995972149074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016552560962736607, model_test_time: 0.001977398758754134
Total test time: 0.017733051907271147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016330509912222624, model_test_time: 0.001402541995048523
Total test time: 0.013281414052471519 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011874594958499074, model_test_time: 0.0014068190939724445
Total test time: 0.01330228359438479 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01190444570966065, model_test_time: 0.0013978378847241402
Total test time: 0.013294173637405038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011896427720785141, model_test_time: 0.0013977459166198969
Total test time: 0.013290099333971739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011888076085597277, model_test_time: 0.0014020232483744621
Total test time: 0.013374522561207414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011965776793658733, model_test_time: 0.0014087457675486803
Total test time: 0.01858821720816195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01661494839936495, model_test_time: 0.001973268808797002
Total test time: 0.018504182109609246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016528728185221553, model_test_time: 0.0019754539243876934
Total test time: 0.018486754968762398 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01644565397873521, model_test_time: 0.0020411009900271893
Total test time: 0.018607012927532196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01663009589537978, model_test_time: 0.0019769170321524143
Total test time: 0.01853082817979157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01655037421733141, model_test_time: 0.0019804539624601603
***1_th repeat
Total test time: 0.019026391673833132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01704386342316866, model_test_time: 0.0019825282506644726
Total test time: 0.018648067256435752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016651261132210493, model_test_time: 0.001996806124225259
Total test time: 0.01864295545965433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016635206528007984, model_test_time: 0.002007748931646347
Total test time: 0.018652993720024824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016655706567689776, model_test_time: 0.0019972871523350477
Total test time: 0.01856530993245542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016594873974099755, model_test_time: 0.001970435958355665
Total test time: 0.01864195498637855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016641373047605157, model_test_time: 0.0020005819387733936
Total test time: 0.018617423018440604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01656613708473742, model_test_time: 0.002051285933703184
Total test time: 0.018618566915392876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016619039000943303, model_test_time: 0.0019995279144495726
Total test time: 0.018652919912710786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016654484905302525, model_test_time: 0.0019984350074082613
Total test time: 0.01862869644537568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016579318325966597, model_test_time: 0.0020493781194090843
Total test time: 0.015896668657660484 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01447951584123075, model_test_time: 0.0014171528164297342
Total test time: 0.013507335213944316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012094405246898532, model_test_time: 0.001412929967045784
Total test time: 0.013379577547311783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011958610732108355, model_test_time: 0.0014209668152034283
Total test time: 0.013434762135148048 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011974666267633438, model_test_time: 0.0014600958675146103
Total test time: 0.01347601879388094 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012021886883303523, model_test_time: 0.0014541319105774164
Total test time: 0.013940082862973213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011934073874726892, model_test_time: 0.0020060089882463217
