Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='True', header='False', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:33:22')
***SFRIG1_2020, Nystrom-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.05156602500937879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01962704793550074, model_test_time: 0.03193897707387805
Total test time: 0.04335259227082133 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011868122033774853, model_test_time: 0.03148447023704648
Total test time: 0.04318309738300741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01183081022463739, model_test_time: 0.03135228715837002
Total test time: 0.04325990751385689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011791049735620618, model_test_time: 0.03146885777823627
Total test time: 0.04596932791173458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011831698939204216, model_test_time: 0.034137628972530365
Total test time: 0.05309276678599417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016446606954559684, model_test_time: 0.03664615983143449
Total test time: 0.053155599161982536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016444792039692402, model_test_time: 0.036710807122290134
Total test time: 0.05286369891837239 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016452143900096416, model_test_time: 0.036411555018275976
Total test time: 0.0527132956776768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016421588836237788, model_test_time: 0.03629170684143901
Total test time: 0.05192111083306372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018376782769337296, model_test_time: 0.033544328063726425
Total test time: 0.04333596397191286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011892696842551231, model_test_time: 0.03144326712936163
Total test time: 0.04491031402722001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011867363937199116, model_test_time: 0.033042950090020895
Total test time: 0.05351029406301677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016621509799733758, model_test_time: 0.036888784263283014
Total test time: 0.053230967838317156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016481346916407347, model_test_time: 0.03674962092190981
Total test time: 0.05327511508949101 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01644892105832696, model_test_time: 0.03682619403116405
Total test time: 0.043231651186943054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011918122181668878, model_test_time: 0.03131352900527418
Total test time: 0.04309543292038143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011903326958417892, model_test_time: 0.031192105961963534
Total test time: 0.04314435785636306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01183469989337027, model_test_time: 0.03130965796299279
Total test time: 0.042984879575669765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011883437633514404, model_test_time: 0.03110144194215536
Total test time: 0.051844555884599686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015330984024330974, model_test_time: 0.03651357186026871
***1_th repeat
Total test time: 0.05298632592894137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017357103992253542, model_test_time: 0.03562922193668783
Total test time: 0.04358210624195635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0121372293215245, model_test_time: 0.03144487692043185
Total test time: 0.044056354090571404 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012233818881213665, model_test_time: 0.03182253520935774
Total test time: 0.053631365997716784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016947243129834533, model_test_time: 0.03668412286788225
Total test time: 0.05356216384097934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016961019951850176, model_test_time: 0.03660114388912916
Total test time: 0.05365316104143858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016863632947206497, model_test_time: 0.03678952809423208
Total test time: 0.04443999589420855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013023874955251813, model_test_time: 0.03141612093895674
Total test time: 0.04347955319099128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012116710189729929, model_test_time: 0.031362843001261353
Total test time: 0.05169239407405257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015001937979832292, model_test_time: 0.03669045609422028
Total test time: 0.05318246781826019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01684880000539124, model_test_time: 0.03633366781286895
Total test time: 0.04361114208586514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212272816337645, model_test_time: 0.03148841392248869
Total test time: 0.04359349515289068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012190301204100251, model_test_time: 0.03140319394879043
Total test time: 0.04361930931918323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012311594095081091, model_test_time: 0.03130771522410214
Total test time: 0.043616698356345296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012237819144502282, model_test_time: 0.031378879211843014
Total test time: 0.05398120917379856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016966464230790734, model_test_time: 0.03701474494300783
Total test time: 0.05406950553879142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01688554137945175, model_test_time: 0.037183964159339666
