Namespace(dataset='SFRIG1_2020', feat='stats', gs='True', header='True', model='Nystrom-OCSVM(linear)', time='2021-04-01 08:39:57')
***SFRIG1_2020, Nystrom-OCSVM(linear), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_True/Nystrom-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.0453712351154536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014182076090946794, model_test_time: 0.031189159024506807
Total test time: 0.04304752894677222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011969680897891521, model_test_time: 0.031077848048880696
Total test time: 0.043146473821252584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012059682048857212, model_test_time: 0.031086791772395372
Total test time: 0.04294345993548632 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012067606905475259, model_test_time: 0.030875853030011058
Total test time: 0.043039215030148625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01200503297150135, model_test_time: 0.031034182058647275
Total test time: 0.04921212885528803 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01286514406092465, model_test_time: 0.03634698479436338
Total test time: 0.05308337206952274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165976679418236, model_test_time: 0.03648570412769914
Total test time: 0.042941681342199445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011906536296010017, model_test_time: 0.031035145046189427
Total test time: 0.04298699484206736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011950219981372356, model_test_time: 0.031036774860695004
Total test time: 0.05314075690694153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016522576101124287, model_test_time: 0.036618180805817246
Total test time: 0.052223799051716924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016657593194395304, model_test_time: 0.03556620585732162
Total test time: 0.043278747936710715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011985052842646837, model_test_time: 0.03129369509406388
Total test time: 0.04384547704830766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01214792113751173, model_test_time: 0.03169755591079593
Total test time: 0.053778002969920635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016702851047739387, model_test_time: 0.03707515192218125
Total test time: 0.04886022815480828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016704665031284094, model_test_time: 0.03215556312352419
Total test time: 0.043039404321461916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011978055350482464, model_test_time: 0.031061348970979452
Total test time: 0.04659768822602928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012040015077218413, model_test_time: 0.034557673148810863
Total test time: 0.05359937925823033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01664764923043549, model_test_time: 0.03695173002779484
Total test time: 0.04519979399628937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014009911799803376, model_test_time: 0.031189882196485996
Total test time: 0.04311030590906739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011947664897888899, model_test_time: 0.031162641011178493
***1_th repeat
Total test time: 0.05140383401885629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01471998798660934, model_test_time: 0.03668384603224695
Total test time: 0.0528145981952548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016744516091421247, model_test_time: 0.036070082103833556
Total test time: 0.053362122271209955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01686116005294025, model_test_time: 0.036500962218269706
Total test time: 0.052963947178795934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016814125003293157, model_test_time: 0.03614982217550278
Total test time: 0.05311705614440143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016759128076955676, model_test_time: 0.036357928067445755
Total test time: 0.05343641876243055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016781219746917486, model_test_time: 0.03665519901551306
Total test time: 0.0532389220315963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016729237977415323, model_test_time: 0.03650968405418098
Total test time: 0.05313477595336735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166162031237036, model_test_time: 0.036518572829663754
Total test time: 0.04997755470685661 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016696443781256676, model_test_time: 0.03328111092559993
Total test time: 0.04322808259166777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012135975295677781, model_test_time: 0.03109210729598999
Total test time: 0.04494394897483289 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012133087031543255, model_test_time: 0.03281086194328964
Total test time: 0.05354069289751351 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016774069983512163, model_test_time: 0.036766622914001346
Total test time: 0.046936606988310814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015898999059572816, model_test_time: 0.031037607928737998
Total test time: 0.04324495396576822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012122994987294078, model_test_time: 0.03112195897847414
Total test time: 0.049026873195543885 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012064421083778143, model_test_time: 0.03696245211176574
Total test time: 0.05364726507104933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016848847037181258, model_test_time: 0.036798418033868074
Total test time: 0.05378596601076424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016713147051632404, model_test_time: 0.03707281895913184
Total test time: 0.051979321986436844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016785439802333713, model_test_time: 0.03519388218410313
Total test time: 0.04342124471440911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01210475480183959, model_test_time: 0.03131648991256952
Total test time: 0.04420855920761824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012150087160989642, model_test_time: 0.032058472046628594
***2_th repeat
Total test time: 0.052689473144710064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01621501101180911, model_test_time: 0.03647446213290095
Total test time: 0.0476537577342242 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01657442795112729, model_test_time: 0.03107932978309691
Total test time: 0.043203009059652686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011996238026767969, model_test_time: 0.031206771032884717
Total test time: 0.047104269033297896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011970257153734565, model_test_time: 0.03513401187956333
Total test time: 0.05319005181081593 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0165175748988986, model_test_time: 0.03667247691191733
Total test time: 0.05317897931672633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016607056371867657, model_test_time: 0.03657192294485867
Total test time: 0.052337368950247765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01658316678367555, model_test_time: 0.03575420216657221
Total test time: 0.04309606715105474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012004127027466893, model_test_time: 0.031091940123587847
Total test time: 0.04361781454645097 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011872611241415143, model_test_time: 0.03174520330503583
Total test time: 0.053177516208961606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016607501078397036, model_test_time: 0.03657001513056457
Total test time: 0.053011222975328565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016571186017245054, model_test_time: 0.03644003695808351
Total test time: 0.05315986694768071 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016545018879696727, model_test_time: 0.036614848067983985
Total test time: 0.053009058348834515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016535855131223798, model_test_time: 0.03647320321761072
