Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 08:37:21')
***SFRIG1_2020, Nystrom-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.017669713124632835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014488140121102333, model_test_time: 0.0031815730035305023
Total test time: 0.014821650926023722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011811832897365093, model_test_time: 0.0030098180286586285
Total test time: 0.014860594645142555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011835295939818025, model_test_time: 0.0030252987053245306
Total test time: 0.01476443069986999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011810166761279106, model_test_time: 0.002954263938590884
Total test time: 0.01490850024856627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011949866078794003, model_test_time: 0.0029586341697722673
Total test time: 0.014784411760047078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01184057374484837, model_test_time: 0.0029438380151987076
Total test time: 0.014853262342512608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011903924401849508, model_test_time: 0.0029493379406630993
Total test time: 0.01486546453088522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011909108376130462, model_test_time: 0.002956356154754758
Total test time: 0.014819300267845392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011848906055092812, model_test_time: 0.0029703942127525806
Total test time: 0.017255407758057117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013034082017838955, model_test_time: 0.0042213257402181625
Total test time: 0.020613107830286026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016405632020905614, model_test_time: 0.004207475809380412
Total test time: 0.020561830839142203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016342873917892575, model_test_time: 0.004218956921249628
Total test time: 0.02060679206624627 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016394484089687467, model_test_time: 0.0042123079765588045
Total test time: 0.020754587138071656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01643420592881739, model_test_time: 0.004320381209254265
Total test time: 0.020712826400995255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016448741778731346, model_test_time: 0.004264084622263908
Total test time: 0.020725196925923228 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01643594610504806, model_test_time: 0.004289250820875168
Total test time: 0.019401284167543054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016441186890006065, model_test_time: 0.0029600972775369883
