Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 08:43:55')
***SFRIG1_2020, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01725019235163927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014162764186039567, model_test_time: 0.003087428165599704
Total test time: 0.014483681879937649 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011539750033989549, model_test_time: 0.0029439318459481
Total test time: 0.014514554059132934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011574769858270884, model_test_time: 0.00293978420086205
Total test time: 0.014530051965266466 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011599620105698705, model_test_time: 0.0029304318595677614
Total test time: 0.01458080974407494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011622377904132009, model_test_time: 0.002958431839942932
Total test time: 0.01456079282797873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011548879789188504, model_test_time: 0.003011913038790226
Total test time: 0.014621883165091276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011619118973612785, model_test_time: 0.003002764191478491
Total test time: 0.014612603932619095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011579081881791353, model_test_time: 0.0030335220508277416
Total test time: 0.01456899638287723 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011578453239053488, model_test_time: 0.002990543143823743
Total test time: 0.01525336760096252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011593026807531714, model_test_time: 0.003660340793430805
Total test time: 0.02015053224749863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01593424123711884, model_test_time: 0.004216291010379791
Total test time: 0.020230791065841913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01602886919863522, model_test_time: 0.004201921867206693
Total test time: 0.020178718026727438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015996888047084212, model_test_time: 0.004181829979643226
Total test time: 0.02015977189876139 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015997812850400805, model_test_time: 0.004161959048360586
Total test time: 0.020172698888927698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01590655790641904, model_test_time: 0.004266140982508659
Total test time: 0.020218476885929704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015927984146401286, model_test_time: 0.004290492739528418
Total test time: 0.020115180872380733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015938110882416368, model_test_time: 0.004177069989964366
Total test time: 0.014625180512666702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011599379358813167, model_test_time: 0.0030258011538535357
Total test time: 0.014565662248060107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011571120005100965, model_test_time: 0.0029945422429591417
Total test time: 0.014537459937855601 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011556564830243587, model_test_time: 0.002980895107612014
***1_th repeat
Total test time: 0.015037965727970004 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012223161058500409, model_test_time: 0.002814804669469595
Total test time: 0.014725860673934221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011970554944127798, model_test_time: 0.002755305729806423
Total test time: 0.020560263423249125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016562726581469178, model_test_time: 0.003997536841779947
Total test time: 0.020601115189492702 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016670707147568464, model_test_time: 0.003930408041924238
Total test time: 0.020580726908519864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016640874091535807, model_test_time: 0.003939852816984057
Total test time: 0.02058822615072131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016661670291796327, model_test_time: 0.003926555858924985
Total test time: 0.020532134221866727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0166263731662184, model_test_time: 0.003905761055648327
Total test time: 0.020617745351046324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01661537424661219, model_test_time: 0.004002371104434133
Total test time: 0.020506245782598853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016511894995346665, model_test_time: 0.003994350787252188
Total test time: 0.02054554340429604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01653137616813183, model_test_time: 0.004014167236164212
Total test time: 0.020535098621621728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016586411744356155, model_test_time: 0.0039486868772655725
Total test time: 0.020527208922430873 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01658383710309863, model_test_time: 0.003943371819332242
Total test time: 0.020592540968209505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016646928852424026, model_test_time: 0.0039456121157854795
Total test time: 0.020662648836150765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016744721913710237, model_test_time: 0.003917926922440529
Total test time: 0.02062552096322179 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016696964856237173, model_test_time: 0.003928556106984615
Total test time: 0.020603540120646358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016591800143942237, model_test_time: 0.004011739976704121
Total test time: 0.020589263876900077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01660033711232245, model_test_time: 0.003988926764577627
Total test time: 0.020676576998084784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016693447018042207, model_test_time: 0.003983129980042577
Total test time: 0.020590928616002202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016640817746520042, model_test_time: 0.00395011086948216
Total test time: 0.019827169366180897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01657150429673493, model_test_time: 0.0032556650694459677
***2_th repeat
Total test time: 0.014844246907159686 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011649617925286293, model_test_time: 0.003194628981873393
Total test time: 0.014876230154186487 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011683711083605886, model_test_time: 0.0031925190705806017
Total test time: 0.014876356814056635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01170452288351953, model_test_time: 0.0031718339305371046
Total test time: 0.014978392980992794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01171145006082952, model_test_time: 0.003266942920163274
Total test time: 0.016367046860978007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011720635928213596, model_test_time: 0.004646410932764411
Total test time: 0.020841219229623675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016191068338230252, model_test_time: 0.004650150891393423
Total test time: 0.020764277782291174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01616488490253687, model_test_time: 0.004599392879754305
Total test time: 0.020755462115630507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016181124141439795, model_test_time: 0.004574337974190712
Total test time: 0.02074503805488348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016160568920895457, model_test_time: 0.004584469133988023
Total test time: 0.02076262841001153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01617486448958516, model_test_time: 0.004587763920426369
Total test time: 0.02071775821968913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01614701305516064, model_test_time: 0.004570745164528489
Total test time: 0.02071248320862651 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016086146235466003, model_test_time: 0.004626336973160505
Total test time: 0.020770091330632567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01613103225827217, model_test_time: 0.004639059072360396
Total test time: 0.020810960792005062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016213659895583987, model_test_time: 0.004597300896421075
Total test time: 0.02079205377958715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016161586856469512, model_test_time: 0.004630466923117638
Total test time: 0.02080157259479165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01622447487898171, model_test_time: 0.004577097715809941
Total test time: 0.02073637116700411 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016168959205970168, model_test_time: 0.00456741196103394
Total test time: 0.020760128740221262 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016191346803680062, model_test_time: 0.0045687819365412
Total test time: 0.020668038865551353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01608732994645834, model_test_time: 0.004580708919093013
Total test time: 0.020754981553182006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01612094067968428, model_test_time: 0.0046340408734977245
***3_th repeat
Total test time: 0.020984326023608446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016657538013532758, model_test_time: 0.004326788010075688
Total test time: 0.020648965844884515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016319899819791317, model_test_time: 0.004329066025093198
Total test time: 0.02075370494276285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016388898948207498, model_test_time: 0.004364805994555354
Total test time: 0.02072109328582883 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016340029193088412, model_test_time: 0.0043810640927404165
Total test time: 0.020773851312696934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01636806456372142, model_test_time: 0.004405786748975515
Total test time: 0.020751482341438532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016420638421550393, model_test_time: 0.004330843919888139
Total test time: 0.020785741275176406 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016459156991913915, model_test_time: 0.004326584283262491
