Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 08:35:51')
***SFRIG1_2020, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.020165134221315384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014405548106878996, model_test_time: 0.005759586114436388
Total test time: 0.017398774158209562 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011840165127068758, model_test_time: 0.005558609031140804
Total test time: 0.024603678146377206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016503128223121166, model_test_time: 0.00810054992325604
Total test time: 0.02450951188802719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016431258991360664, model_test_time: 0.008078252896666527
Total test time: 0.02445317874662578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01634900108911097, model_test_time: 0.00810417765751481
Total test time: 0.01752534694969654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011905311839655042, model_test_time: 0.005620035110041499
Total test time: 0.017314960481598973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011817590799182653, model_test_time: 0.00549736968241632
Total test time: 0.01738799619488418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011881886282935739, model_test_time: 0.0055061099119484425
Total test time: 0.017348405439406633 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011782425455749035, model_test_time: 0.0055659799836575985
Total test time: 0.020675084087997675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012677551247179508, model_test_time: 0.007997532840818167
Total test time: 0.024553548078984022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016481943195685744, model_test_time: 0.008071604883298278
Total test time: 0.024792599957436323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016642182134091854, model_test_time: 0.008150417823344469
Total test time: 0.020342906937003136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014828094048425555, model_test_time: 0.0055148128885775805
Total test time: 0.017427697777748108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011863811872899532, model_test_time: 0.005563885904848576
Total test time: 0.0174552530515939 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011874811025336385, model_test_time: 0.005580442026257515
Total test time: 0.01740262471139431 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011880311882123351, model_test_time: 0.005522312829270959
