Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 08:35:56')
***SFRIG1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.47630421933718026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.407274097204208e-06, model_test_time: 0.47629681206308305
Total test time: 0.44278201390989125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.20400533080101e-06, model_test_time: 0.44277580990456045
Total test time: 0.44421392446383834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2962062656879425e-06, model_test_time: 0.44420762825757265
Total test time: 0.47629248071461916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.22263178229332e-06, model_test_time: 0.47628625808283687
Total test time: 0.477237086975947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.796093657612801e-06, model_test_time: 0.4772302908822894
Total test time: 0.4445161740295589 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.405869498848915e-06, model_test_time: 0.44450976816006005
Total test time: 0.47680344991385937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.037073373794556e-06, model_test_time: 0.4767964128404856
Total test time: 0.47338786581531167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.111804395914078e-06, model_test_time: 0.47338175401091576
Total test time: 0.5081483561079949 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.55418261885643e-06, model_test_time: 0.5081418019253761
Total test time: 0.5082733372692019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.83218240737915e-06, model_test_time: 0.5082665050867945
Total test time: 0.4450949979946017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.296904757618904e-06, model_test_time: 0.4450887010898441
Total test time: 0.4753068028949201 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.963033229112625e-06, model_test_time: 0.475299839861691
Total test time: 0.4780642930418253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.315065547823906e-06, model_test_time: 0.47805797797627747
Total test time: 0.47510675294324756 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.055925041437149e-06, model_test_time: 0.4751006970182061
Total test time: 0.47594504593871534 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.627989932894707e-06, model_test_time: 0.47593841794878244
Total test time: 0.4727939162403345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.75814226269722e-06, model_test_time: 0.4727871580980718
Total test time: 0.473583732964471 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.554881110787392e-06, model_test_time: 0.4735771780833602
Total test time: 0.44459043606184423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.295042112469673e-06, model_test_time: 0.44458414101973176
Total test time: 0.505511978873983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.092013791203499e-06, model_test_time: 0.5055058868601918
Total test time: 0.506633565062657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4640771597623825e-06, model_test_time: 0.5066271009854972
***1_th repeat
Total test time: 0.48405702505260706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.593072950839996e-06, model_test_time: 0.4840494319796562
Total test time: 0.46027736412361264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.757932275533676e-06, model_test_time: 0.4602676061913371
Total test time: 0.49522613175213337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.185844540596008e-06, model_test_time: 0.4952199459075928
Total test time: 0.507666430901736 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.27806831896305e-06, model_test_time: 0.5076571528334171
Total test time: 0.44653083896264434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.019145414233208e-06, model_test_time: 0.4465238198172301
Total test time: 0.4755721709225327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.851041689515114e-06, model_test_time: 0.47556531988084316
Total test time: 0.4429973477963358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.091788575053215e-06, model_test_time: 0.44299025600776076
