Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 08:42:31')
***SFRIG1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4081619563512504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.925089448690414e-06, model_test_time: 0.4081540312618017
Total test time: 0.5003824420273304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.183989509940147e-06, model_test_time: 0.5003752580378205
Total test time: 0.46865103114396334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.407281711697578e-06, model_test_time: 0.46864262386225164
Total test time: 0.4375311261974275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.888061761856079e-06, model_test_time: 0.43752423813566566
Total test time: 0.4391722739674151 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.814952939748764e-06, model_test_time: 0.43916545901447535
Total test time: 0.43928860523737967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.315073162317276e-06, model_test_time: 0.43928129016421735
Total test time: 0.46859427401795983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.183989509940147e-06, model_test_time: 0.4685870900284499
Total test time: 0.438664433080703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.091090083122253e-06, model_test_time: 0.4386573419906199
Total test time: 0.4697680997196585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.573748007416725e-06, model_test_time: 0.4697605259716511
Total test time: 0.4661534056067467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.12880864739418e-06, model_test_time: 0.4661462767980993
Total test time: 0.5251415898092091 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.109956979751587e-06, model_test_time: 0.5251334798522294
Total test time: 0.498729316983372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0796822607517242e-05, model_test_time: 0.49871852016076446
Total test time: 0.44107728567905724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.092952728271484e-06, model_test_time: 0.44107019272632897
Total test time: 0.46654776809737086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.221940904855728e-06, model_test_time: 0.466540546156466
Total test time: 0.4987243530340493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0333023965358734e-05, model_test_time: 0.4987140200100839
Total test time: 0.4402364529669285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.665964171290398e-06, model_test_time: 0.4402267870027572
Total test time: 0.46843303879722953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.12880864739418e-06, model_test_time: 0.46842590998858213
Total test time: 0.4701894070021808 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.629875421524048e-06, model_test_time: 0.4701797771267593
Total test time: 0.4707612465135753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.129739969968796e-06, model_test_time: 0.47075411677360535
Total test time: 0.43997681280598044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425900548696518e-06, model_test_time: 0.43996938690543175
***1_th repeat
Total test time: 0.48289238824509084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.2401093095541e-06, model_test_time: 0.4828841481357813
Total test time: 0.5058416330721229 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0629184544086456e-05, model_test_time: 0.5058310038875788
Total test time: 0.4383724993094802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.667113095521927e-06, model_test_time: 0.43836483219638467
Total test time: 0.4696205311920494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.369322702288628e-06, model_test_time: 0.4696131618693471
Total test time: 0.43737848522141576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.056173101067543e-06, model_test_time: 0.4373704290483147
Total test time: 0.46918285824358463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.72322528064251e-06, model_test_time: 0.469175135018304
Total test time: 0.4902890147641301 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.962808012962341e-06, model_test_time: 0.49028105195611715
Total test time: 0.5036902967840433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.591924026608467e-06, model_test_time: 0.5036807048600167
Total test time: 0.48676433647051454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.869675755500793e-06, model_test_time: 0.48675646679475904
Total test time: 0.4913697869051248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.462935850024223e-06, model_test_time: 0.49136032396927476
Total test time: 0.510125589556992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.553739801049232e-06, model_test_time: 0.510116035817191
Total test time: 0.4385326257906854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.591908797621727e-06, model_test_time: 0.4385250338818878
Total test time: 0.49473730102181435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.721828296780586e-06, model_test_time: 0.49472957919351757
Total test time: 0.4951171991415322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.64802098274231e-06, model_test_time: 0.49510955112054944
Total test time: 0.49820294440723956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.686220437288284e-06, model_test_time: 0.49819325818680227
Total test time: 0.44904701109044254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.666895493865013e-06, model_test_time: 0.4490373441949487
Total test time: 0.5317672572564334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0630115866661072e-05, model_test_time: 0.5317566271405667
Total test time: 0.44418830960057676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0851770639419556e-05, model_test_time: 0.44417745782993734
Total test time: 0.4432528691831976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0759104043245316e-05, model_test_time: 0.44324211007915437
Total test time: 0.4781434836331755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.314622730016708e-06, model_test_time: 0.4781341690104455
***2_th repeat
Total test time: 0.5002900809049606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2231050580739975e-06, model_test_time: 0.5002828577999026
Total test time: 0.4685830008238554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.1660615503787994e-06, model_test_time: 0.468575834762305
Total test time: 0.46165970247238874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.946292266249657e-06, model_test_time: 0.4616497561801225
Total test time: 0.46781913191080093 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.81472772359848e-06, model_test_time: 0.46781131718307734
Total test time: 0.5012934480328113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.777940481901169e-06, model_test_time: 0.5012856700923294
Total test time: 0.5123135442845523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.945345714688301e-06, model_test_time: 0.5123055989388376
Total test time: 0.47976813395507634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.704148396849632e-06, model_test_time: 0.4797584298066795
Total test time: 0.43677568691782653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.943948730826378e-06, model_test_time: 0.4367677429690957
Total test time: 0.5238302026409656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.333707228302956e-06, model_test_time: 0.5238218689337373
Total test time: 0.4490312160924077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0388204827904701e-05, model_test_time: 0.4490208278875798
Total test time: 0.454855527728796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0851770639419556e-05, model_test_time: 0.4548446759581566
