Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-01 07:37:12')
***UNB345_3, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.018433886347338557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014673743164166808, model_test_time: 0.003760143183171749
Total test time: 0.01563515025191009 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012052689213305712, model_test_time: 0.0035824610386043787
Total test time: 0.015499819302931428 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011923562036827207, model_test_time: 0.0035762572661042213
Total test time: 0.015358916250988841 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011772344121709466, model_test_time: 0.003586572129279375
Total test time: 0.015407041879370809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011815174017101526, model_test_time: 0.0035918678622692823
Total test time: 0.015434690983965993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011834118980914354, model_test_time: 0.0036005720030516386
Total test time: 0.015537297585979104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011874413583427668, model_test_time: 0.0036628840025514364
Total test time: 0.015526077942922711 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011888599954545498, model_test_time: 0.0036374779883772135
Total test time: 0.015534391859546304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011911784065887332, model_test_time: 0.003622607793658972
Total test time: 0.015516391023993492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011921522906050086, model_test_time: 0.003594868117943406
Total test time: 0.015560095431283116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01198420929722488, model_test_time: 0.003575886134058237
Total test time: 0.015438244910910726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011873469920828938, model_test_time: 0.003564774990081787
Total test time: 0.015419431729242206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01184765575453639, model_test_time: 0.0035717759747058153
Total test time: 0.015407892875373363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011817007092759013, model_test_time: 0.0035908857826143503
Total test time: 0.015561132226139307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011897135991603136, model_test_time: 0.003663996234536171
Total test time: 0.015614926815032959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011977115646004677, model_test_time: 0.003637811169028282
Total test time: 0.015551539603620768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01192454295232892, model_test_time: 0.0036269966512918472
Total test time: 0.015444987220689654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011869432171806693, model_test_time: 0.0035755550488829613
Total test time: 0.015529576456174254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011952986242249608, model_test_time: 0.0035765902139246464
Total test time: 0.015568372095003724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011986966943368316, model_test_time: 0.0035814051516354084
***1_th repeat
Total test time: 0.015399005962535739 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012532789027318358, model_test_time: 0.0028662169352173805
Total test time: 0.015180528862401843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012260647024959326, model_test_time: 0.0029198818374425173
Total test time: 0.015109938569366932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012199907563626766, model_test_time: 0.0029100310057401657
Total test time: 0.01514256582595408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012229739921167493, model_test_time: 0.0029128259047865868
Total test time: 0.015139251481741667 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012209480162709951, model_test_time: 0.0029297713190317154
Total test time: 0.015062624588608742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01220444473437965, model_test_time: 0.0028581798542290926
Total test time: 0.015107734827324748 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01225096289999783, model_test_time: 0.0028567719273269176
Total test time: 0.015173583989962935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012311348924413323, model_test_time: 0.002862235065549612
Total test time: 0.015147231984883547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012289145030081272, model_test_time: 0.0028580869548022747
Total test time: 0.015061180107295513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012213278096169233, model_test_time: 0.00284790201112628
Total test time: 0.015058660879731178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012205999810248613, model_test_time: 0.002852661069482565
Total test time: 0.015037959907203913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01217427896335721, model_test_time: 0.0028636809438467026
Total test time: 0.015049754176288843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012179760029539466, model_test_time: 0.0028699941467493773
Total test time: 0.015089310007169843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012219574069604278, model_test_time: 0.002869735937565565
Total test time: 0.015168103156611323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012303422903642058, model_test_time: 0.002864680252969265
Total test time: 0.015184381045401096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012258647009730339, model_test_time: 0.0029257340356707573
Total test time: 0.01519026979804039 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012263109907507896, model_test_time: 0.0029271598905324936
Total test time: 0.015146528836339712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012228424893692136, model_test_time: 0.0029181039426475763
Total test time: 0.015085161197930574 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012237499002367258, model_test_time: 0.0028476621955633163
Total test time: 0.015128807863220572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012279757997021079, model_test_time: 0.0028490498661994934
***2_th repeat
Total test time: 0.015073253773152828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012391180731356144, model_test_time: 0.0026820730417966843
Total test time: 0.014762982027605176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012086428003385663, model_test_time: 0.002676554024219513
Total test time: 0.014739095466211438 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012057671323418617, model_test_time: 0.002681424142792821
Total test time: 0.014789073960855603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012109871953725815, model_test_time: 0.0026792020071297884
Total test time: 0.014841572847217321 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012151943752542138, model_test_time: 0.0026896290946751833
Total test time: 0.01475624111481011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012078113155439496, model_test_time: 0.002678127959370613
Total test time: 0.014816388953477144 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012131982948631048, model_test_time: 0.002684406004846096
Total test time: 0.014810647815465927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012133648851886392, model_test_time: 0.0026769989635795355
Total test time: 0.014893386978656054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012140407925471663, model_test_time: 0.00275297905318439
Total test time: 0.015018049627542496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012266312725841999, model_test_time: 0.0027517369017004967
Total test time: 0.014929091092199087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012197778094559908, model_test_time: 0.0027313129976391792
Total test time: 0.014843462267890573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012114871991798282, model_test_time: 0.002728590276092291
Total test time: 0.014879851136356592 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012157742166891694, model_test_time: 0.002722108969464898
Total test time: 0.0148558693472296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012174685019999743, model_test_time: 0.0026811843272298574
Total test time: 0.014748815214261413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012087891111150384, model_test_time: 0.0026609241031110287
Total test time: 0.0148727020714432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012196036987006664, model_test_time: 0.002676665084436536
Total test time: 0.014906998258084059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012238148134201765, model_test_time: 0.0026688501238822937
Total test time: 0.014854829991236329 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01217527687549591, model_test_time: 0.0026795531157404184
Total test time: 0.01486107287928462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01216681464575231, model_test_time: 0.0026942582335323095
