Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-01 07:43:07')
***UNB345_3, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01738565508276224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01429298217408359, model_test_time: 0.003092672908678651
Total test time: 0.014501330442726612 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011551524279639125, model_test_time: 0.0029498061630874872
Total test time: 0.014464015141129494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011498895240947604, model_test_time: 0.0029651199001818895
Total test time: 0.014493551105260849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01152522792108357, model_test_time: 0.0029683231841772795
Total test time: 0.01438409206457436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011430082144215703, model_test_time: 0.002954009920358658
Total test time: 0.014494033064693213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011548079084604979, model_test_time: 0.002945953980088234
Total test time: 0.01446183049120009 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011489136144518852, model_test_time: 0.0029726943466812372
Total test time: 0.01454166229814291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011571913259103894, model_test_time: 0.0029697490390390158
Total test time: 0.014476460870355368 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01152556180022657, model_test_time: 0.0029508990701287985
Total test time: 0.014466886408627033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011500043096020818, model_test_time: 0.0029668433126062155
Total test time: 0.014422939857468009 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011474357917904854, model_test_time: 0.002948581939563155
Total test time: 0.014488681219518185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011532913194969296, model_test_time: 0.002955768024548888
Total test time: 0.014432350173592567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011462358990684152, model_test_time: 0.002969991182908416
Total test time: 0.014503902988508344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011539505096152425, model_test_time: 0.002964397892355919
