Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='KJL-GMM(diag)', time='2021-04-01 01:54:07')
***UNB345_3, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.004479567054659128 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003484496148303151, model_test_time: 0.000995070906355977
Total test time: 0.0017250983510166407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010139490477740765, model_test_time: 0.0007111493032425642
Total test time: 0.0021685631945729256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014025529380887747, model_test_time: 0.0007660102564841509
Total test time: 0.001775513868778944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012525958009064198, model_test_time: 0.0005229180678725243
Total test time: 0.0026588027831166983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015263787936419249, model_test_time: 0.0011324239894747734
Total test time: 0.0015033159870654345 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010027100797742605, model_test_time: 0.0005006059072911739
Total test time: 0.0014626476913690567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009545208886265755, model_test_time: 0.0005081268027424812
Total test time: 0.0015640419442206621 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001066167140379548, model_test_time: 0.000497874803841114
Total test time: 0.0018192301504313946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001030618092045188, model_test_time: 0.0007886120583862066
Total test time: 0.0022886190563440323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001713352045044303, model_test_time: 0.0005752670112997293
Total test time: 0.0015183088835328817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009556601289659739, model_test_time: 0.0005626487545669079
Total test time: 0.001554572256281972 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010437301825731993, model_test_time: 0.0005108420737087727
Total test time: 0.0015889485366642475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010543807875365019, model_test_time: 0.0005345677491277456
Total test time: 0.0020517020020633936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012146660592406988, model_test_time: 0.0008370359428226948
Total test time: 0.0017804719973355532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012688208371400833, model_test_time: 0.0005116511601954699
Total test time: 0.0014850758016109467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009801469277590513, model_test_time: 0.0005049288738518953
Total test time: 0.0014818792697042227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000904332147911191, model_test_time: 0.0005775471217930317
Total test time: 0.006406220141798258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005437901010736823, model_test_time: 0.0009683191310614347
