Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-01 07:35:56')
***UNB345_3, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.021186401834711432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014823945006355643, model_test_time: 0.006362456828355789
Total test time: 0.01822626101784408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01195604307577014, model_test_time: 0.006270217942073941
Total test time: 0.01825929619371891 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011929023079574108, model_test_time: 0.006330273114144802
Total test time: 0.018130707321688533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011910655070096254, model_test_time: 0.0062200522515922785
Total test time: 0.01832903572358191 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012025521835312247, model_test_time: 0.006303513888269663
Total test time: 0.018265796825289726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012039596680551767, model_test_time: 0.006226200144737959
Total test time: 0.018179726088419557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011898377910256386, model_test_time: 0.006281348178163171
Total test time: 0.018207390792667866 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011954004876315594, model_test_time: 0.006253385916352272
Total test time: 0.018189816968515515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011952523840591311, model_test_time: 0.006237293127924204
Total test time: 0.01822787313722074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011931840097531676, model_test_time: 0.006296033039689064
Total test time: 0.0182107409927994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011982707073912024, model_test_time: 0.006228033918887377
Total test time: 0.018201964907348156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011938393814489245, model_test_time: 0.0062635710928589106
Total test time: 0.018219370860606432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011959763942286372, model_test_time: 0.00625960691832006
