Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-01 07:41:43')
***UNB345_3, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01573637593537569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014079911867156625, model_test_time: 0.0016564640682190657
Total test time: 0.013280577026307583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011760276975110173, model_test_time: 0.0015203000511974096
Total test time: 0.013320650439709425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011798313818871975, model_test_time: 0.00152233662083745
Total test time: 0.013441945193335414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011925571132451296, model_test_time: 0.001516374060884118
Total test time: 0.013462775852531195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011945124715566635, model_test_time: 0.0015176511369645596
Total test time: 0.013314835028722882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01179059105925262, model_test_time: 0.0015242439694702625
Total test time: 0.013425443321466446 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011832884978502989, model_test_time: 0.001592558342963457
Total test time: 0.013337481766939163 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011820144951343536, model_test_time: 0.0015173368155956268
Total test time: 0.013421093113720417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011895571136847138, model_test_time: 0.0015255219768732786
Total test time: 0.01334574050270021 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011822867207229137, model_test_time: 0.0015228732954710722
Total test time: 0.013382261153310537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011869868030771613, model_test_time: 0.0015123931225389242
Total test time: 0.01329977996647358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011781536042690277, model_test_time: 0.0015182439237833023
Total test time: 0.013434851309284568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011922107310965657, model_test_time: 0.0015127439983189106
Total test time: 0.013441627845168114 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011923587881028652, model_test_time: 0.0015180399641394615
Total test time: 0.013336113188415766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011822702130302787, model_test_time: 0.001513411058112979
Total test time: 0.01331198401749134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011746759992092848, model_test_time: 0.0015652240253984928
Total test time: 0.013473165920004249 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011876737931743264, model_test_time: 0.0015964279882609844
Total test time: 0.01333259278908372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011813181918114424, model_test_time: 0.0015194108709692955
Total test time: 0.013290334958583117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011767831863835454, model_test_time: 0.0015225030947476625
Total test time: 0.013362260069698095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01183047890663147, model_test_time: 0.0015317811630666256
***1_th repeat
Total test time: 0.014065967872738838 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012540130876004696, model_test_time: 0.0015258369967341423
Total test time: 0.013733995612710714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012201472418382764, model_test_time: 0.0015325231943279505
Total test time: 0.013745159143581986 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012219285126775503, model_test_time: 0.0015258740168064833
Total test time: 0.013791120378300548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012259191134944558, model_test_time: 0.0015319292433559895
Total test time: 0.01909131882712245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016918959794566035, model_test_time: 0.0021723590325564146
Total test time: 0.019054895266890526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016902645118534565, model_test_time: 0.002152250148355961
Total test time: 0.019062021980062127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016906070057302713, model_test_time: 0.0021559519227594137
