Namespace(dataset='UNB345_3', feat='iat_size', gs='False', header='False', model='KJL-GMM(full)', time='2021-04-01 01:54:13')
***UNB345_3, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_False/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.005340726114809513 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004432814894244075, model_test_time: 0.0009079112205654383
Total test time: 0.0015089791268110275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010699252597987652, model_test_time: 0.00043905386701226234
Total test time: 0.0026098350062966347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0019566260743886232, model_test_time: 0.0006532089319080114
Total test time: 0.002296073129400611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016286142636090517, model_test_time: 0.0006674588657915592
Total test time: 0.0024018622934818268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017658602446317673, model_test_time: 0.0006360020488500595
Total test time: 0.0013393638655543327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009821548592299223, model_test_time: 0.00035720900632441044
Total test time: 0.0016815073322504759 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012906212359666824, model_test_time: 0.00039088609628379345
Total test time: 0.0014541912823915482 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010338653810322285, model_test_time: 0.0004203259013593197
Total test time: 0.0014827500563114882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010498689953237772, model_test_time: 0.00043288106098771095
Total test time: 0.002044821623712778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013117874041199684, model_test_time: 0.0007330342195928097
Total test time: 0.0019680398982018232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014703168999403715, model_test_time: 0.0004977229982614517
Total test time: 0.0022000563330948353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015682231169193983, model_test_time: 0.000631833216175437
Total test time: 0.004301873035728931 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003895286936312914, model_test_time: 0.00040658609941601753
Total test time: 0.0017470680177211761 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013013349380344152, model_test_time: 0.0004457330796867609
Total test time: 0.0016300198622047901 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012776199728250504, model_test_time: 0.00035239988937973976
Total test time: 0.0020327337551862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014320078771561384, model_test_time: 0.0006007258780300617
Total test time: 0.002420388162136078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001962635200470686, model_test_time: 0.0004577529616653919
Total test time: 0.0014301016926765442 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010841498151421547, model_test_time: 0.0003459518775343895
Total test time: 0.0015477410051971674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010381268803030252, model_test_time: 0.0005096141248941422
Total test time: 0.0014370579738169909 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009916529525071383, model_test_time: 0.0004454050213098526
***1_th repeat
Total test time: 0.002349646994844079 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017443019896745682, model_test_time: 0.0006053450051695108
Total test time: 0.0012753971386700869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009063330944627523, model_test_time: 0.0003690640442073345
Total test time: 0.001898234011605382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012873811647295952, model_test_time: 0.0006108528468757868
Total test time: 0.00153000233694911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011838101781904697, model_test_time: 0.0003461921587586403
Total test time: 0.0012176500167697668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008758599869906902, model_test_time: 0.0003417900297790766
Total test time: 0.0019501601345837116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014603540766984224, model_test_time: 0.0004898060578852892
Total test time: 0.004488404141739011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00366977509111166, model_test_time: 0.0008186290506273508
Total test time: 0.0015952589455991983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012325351126492023, model_test_time: 0.000362723832949996
Total test time: 0.001374460058286786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010278860572725534, model_test_time: 0.00034657400101423264
Total test time: 0.0016861711628735065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001341487979516387, model_test_time: 0.00034468318335711956
Total test time: 0.0013035358861088753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009511369280517101, model_test_time: 0.00035239895805716515
Total test time: 0.001954610226675868 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012320741079747677, model_test_time: 0.0007225361187011003
Total test time: 0.0015840644482523203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012419845443218946, model_test_time: 0.00034207990393042564
Total test time: 0.0012988459784537554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009665170218795538, model_test_time: 0.0003323289565742016
Total test time: 0.001615011366084218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011841482482850552, model_test_time: 0.00043086311779916286
Total test time: 0.001487994333729148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009863523300737143, model_test_time: 0.0005016420036554337
Total test time: 0.0015453929081559181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009434868115931749, model_test_time: 0.0006019060965627432
Total test time: 0.002111145993694663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017460130620747805, model_test_time: 0.0003651329316198826
Total test time: 0.001251209992915392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009277488570660353, model_test_time: 0.00032346113584935665
Total test time: 0.0013695410452783108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001032775966450572, model_test_time: 0.00033676507882773876
***2_th repeat
Total test time: 0.0017955366056412458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001257393741980195, model_test_time: 0.0005381428636610508
