Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-01 01:54:06')
***UNB345_3, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.004756684647873044 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003238226752728224, model_test_time: 0.0015184578951448202
Total test time: 0.0022622293327003717 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001000010408461094, model_test_time: 0.0012622189242392778
Total test time: 0.002601982792839408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009185897652059793, model_test_time: 0.0016833930276334286
Total test time: 0.0025587028358131647 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013579798396676779, model_test_time: 0.0012007229961454868
Total test time: 0.0021038807462900877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010154189076274633, model_test_time: 0.0010884618386626244
Total test time: 0.002507450059056282 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001005401136353612, model_test_time: 0.00150204892270267
Total test time: 0.0031450956594198942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013969207648187876, model_test_time: 0.0017481748946011066
Total test time: 0.004245728021487594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00241018901579082, model_test_time: 0.0018355390056967735
Total test time: 0.002002155873924494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009246079716831446, model_test_time: 0.0010775479022413492
Total test time: 0.0025488059036433697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013336148113012314, model_test_time: 0.0012151910923421383
Total test time: 0.0034505631774663925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017705741338431835, model_test_time: 0.001679989043623209
Total test time: 0.0033028325997292995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015876498073339462, model_test_time: 0.0017151827923953533
Total test time: 0.0033718713093549013 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001477281330153346, model_test_time: 0.0018945899792015553
Total test time: 0.003092316212132573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014638151042163372, model_test_time: 0.001628501107916236
Total test time: 0.002931132446974516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013474931474775076, model_test_time: 0.0015836392994970083
Total test time: 0.0029918677173554897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013635829091072083, model_test_time: 0.0016282848082482815
Total test time: 0.003486080328002572 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002326281974092126, model_test_time: 0.0011597983539104462
Total test time: 0.002047455171123147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009896280243992805, model_test_time: 0.0010578271467238665
Total test time: 0.0022967872209846973 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009725431445986032, model_test_time: 0.001324244076386094
Total test time: 0.009405701188370585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.007699816254898906, model_test_time: 0.0017058849334716797
***1_th repeat
Total test time: 0.004278466105461121 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022078738547861576, model_test_time: 0.002070592250674963
Total test time: 0.0024936047848314047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011150769423693419, model_test_time: 0.0013785278424620628
Total test time: 0.002274889964610338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009126819204539061, model_test_time: 0.0013622080441564322
Total test time: 0.002477804198861122 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009085540659725666, model_test_time: 0.0015692501328885555
Total test time: 0.004027466289699078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013250652700662613, model_test_time: 0.0027024010196328163
Total test time: 0.0037968687247484922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002075368771329522, model_test_time: 0.00172149995341897
Total test time: 0.0024354131892323494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008859911467880011, model_test_time: 0.0015494220424443483
Total test time: 0.003216633340343833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014417651109397411, model_test_time: 0.0017748682294040918
Total test time: 0.0022279282566159964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009043212048709393, model_test_time: 0.001323607051745057
Total test time: 0.00223803729750216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008903390262275934, model_test_time: 0.0013476982712745667
Total test time: 0.0022578188218176365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008905157446861267, model_test_time: 0.0013673030771315098
Total test time: 0.002438961062580347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008987782057374716, model_test_time: 0.0015401828568428755
Total test time: 0.0031188149005174637 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001732013886794448, model_test_time: 0.0013868010137230158
Total test time: 0.002193840453401208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008971127681434155, model_test_time: 0.0012967276852577925
Total test time: 0.002641211962327361 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010631917975842953, model_test_time: 0.0015780201647430658
