Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-GMM(full)', time='2021-04-01 01:54:17')
***UNB345_3, KJL-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.008851251332089305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00811624526977539, model_test_time: 0.0007350060623139143
Total test time: 0.010059498250484467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.009459122084081173, model_test_time: 0.0006003761664032936
Total test time: 0.0018820376135408878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013763757888227701, model_test_time: 0.0005056618247181177
Total test time: 0.012066227849572897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01142413099296391, model_test_time: 0.0006420968566089869
Total test time: 0.002184014767408371 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001645339885726571, model_test_time: 0.0005386748816817999
Total test time: 0.0021368672605603933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016513252630829811, model_test_time: 0.0004855419974774122
Total test time: 0.0038108148146420717 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.003205668879672885, model_test_time: 0.0006051459349691868
Total test time: 0.0016089698765426874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011711050756275654, model_test_time: 0.00043786480091512203
Total test time: 0.0015883499290794134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001114922109991312, model_test_time: 0.0004734278190881014
Total test time: 0.0018041578587144613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012162798084318638, model_test_time: 0.0005878780502825975
Total test time: 0.03152873273938894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02370232157409191, model_test_time: 0.007826411165297031
Total test time: 0.001923867966979742 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001348922960460186, model_test_time: 0.000574945006519556
Total test time: 0.011450676247477531 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010736593045294285, model_test_time: 0.0007140832021832466
Total test time: 0.015342603670433164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014650359749794006, model_test_time: 0.0006922439206391573
Total test time: 0.0017466428689658642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013109110295772552, model_test_time: 0.00043573183938860893
Total test time: 0.0019990657456219196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001435896847397089, model_test_time: 0.0005631688982248306
Total test time: 0.003579262178391218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002752294996753335, model_test_time: 0.0008269671816378832
Total test time: 0.001758377067744732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012691710144281387, model_test_time: 0.0004892060533165932
Total test time: 0.0023408830165863037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001821722835302353, model_test_time: 0.0005191601812839508
Total test time: 0.0017096633091568947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012291481252759695, model_test_time: 0.0004805151838809252
***1_th repeat
Total test time: 0.0022575599141418934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0017491776961833239, model_test_time: 0.0005083822179585695
Total test time: 0.002841163892298937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0022064149379730225, model_test_time: 0.0006347489543259144
Total test time: 0.007401904324069619 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.006866124225780368, model_test_time: 0.0005357800982892513
Total test time: 0.005829730071127415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.005014398135244846, model_test_time: 0.0008153319358825684
Total test time: 0.0017139429692178965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013199150562286377, model_test_time: 0.00039402791298925877
Total test time: 0.002585406880825758 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002118463860824704, model_test_time: 0.0004669430200010538
Total test time: 0.008473650785163045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.007889058673754334, model_test_time: 0.0005845921114087105
Total test time: 0.008806500118225813 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0075921190436929464, model_test_time: 0.0012143810745328665
Total test time: 0.008752570953220129 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.008115143049508333, model_test_time: 0.0006374279037117958
Total test time: 0.002254816936329007 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001636694883927703, model_test_time: 0.0006181220524013042
Total test time: 0.0028580729849636555 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0023371600545942783, model_test_time: 0.0005209129303693771
Total test time: 0.009943478973582387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.008818011032417417, model_test_time: 0.0011254679411649704
Total test time: 0.0017216813284903765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012349411845207214, model_test_time: 0.00048674014396965504
Total test time: 0.0025161392986774445 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002157669048756361, model_test_time: 0.00035847024992108345
Total test time: 0.004013790050521493 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0035324569325894117, model_test_time: 0.0004813331179320812
Total test time: 0.007835678290575743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0074347329791635275, model_test_time: 0.00040094531141221523
Total test time: 0.011172024765983224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01060895575210452, model_test_time: 0.0005630690138787031
Total test time: 0.002526193158701062 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021383112762123346, model_test_time: 0.00038788188248872757
Total test time: 0.002883985172957182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002385527128353715, model_test_time: 0.000498458044603467
Total test time: 0.00255286181345582 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0021481818985193968, model_test_time: 0.0004046799149364233
***2_th repeat
