Namespace(dataset='UNB345_3', feat='iat_size', gs='False', header='False', model='KJL-QS-init_GMM(diag)', time='2021-04-01 07:40:31')
***UNB345_3, KJL-QS-init_GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_False/KJL-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.01694399514235556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014605509117245674, model_test_time: 0.002338486025109887
Total test time: 0.014270811341702938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012423926964402199, model_test_time: 0.0018468843773007393
Total test time: 0.014321793802082539 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012479037744924426, model_test_time: 0.0018427560571581125
Total test time: 0.014316756278276443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012458168203011155, model_test_time: 0.0018585880752652884
Total test time: 0.014325775438919663 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012463705148547888, model_test_time: 0.0018620702903717756
Total test time: 0.014251461019739509 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239078096114099, model_test_time: 0.0018606800585985184
Total test time: 0.014323961222544312 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012407947098836303, model_test_time: 0.0019160141237080097
Total test time: 0.014341811649501324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124876678455621, model_test_time: 0.0018541438039392233
Total test time: 0.014374069171026349 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012525795958936214, model_test_time: 0.0018482732120901346
Total test time: 0.014347015181556344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012509371154010296, model_test_time: 0.0018376440275460482
Total test time: 0.014422568958252668 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012569832149893045, model_test_time: 0.001852736808359623
Total test time: 0.0143275351729244 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01248048315756023, model_test_time: 0.00184705201536417
Total test time: 0.014290108112618327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012440205086022615, model_test_time: 0.0018499030265957117
Total test time: 0.014349088771268725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012506536906585097, model_test_time: 0.001842551864683628
Total test time: 0.014382384018972516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012549351202324033, model_test_time: 0.0018330328166484833
Total test time: 0.014324939576908946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012472109869122505, model_test_time: 0.0018528297077864408
Total test time: 0.014307016041129827 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012458927929401398, model_test_time: 0.0018480881117284298
Total test time: 0.01420244388282299 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012352002784609795, model_test_time: 0.0018504410982131958
Total test time: 0.014209500048309565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012358633102849126, model_test_time: 0.0018508669454604387
Total test time: 0.014242960838600993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012405390851199627, model_test_time: 0.0018375699874013662
***1_th repeat
Total test time: 0.0208067970816046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017682143952697515, model_test_time: 0.0031246531289070845
Total test time: 0.0202600690536201 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017158434027805924, model_test_time: 0.0031016350258141756
Total test time: 0.020235033007338643 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017187359975650907, model_test_time: 0.0030476730316877365
Total test time: 0.018821931909769773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669962820596993, model_test_time: 0.002122303703799844
Total test time: 0.01474120793864131 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012596404878422618, model_test_time: 0.002144803060218692
