Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='KJL-QS-init_GMM(full)', time='2021-04-01 07:41:53')
***UNB345_3, KJL-QS-init_GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/KJL-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.022142234025523067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014516347087919712, model_test_time: 0.0076258869376033545
Total test time: 0.01904589287005365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011518781771883368, model_test_time: 0.0075271110981702805
Total test time: 0.018936453154310584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01147535815834999, model_test_time: 0.007461094995960593
Total test time: 0.019133781548589468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011532263597473502, model_test_time: 0.007601517951115966
Total test time: 0.01900559780187905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011554948054254055, model_test_time: 0.007450649747624993
Total test time: 0.019044283078983426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011523227207362652, model_test_time: 0.007521055871620774
Total test time: 0.019140947377309203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01157239219173789, model_test_time: 0.007568555185571313
Total test time: 0.01895489590242505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011527559952810407, model_test_time: 0.007427335949614644
Total test time: 0.01898048771545291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011535429861396551, model_test_time: 0.007445057854056358
Total test time: 0.019056320656090975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011648168787360191, model_test_time: 0.0074081518687307835
Total test time: 0.01908413367345929 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0116096509154886, model_test_time: 0.007474482757970691
Total test time: 0.019099671160802245 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011599817080423236, model_test_time: 0.007499854080379009
Total test time: 0.018990062410011888 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01153193018399179, model_test_time: 0.007458132226020098
Total test time: 0.018904471769928932 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01149337599053979, model_test_time: 0.007411095779389143
Total test time: 0.019094001967459917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011566743021830916, model_test_time: 0.007527258945629001
Total test time: 0.019073078874498606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011631021043285728, model_test_time: 0.007442057831212878
Total test time: 0.0189777291379869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011478506028652191, model_test_time: 0.007499223109334707
Total test time: 0.019013968063518405 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011594872921705246, model_test_time: 0.007419095141813159
Total test time: 0.01904780208133161 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01158487400971353, model_test_time: 0.00746292807161808
Total test time: 0.019013728480786085 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011559115257114172, model_test_time: 0.007454613223671913
***1_th repeat
Total test time: 0.022282099816948175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012604998890310526, model_test_time: 0.00967710092663765
Total test time: 0.02697981195524335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017016643192619085, model_test_time: 0.009963168762624264
Total test time: 0.026890517910942435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016935552936047316, model_test_time: 0.00995496497489512
Total test time: 0.023679756093770266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0169460519682616, model_test_time: 0.006733704125508666
Total test time: 0.018963598646223545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012221673969179392, model_test_time: 0.006741924677044153
Total test time: 0.019021025160327554 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012332672253251076, model_test_time: 0.006688352907076478
Total test time: 0.019037099787965417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012238563969731331, model_test_time: 0.006798535818234086
Total test time: 0.021869814256206155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012267470126971602, model_test_time: 0.009602344129234552
Total test time: 0.026885573053732514 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017039735103026032, model_test_time: 0.009845837950706482
Total test time: 0.026770852971822023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016879718750715256, model_test_time: 0.009891134221106768
Total test time: 0.026802111882716417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016913514817133546, model_test_time: 0.009888597065582871
Total test time: 0.026682058814913034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016853312961757183, model_test_time: 0.009828745853155851
