Namespace(dataset='UNB345_3', feat='iat_size', gs='False', header='False', model='Nystrom-GMM(full)', time='2021-04-01 07:39:07')
***UNB345_3, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01625080476514995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014626562828198075, model_test_time: 0.0016242419369518757
Total test time: 0.014033555751666427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012527108658105135, model_test_time: 0.0015064470935612917
Total test time: 0.013957875082269311 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012464815052226186, model_test_time: 0.0014930600300431252
Total test time: 0.013943928992375731 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012442185776308179, model_test_time: 0.0015017432160675526
Total test time: 0.01388833811506629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012391834985464811, model_test_time: 0.0014965031296014786
Total test time: 0.013889892725273967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012386241927742958, model_test_time: 0.0015036507975310087
Total test time: 0.013936410890892148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012394907884299755, model_test_time: 0.001541503006592393
Total test time: 0.013898375211283565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012344058137387037, model_test_time: 0.0015543170738965273
Total test time: 0.013937614625319839 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012396852718666196, model_test_time: 0.0015407619066536427
Total test time: 0.013956039678305387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012397074839100242, model_test_time: 0.0015589648392051458
Total test time: 0.013873688876628876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012364760041236877, model_test_time: 0.0015089288353919983
Total test time: 0.013871353585273027 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012357462663203478, model_test_time: 0.0015138909220695496
Total test time: 0.013846412999555469 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012343334965407848, model_test_time: 0.0015030780341476202
Total test time: 0.013898560078814626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012396370992064476, model_test_time: 0.0015021890867501497
Total test time: 0.013890152797102928 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012385259848088026, model_test_time: 0.0015048929490149021
Total test time: 0.013826783979311585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012323335744440556, model_test_time: 0.0015034482348710299
Total test time: 0.01385435601696372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012347741983830929, model_test_time: 0.0015066140331327915
Total test time: 0.013862265041097999 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012348317075520754, model_test_time: 0.0015139479655772448
Total test time: 0.013904855586588383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012392426375299692, model_test_time: 0.0015124292112886906
Total test time: 0.013869744958356023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012362963985651731, model_test_time: 0.0015067809727042913
***1_th repeat
Total test time: 0.014159668004140258 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01263627503067255, model_test_time: 0.0015233929734677076
Total test time: 0.013871857896447182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012349466094747186, model_test_time: 0.001522391801699996
Total test time: 0.013840078609064221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012326057767495513, model_test_time: 0.0015140208415687084
Total test time: 0.013870874885469675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012355130864307284, model_test_time: 0.0015157440211623907
Total test time: 0.013890726258978248 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012370019219815731, model_test_time: 0.0015207070391625166
Total test time: 0.013906930107623339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012403297238051891, model_test_time: 0.0015036328695714474
Total test time: 0.013963207369670272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012455444317311049, model_test_time: 0.0015077630523592234
Total test time: 0.013967187842354178 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124496107455343, model_test_time: 0.0015175770968198776
Total test time: 0.014013685984537005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012509200954809785, model_test_time: 0.0015044850297272205
Total test time: 0.013990872073918581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012472387170419097, model_test_time: 0.001518484903499484
Total test time: 0.013901613419875503 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012396907201036811, model_test_time: 0.0015047062188386917
Total test time: 0.013944522012025118 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124266492202878, model_test_time: 0.001517872791737318
Total test time: 0.013947781175374985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012434721924364567, model_test_time: 0.001513059251010418
Total test time: 0.01398729719221592 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01242766622453928, model_test_time: 0.0015596309676766396
Total test time: 0.013943873811513186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012362260837107897, model_test_time: 0.0015816129744052887
Total test time: 0.01405572285875678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012482405873015523, model_test_time: 0.0015733169857412577
Total test time: 0.01399152004159987 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012433389201760292, model_test_time: 0.0015581308398395777
Total test time: 0.01390419015660882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012395371217280626, model_test_time: 0.0015088189393281937
Total test time: 0.01394818932749331 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012433963129296899, model_test_time: 0.0015142261981964111
Total test time: 0.013894541887566447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012379945954307914, model_test_time: 0.0015145959332585335
***2_th repeat
Total test time: 0.014345347182825208 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012765344930812716, model_test_time: 0.0015800022520124912
Total test time: 0.014042296912521124 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012448796071112156, model_test_time: 0.001593500841408968
Total test time: 0.014004243072122335 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01246279594488442, model_test_time: 0.001541447127237916
Total test time: 0.01397507730871439 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012468683999031782, model_test_time: 0.0015063933096826077
Total test time: 0.01393013447523117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01243242621421814, model_test_time: 0.001497708261013031
Total test time: 0.013947411440312862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012449740199372172, model_test_time: 0.00149767124094069
Total test time: 0.013915207935497165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012415556004270911, model_test_time: 0.0014996519312262535
Total test time: 0.013969372026622295 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012486721156165004, model_test_time: 0.0014826508704572916
Total test time: 0.013980743009597063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01247918396256864, model_test_time: 0.0015015590470284224
Total test time: 0.013948614476248622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012435870245099068, model_test_time: 0.0015127442311495543
Total test time: 0.013908281922340393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012413853080943227, model_test_time: 0.0014944288413971663
Total test time: 0.013892949325963855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012387057300657034, model_test_time: 0.0015058920253068209
Total test time: 0.013903058832511306 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012399332830682397, model_test_time: 0.001503726001828909
Total test time: 0.013908503809943795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012413499876856804, model_test_time: 0.0014950039330869913
Total test time: 0.01398187200538814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012488146079704165, model_test_time: 0.0014937259256839752
Total test time: 0.014007889898493886 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012506274739280343, model_test_time: 0.001501615159213543
Total test time: 0.01399394404143095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012493719812482595, model_test_time: 0.0015002242289483547
Total test time: 0.0140139264985919 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012512719491496682, model_test_time: 0.0015012070070952177
Total test time: 0.014028687262907624 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012533701257780194, model_test_time: 0.00149498600512743
Total test time: 0.01401718589477241 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012516423827037215, model_test_time: 0.0015007620677351952
***3_th repeat
Total test time: 0.012869044207036495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01137074502184987, model_test_time: 0.0014982991851866245
Total test time: 0.014018445974215865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012520794058218598, model_test_time: 0.0014976519159972668
Total test time: 0.014007704798132181 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012507256818935275, model_test_time: 0.001500447979196906
Total test time: 0.013984743040055037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012482537189498544, model_test_time: 0.0015022058505564928
Total test time: 0.014014298096299171 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012520276010036469, model_test_time: 0.001494022086262703
Total test time: 0.013996260007843375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012485572136938572, model_test_time: 0.0015106878709048033
Total test time: 0.014019038528203964 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012459184741601348, model_test_time: 0.0015598537866026163
Total test time: 0.014029723359271884 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012473129201680422, model_test_time: 0.0015565941575914621
Total test time: 0.014011574909090996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012450888054445386, model_test_time: 0.0015606868546456099
Total test time: 0.01401811302639544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012449647998437285, model_test_time: 0.0015684650279581547
Total test time: 0.01396148488856852 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012451073853299022, model_test_time: 0.0015104110352694988
Total test time: 0.013966207159683108 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01245794421993196, model_test_time: 0.0015082629397511482
Total test time: 0.019394954899325967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017271501943469048, model_test_time: 0.0021234529558569193
Total test time: 0.019467436708509922 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01734529761597514, model_test_time: 0.0021221390925347805
Total test time: 0.019402769627049565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017208873759955168, model_test_time: 0.0021938958670943975
Total test time: 0.01775551144964993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016246434301137924, model_test_time: 0.0015090771485120058
