Namespace(dataset='UNB345_3', feat='stats', gs='False', header='True', model='Nystrom-GMM(full)', time='2021-04-01 07:45:10')
***UNB345_3, Nystrom-GMM(full), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_False/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.016011779895052314 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014353537932038307, model_test_time: 0.0016582419630140066
Total test time: 0.013730682199820876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012194400187581778, model_test_time: 0.0015362820122390985
Total test time: 0.013708292273804545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01217351108789444, model_test_time: 0.0015347811859101057
Total test time: 0.013754219748079777 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01222612289711833, model_test_time: 0.0015280968509614468
Total test time: 0.013814548728987575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012281840667128563, model_test_time: 0.0015327080618590117
Total test time: 0.013810365227982402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012291101971641183, model_test_time: 0.001519263256341219
Total test time: 0.013818123610690236 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012294064741581678, model_test_time: 0.0015240588691085577
Total test time: 0.013829419855028391 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012301953043788671, model_test_time: 0.0015274668112397194
Total test time: 0.013806529808789492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012279896764084697, model_test_time: 0.0015266330447047949
Total test time: 0.013709366088733077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012184492079541087, model_test_time: 0.00152487400919199
Total test time: 0.013688849285244942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012093921191990376, model_test_time: 0.0015949280932545662
Total test time: 0.013768827309831977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012183659244328737, model_test_time: 0.0015851680655032396
Total test time: 0.013774310238659382 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012240732088685036, model_test_time: 0.0015335781499743462
Total test time: 0.01377255143597722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01224989932961762, model_test_time: 0.001522652106359601
Total test time: 0.013650201028212905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012113753240555525, model_test_time: 0.00153644778765738
