Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(full)', time='2021-04-01 07:36:01')
***UNB345_3, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.01919364556670189 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014733278658241034, model_test_time: 0.0044603669084608555
Total test time: 0.01664171926677227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012346070492640138, model_test_time: 0.0042956487741321325
Total test time: 0.01661653770133853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01236027549020946, model_test_time: 0.004256262211129069
Total test time: 0.016547054052352905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012292718980461359, model_test_time: 0.004254335071891546
Total test time: 0.016695922939106822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012387866852805018, model_test_time: 0.004308056086301804
Total test time: 0.01669396017678082 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239095814526081, model_test_time: 0.004303002031520009
Total test time: 0.016610775142908096 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012361624976620078, model_test_time: 0.004249150166288018
Total test time: 0.016706164926290512 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012451236136257648, model_test_time: 0.004254928790032864
Total test time: 0.016670812154188752 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0124188840854913, model_test_time: 0.0042519280686974525
Total test time: 0.016656070947647095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0123406071215868, model_test_time: 0.004315463826060295
Total test time: 0.016583904856815934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012330531841143966, model_test_time: 0.0042533730156719685
Total test time: 0.01666879514232278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012413810938596725, model_test_time: 0.004254984203726053
Total test time: 0.016565480502322316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012309552635997534, model_test_time: 0.004255927866324782
Total test time: 0.01676803338341415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012325794203206897, model_test_time: 0.0044422391802072525
Total test time: 0.01667029387317598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012332922779023647, model_test_time: 0.004337371094152331
Total test time: 0.016802254831418395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012571066850796342, model_test_time: 0.004231187980622053
Total test time: 0.016591869993135333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01227592397481203, model_test_time: 0.004315946018323302
Total test time: 0.01668370026163757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01236168248578906, model_test_time: 0.004322017775848508
Total test time: 0.01660514809191227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012310405960306525, model_test_time: 0.004294742131605744
Total test time: 0.016652221092954278 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012398069957271218, model_test_time: 0.00425415113568306
***1_th repeat
Total test time: 0.015940048964694142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012943557929247618, model_test_time: 0.0029964910354465246
Total test time: 0.015624537831172347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01256671384908259, model_test_time: 0.003057823982089758
Total test time: 0.01566703710705042 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012545085046440363, model_test_time: 0.003121952060610056
Total test time: 0.015657019102945924 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012666805181652308, model_test_time: 0.0029902139212936163
Total test time: 0.015602927654981613 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012632934842258692, model_test_time: 0.0029699928127229214
Total test time: 0.015621129656210542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012659710831940174, model_test_time: 0.0029614188242703676
Total test time: 0.015642334707081318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012675397796556354, model_test_time: 0.0029669369105249643
Total test time: 0.015543038956820965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012568602804094553, model_test_time: 0.002974436152726412
Total test time: 0.01551354001276195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0125372891779989, model_test_time: 0.00297625083476305
Total test time: 0.01565179694443941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012617213884368539, model_test_time: 0.0030345830600708723
Total test time: 0.015593519667163491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01256089867092669, model_test_time: 0.003032620996236801
Total test time: 0.01555929915048182 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012589954305440187, model_test_time: 0.0029693448450416327
Total test time: 0.01555315125733614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012590492144227028, model_test_time: 0.002962659113109112
Total test time: 0.015589371090754867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012616267893463373, model_test_time: 0.0029731031972914934
Total test time: 0.015570632414892316 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01261502830311656, model_test_time: 0.002955604111775756
Total test time: 0.015442726202309132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012480882229283452, model_test_time: 0.0029618439730256796
Total test time: 0.015547207091003656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012579937232658267, model_test_time: 0.0029672698583453894
Total test time: 0.015607241075485945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01259682304225862, model_test_time: 0.0030104180332273245
Total test time: 0.015609445981681347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012589287012815475, model_test_time: 0.0030201589688658714
Total test time: 0.015599723206833005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012575713219121099, model_test_time: 0.0030240099877119064
***2_th repeat
Total test time: 0.014174919808283448 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011742435162886977, model_test_time: 0.002432484645396471
