Namespace(dataset='UNB345_3', feat='iat_size', gs='False', header='False', model='Nystrom-QS-init_GMM(full)', time='2021-04-01 07:39:16')
***UNB345_3, Nystrom-QS-init_GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02213757811114192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014618635177612305, model_test_time: 0.007518942933529615
Total test time: 0.019258365035057068 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011779032181948423, model_test_time: 0.0074793328531086445
Total test time: 0.019234957173466682 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011739496141672134, model_test_time: 0.007495461031794548
Total test time: 0.01912746299058199 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011619092896580696, model_test_time: 0.007508370094001293
Total test time: 0.019066056003794074 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01168270199559629, model_test_time: 0.007383354008197784
Total test time: 0.01920575788244605 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011701481183990836, model_test_time: 0.0075042766984552145
Total test time: 0.01911905617453158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011679000221192837, model_test_time: 0.007440055953338742
Total test time: 0.019157979637384415 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011672090739011765, model_test_time: 0.00748588889837265
Total test time: 0.019206443103030324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011820513987913728, model_test_time: 0.007385929115116596
Total test time: 0.019195610424503684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011710369493812323, model_test_time: 0.007485240930691361
Total test time: 0.01910987077280879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011696665780618787, model_test_time: 0.007413204992190003
Total test time: 0.019109071930870414 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011661219876259565, model_test_time: 0.007447852054610848
Total test time: 0.019243180518969893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011861272621899843, model_test_time: 0.00738190789707005
Total test time: 0.019195088651031256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011698385933414102, model_test_time: 0.007496702717617154
Total test time: 0.019158831099048257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011743812123313546, model_test_time: 0.007415018975734711
Total test time: 0.019139834214001894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011645538033917546, model_test_time: 0.007494296180084348
Total test time: 0.019158646930009127 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011759368004277349, model_test_time: 0.007399278925731778
Total test time: 0.0191646465100348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011670442763715982, model_test_time: 0.007494203746318817
Total test time: 0.019158943323418498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011740164365619421, model_test_time: 0.007418778957799077
Total test time: 0.019148850347846746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011705294251441956, model_test_time: 0.007443556096404791
***1_th repeat
Total test time: 0.01950506283901632 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012695567915216088, model_test_time: 0.00680949492380023
Total test time: 0.01923321676440537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012365758884698153, model_test_time: 0.006867457879707217
Total test time: 0.0192047746386379 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012383019784465432, model_test_time: 0.006821754854172468
Total test time: 0.01922379108145833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012419666163623333, model_test_time: 0.006804124917834997
Total test time: 0.019159869756549597 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012342780828475952, model_test_time: 0.006817088928073645
Total test time: 0.01918229297734797 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012388129951432347, model_test_time: 0.006794163025915623
Total test time: 0.019192496547475457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012375444639474154, model_test_time: 0.006817051908001304
Total test time: 0.019224978983402252 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01237364998087287, model_test_time: 0.006851329002529383
Total test time: 0.019241237780079246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01240700064226985, model_test_time: 0.006834237137809396
Total test time: 0.019266348099336028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012440741062164307, model_test_time: 0.0068256070371717215
Total test time: 0.019304995192214847 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012405927060171962, model_test_time: 0.006899068132042885
Total test time: 0.019230311270803213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012421907624229789, model_test_time: 0.006808403646573424
Total test time: 0.01919142296537757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012383185792714357, model_test_time: 0.006808237172663212
Total test time: 0.019239755580201745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239190879277885, model_test_time: 0.006847846787422895
Total test time: 0.0192945699673146 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012457035947591066, model_test_time: 0.006837534019723535
Total test time: 0.019275420345366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012450962327420712, model_test_time: 0.00682445801794529
Total test time: 0.019295771839097142 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01244698092341423, model_test_time: 0.006848790915682912
Total test time: 0.019282013177871704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01245724014006555, model_test_time: 0.006824773037806153
Total test time: 0.019218958681449294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012389592826366425, model_test_time: 0.0068293658550828695
Total test time: 0.019259604858234525 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012428610119968653, model_test_time: 0.006830994738265872
***2_th repeat
Total test time: 0.01904999976977706 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011907177977263927, model_test_time: 0.007142821792513132
Total test time: 0.01933847786858678 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012227969942614436, model_test_time: 0.0071105079259723425
Total test time: 0.019255995750427246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012094470905140042, model_test_time: 0.007161524845287204
Total test time: 0.019263532478362322 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01214989461004734, model_test_time: 0.0071136378683149815
Total test time: 0.01923523866571486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01209993357770145, model_test_time: 0.007135305088013411
Total test time: 0.019223291892558336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012176170945167542, model_test_time: 0.007047120947390795
Total test time: 0.019254403887316585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012110027018934488, model_test_time: 0.007144376868382096
Total test time: 0.019180496921762824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012124876957386732, model_test_time: 0.007055619964376092
Total test time: 0.019259050954133272 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012100822059437633, model_test_time: 0.00715822889469564
Total test time: 0.019270568853244185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012159432983025908, model_test_time: 0.007111135870218277
Total test time: 0.019302252447232604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012152616400271654, model_test_time: 0.00714963604696095
Total test time: 0.019236552994698286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012154692085459828, model_test_time: 0.007081860909238458
Total test time: 0.01920706988312304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012077155988663435, model_test_time: 0.007129913894459605
Total test time: 0.019949220586568117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012178820790722966, model_test_time: 0.007770399795845151
Total test time: 0.027157746022567153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016806069761514664, model_test_time: 0.01035167626105249
Total test time: 0.027054041856899858 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016719829058274627, model_test_time: 0.01033421279862523
Total test time: 0.025292824022471905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016816216986626387, model_test_time: 0.008476607035845518
Total test time: 0.019259939901530743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012196504976600409, model_test_time: 0.007063434924930334
Total test time: 0.019364067120477557 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01219394919462502, model_test_time: 0.007170117925852537
Total test time: 0.01924297772347927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012130933813750744, model_test_time: 0.007112043909728527
***3_th repeat
Total test time: 0.018920095404610038 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01266553159803152, model_test_time: 0.006254563806578517
Total test time: 0.018696472980082035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012474370887503028, model_test_time: 0.006222102092579007
Total test time: 0.01866021193563938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012387759750708938, model_test_time: 0.006272452184930444
Total test time: 0.018622047267854214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012402964057400823, model_test_time: 0.006219083210453391
Total test time: 0.01870469399727881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012383946916088462, model_test_time: 0.006320747081190348
Total test time: 0.01861330703832209 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012402834137901664, model_test_time: 0.006210472900420427
Total test time: 0.01862376998178661 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012338003143668175, model_test_time: 0.006285766838118434
Total test time: 0.018723913934081793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012415388133376837, model_test_time: 0.006308525800704956
Total test time: 0.018632252234965563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012439946178346872, model_test_time: 0.0061923060566186905
Total test time: 0.018702232046052814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01242327899672091, model_test_time: 0.0062789530493319035
Total test time: 0.01861050887964666 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239892584271729, model_test_time: 0.006211583036929369
Total test time: 0.01871363678947091 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01239135186187923, model_test_time: 0.0063222849275916815
Total test time: 0.018584234174340963 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012410242343321443, model_test_time: 0.006173991831019521
Total test time: 0.01864358293823898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012390111805871129, model_test_time: 0.006253471132367849
Total test time: 0.018623864045366645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012412077048793435, model_test_time: 0.00621178699657321
Total test time: 0.018603473901748657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01235427986830473, model_test_time: 0.006249194033443928
Total test time: 0.018751858733594418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012469183886423707, model_test_time: 0.0062826748471707106
Total test time: 0.018683120142668486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012466222047805786, model_test_time: 0.0062168980948626995
Total test time: 0.018685101065784693 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012403463944792747, model_test_time: 0.006281637120991945
Total test time: 0.018658120883628726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012449259869754314, model_test_time: 0.006208861013874412
***4_th repeat
Total test time: 0.019069593166932464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011896901298314333, model_test_time: 0.007172691868618131
Total test time: 0.01924371882341802 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012146543944254518, model_test_time: 0.007097174879163504
Total test time: 0.01919305301271379 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012039304943755269, model_test_time: 0.007153748068958521
Total test time: 0.019272145116701722 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012174988398328424, model_test_time: 0.007097156718373299
Total test time: 0.019243514398112893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01211765524931252, model_test_time: 0.007125859148800373
Total test time: 0.019190164282917976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012110581155866385, model_test_time: 0.007079583127051592
Total test time: 0.019239477114751935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012076506856828928, model_test_time: 0.007162970257923007
Total test time: 0.019178072921931744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012093729805201292, model_test_time: 0.007084343116730452
Total test time: 0.019276290899142623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012094469973817468, model_test_time: 0.007181820925325155
Total test time: 0.02301618899218738 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012638643151149154, model_test_time: 0.010377545841038227
Total test time: 0.026998768327757716 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01662846328690648, model_test_time: 0.010370305040851235
Total test time: 0.027147524990141392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01669120299629867, model_test_time: 0.010456321993842721
Total test time: 0.022056137677282095 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014885111711919308, model_test_time: 0.007171025965362787
Total test time: 0.01921192300505936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012107915012165904, model_test_time: 0.007104007992893457
Total test time: 0.019257570151239634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012103155255317688, model_test_time: 0.007154414895921946
Total test time: 0.019171718740835786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012098673963919282, model_test_time: 0.007073044776916504
Total test time: 0.01920296042226255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012058249209076166, model_test_time: 0.007144711213186383
Total test time: 0.01916008978150785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012070915894582868, model_test_time: 0.007089173886924982
Total test time: 0.019206535769626498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012056824751198292, model_test_time: 0.0071497110184282064
Total test time: 0.019271383062005043 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012196357129141688, model_test_time: 0.007075025932863355
speedup/out/models_res/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_False/Nystrom-QS-init_GMM(full)-std_False_center_False-d_5-full/UNB345_3-Nystrom-QS-init_GMM(full).dat
