UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.5852+/-0.0034,train_time: 0.00000+/-0.00000,test_time: 0.26799+/-0.00077), => aucs:0.5788777777777779-0.5865333333333334-0.5876777777777777-0.5845666666666668-0.5881055555555557, train_times:0-0-0-0-0, test_times:0.26827903592493385-0.26916041315998884-0.26678701671771704-0.2679342075716704-0.26776838799705727, n_comp: -, -, space_sizes: |model_spaces: 962.506-962.506-961.738-962.89-962.89,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.3830+/-0.1971,train_time: 0.00000+/-0.00000,test_time: 0.02335+/-0.00071), => aucs:0.5166222222222224-0.5522833333333332-0.2151555555555555-0.08037222222222226-0.5505222222222221, train_times:0-0-0-0-0, test_times:0.02299779108725488-0.022344391082879157-0.024534811603371055-0.023413914255797863-0.023457947245333344, n_comp: -, -, space_sizes: |model_spaces: 162.509-162.509-162.509-162.557-162.509,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.3702+/-0.1704,train_time: 0.00000+/-0.00000,test_time: 0.02327+/-0.00122), => aucs:0.19606666666666672-0.5769444444444446-0.17214999999999994-0.3549222222222222-0.5507944444444444, train_times:0-0-0-0-0, test_times:0.02405823105946183-0.025227772409562022-0.022345620114356278-0.021890061814337967-0.022824664250947535, n_comp: -, -, space_sizes: |model_spaces: 162.521-162.521-162.521-162.521-162.521,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7962+/-0.0741,train_time: 0.00000+/-0.00000,test_time: 0.01687+/-0.00035), => aucs:0.7846444444444443-0.6564166666666666-0.8501000000000001-0.8540611111111112-0.835538888888889, train_times:0-0-0-0-0, test_times:0.017101151461247355-0.016531976929400116-0.016489213146269322-0.01742366246180609-0.01680190353654325, n_comp: -, -, space_sizes: |model_spaces: 42.541-42.541-42.541-42.541-42.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7647+/-0.1291,train_time: 0.00000+/-0.00000,test_time: 0.01696+/-0.00064), => aucs:0.5923555555555554-0.625188888888889-0.9032166666666666-0.852588888888889-0.8499722222222224, train_times:0-0-0-0-0, test_times:0.017790593579411505-0.016446295473724604-0.01627164746169001-0.01765837662387639-0.01663283691741526, n_comp: -, -, space_sizes: |model_spaces: 42.553-42.553-42.553-42.553-42.553,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8670+/-0.0350,train_time: 0.00000+/-0.00000,test_time: 0.01905+/-0.00104), => aucs:0.864022222222222-0.8163888888888889-0.9248555555555557-0.8747777777777778-0.8549444444444447, train_times:0-0-0-0-0, test_times:0.01954159347806126-0.020888871350325643-0.018204763741232456-0.01831693316344172-0.018289112416096032, n_comp: -, -, space_sizes: |model_spaces: 43.536-44.531-43.536-43.536-43.288,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9224+/-0.0373,train_time: 0.00000+/-0.00000,test_time: 0.02462+/-0.00046), => aucs:0.8873555555555555-0.9137111111111113-0.9658833333333335-0.9660166666666669-0.879061111111111, train_times:0-0-0-0-0, test_times:0.024240376893430948-0.024486279068514704-0.02521145421778783-0.024070955719798802-0.025098233052995057, n_comp: -, -, space_sizes: |model_spaces: 47.271-47.271-47.271-46.775-47.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.5896+/-0.0245,train_time: 0.00000+/-0.00000,test_time: 0.25825+/-0.00080), => aucs:0.564188888888889-0.5829777777777778-0.5831111111111114-0.5811888888888889-0.6365333333333332, train_times:0-0-0-0-0, test_times:0.2590413736994378-0.25781147899106144-0.25776032174471764-0.257295215211343-0.2593627644237131, n_comp: -, -, space_sizes: |model_spaces: 481.546-481.354-481.354-481.354-481.354,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4394+/-0.0643,train_time: 0.00000+/-0.00000,test_time: 0.02294+/-0.00040), => aucs:0.5385277777777778-0.4578444444444445-0.45134444444444444-0.4058777777777777-0.34315555555555555, train_times:0-0-0-0-0, test_times:0.02312158897984773-0.022597325046081095-0.023361040011513977-0.023273702547885477-0.02232990915654227, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.309-143.309-143.309,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
