UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.6196+/-0.0259,train_time: 0.00000+/-0.00000,test_time: 0.23547+/-0.00195), => aucs:0.5980833333333334-0.6126222222222223-0.5996666666666666-0.668922222222222-0.6189444444444445, train_times:0-0-0-0-0, test_times:0.23770534448558464-0.23222639880841597-0.23515622607665138-0.2349875752814114-0.237254197394941, n_comp: -, -, space_sizes: |model_spaces: 974.41-972.49-975.562-974.794-977.098,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7265+/-0.0323,train_time: 0.00000+/-0.00000,test_time: 0.02377+/-0.00068), => aucs:0.7550000000000001-0.6816666666666666-0.7696222222222223-0.7219333333333335-0.7041666666666664, train_times:0-0-0-0-0, test_times:0.02458839867031202-0.02295911768451333-0.024570428777951746-0.023280399700161068-0.02345431607682258, n_comp: -, -, space_sizes: |model_spaces: 163.997-162.557-163.853-166.061-162.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.0168,train_time: 0.00000+/-0.00000,test_time: 0.02286+/-0.00088), => aucs:0.7550000000000001-0.7216666666666669-0.7635555555555554-0.7688444444444442-0.7616666666666667, train_times:0-0-0-0-0, test_times:0.02411574008874595-0.023669131577480584-0.022508806525729598-0.02178452380467206-0.022226678649894895, n_comp: -, -, space_sizes: |model_spaces: 162.617-162.713-162.713-162.665-162.617,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9306+/-0.0140,train_time: 0.00000+/-0.00000,test_time: 0.01857+/-0.00069), => aucs:0.9427444444444444-0.9069499999999998-0.9457388888888891-0.924561111111111-0.9329611111111109, train_times:0-0-0-0-0, test_times:0.018829101370647548-0.019315771025139837-0.01905913882656023-0.017384094349108637-0.018248932878486814, n_comp: -, -, space_sizes: |model_spaces: 44.057-43.881-43.705-43.353-43.177,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9322+/-0.0359,train_time: 0.00000+/-0.00000,test_time: 0.01782+/-0.00063), => aucs:0.9592666666666669-0.9523888888888893-0.9179388888888887-0.8680666666666668-0.9634666666666665, train_times:0-0-0-0-0, test_times:0.017278865166008472-0.018267188325989992-0.01884182608919218-0.017247655906248837-0.0174683699849993, n_comp: -, -, space_sizes: |model_spaces: 42.831-42.831-43.893-42.655-43.717,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9099+/-0.0272,train_time: 0.00000+/-0.00000,test_time: 0.01744+/-0.00071), => aucs:0.8837222222222222-0.9278333333333333-0.8723888888888889-0.9434777777777775-0.9221499999999997, train_times:0-0-0-0-0, test_times:0.017218686651904135-0.016877781471703202-0.018833718972746282-0.017224014468956737-0.017048564506694674, n_comp: -, -, space_sizes: |model_spaces: 42.643-42.643-42.819-42.643-42.731,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9210+/-0.0241,train_time: 0.00000+/-0.00000,test_time: 0.01874+/-0.00022), => aucs:0.930211111111111-0.882-0.9563888888888888-0.9224444444444446-0.9139333333333333, train_times:0-0-0-0-0, test_times:0.018639614630956203-0.018900754023343326-0.018456927489023656-0.018622398376464844-0.019069612887687982, n_comp: -, -, space_sizes: |model_spaces: 44.069-44.069-44.069-44.069-44.069,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6485+/-0.0145,train_time: 0.00000+/-0.00000,test_time: 0.25830+/-0.00087), => aucs:0.6376111111111111-0.6670333333333331-0.6380111111111113-0.665388888888889-0.6346000000000002, train_times:0-0-0-0-0, test_times:0.25859235485550014-0.2575323428492993-0.25903758306521923-0.2570488136610948-0.2592850263463333, n_comp: -, -, space_sizes: |model_spaces: 481.354-481.738-480.97-481.162-480.97,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4949+/-0.0314,train_time: 0.00000+/-0.00000,test_time: 0.02383+/-0.00089), => aucs:0.4889833333333334-0.5407555555555557-0.45066666666666666-0.47671111111111114-0.5172333333333333, train_times:0-0-0-0-0, test_times:0.02394267307827249-0.022875252203084527-0.023333321197424085-0.023525417514611034-0.025482190668117254, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.261-143.357-143.261,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
