UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.6170+/-0.0033,train_time: 0.00000+/-0.00000,test_time: 0.23676+/-0.00140), => aucs:0.6160666666666667-0.6171500000000001-0.6212555555555554-0.6190444444444445-0.6112833333333333, train_times:0-0-0-0-0, test_times:0.236018765787594-0.2364615894504823-0.23519578180275857-0.23935232186922803-0.23676461474969984, n_comp: -, -, space_sizes: |model_spaces: 874.002-876.066-875.034-881.914-881.57,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.5690+/-0.0712,train_time: 0.00000+/-0.00000,test_time: 0.02301+/-0.00091), => aucs:0.4982333333333333-0.6826166666666665-0.5512999999999998-0.6145222222222222-0.49816666666666654, train_times:0-0-0-0-0, test_times:0.023666868277359754-0.0216328063281253-0.024165202176664024-0.0223685706499964-0.023192467598710208, n_comp: -, -, space_sizes: |model_spaces: 158.461-158.461-161.821-160.285-158.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.3982+/-0.0791,train_time: 0.00000+/-0.00000,test_time: 0.02323+/-0.00057), => aucs:0.3944277777777777-0.28086666666666665-0.35426666666666673-0.4495944444444445-0.5117555555555556, train_times:0-0-0-0-0, test_times:0.02338452999247238-0.023899726301897316-0.022411813924554734-0.022741127538029104-0.02373467261204496, n_comp: -, -, space_sizes: |model_spaces: 158.521-158.521-158.665-158.617-158.665,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8313+/-0.0418,train_time: 0.00000+/-0.00000,test_time: 0.01676+/-0.00275), => aucs:0.8206944444444446-0.8776611111111112-0.7559888888888888-0.8496555555555556-0.8524333333333335, train_times:0-0-0-0-0, test_times:0.015250005351845175-0.01562031931243837-0.022239445778541266-0.01508116207551211-0.015624574583489448, n_comp: -, -, space_sizes: |model_spaces: 38.541-38.541-42.763-38.541-38.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8897+/-0.0068,train_time: 0.00000+/-0.00000,test_time: 0.01887+/-0.00179), => aucs:0.8911222222222221-0.8948-0.8777277777777778-0.8970499999999999-0.8878333333333334, train_times:0-0-0-0-0, test_times:0.019142566237132997-0.019599656981881708-0.020667708397377284-0.01543685644865036-0.019507414707913995, n_comp: -, -, space_sizes: |model_spaces: 39.796-40.791-40.791-38.553-40.295,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8006+/-0.0457,train_time: 0.00000+/-0.00000,test_time: 0.02408+/-0.00019), => aucs:0.8462166666666666-0.8403055555555555-0.7582888888888888-0.7340333333333332-0.8239333333333333, train_times:0-0-0-0-0, test_times:0.023750282009132206-0.024147724697832017-0.024075827246997507-0.02408818444237113-0.02434799080947414, n_comp: -, -, space_sizes: |model_spaces: 43.259-43.259-43.259-43.259-43.259,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8758+/-0.0142,train_time: 0.00000+/-0.00000,test_time: 0.02375+/-0.00043), => aucs:0.8955666666666667-0.8849000000000002-0.854727777777778-0.8772722222222222-0.8665888888888886, train_times:0-0-0-0-0, test_times:0.023499215638730676-0.023175282205920668-0.024423359602224082-0.02364013608312234-0.02400956758065149, n_comp: -, -, space_sizes: |model_spaces: 43.271-43.271-43.271-43.271-43.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5999+/-0.0111,train_time: 0.00000+/-0.00000,test_time: 0.25241+/-0.01132), => aucs:0.610588888888889-0.5915222222222223-0.582911111111111-0.6032777777777779-0.6111777777777777, train_times:0-0-0-0-0, test_times:0.26135319578461347-0.238336174946744-0.23877506144344807-0.2622087133815512-0.26137528982944785, n_comp: -, -, space_sizes: |model_spaces: 620.586-623.066-623.562-620.834-620.834,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5413+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.02338+/-0.00069), => aucs:0.5453777777777779-0.5338555555555556-0.5070888888888889-0.5540555555555555-0.5659444444444443, train_times:0-0-0-0-0, test_times:0.02402598476037383-0.02270396873354912-0.023404463508632033-0.024253558728378265-0.02252443741308525, n_comp: -, -, space_sizes: |model_spaces: 148.909-148.957-148.909-148.909-148.909,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6140+/-0.0087,train_time: 0.00000+/-0.00000,test_time: 0.02330+/-0.00045), => aucs:0.6105777777777777-0.6106777777777778-0.6310444444444446-0.606511111111111-0.6111666666666664, train_times:0-0-0-0-0, test_times:0.023732479847967624-0.023730904306285085-0.022578079882077873-0.023464824166148902-0.023013382859062403, n_comp: -, -, space_sizes: |model_spaces: 148.873-148.921-148.969-148.969-148.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5852+/-0.0613,train_time: 0.00000+/-0.00000,test_time: 0.02113+/-0.00258), => aucs:0.5556222222222222-0.7064888888888887-0.5640333333333332-0.561-0.5388777777777778, train_times:0-0-0-0-0, test_times:0.01717866868712008-0.024149506830144673-0.02291623204946518-0.02229338986799121-0.019109613634645937, n_comp: -, -, space_sizes: |model_spaces: 28.941-33.659-33.163-32.667-30.683,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6250+/-0.0199,train_time: 0.00000+/-0.00000,test_time: 0.02094+/-0.00206), => aucs:0.6482333333333334-0.6323666666666666-0.5886666666666667-0.632461111111111-0.6234555555555554, train_times:0-0-0-0-0, test_times:0.023043010930996387-0.022655888984445482-0.01723669935017824-0.020725789130665362-0.02102026732172817, n_comp: -, -, space_sizes: |model_spaces: 32.679-33.175-28.953-31.687-31.687,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.6073+/-0.0343,train_time: 0.00000+/-0.00000,test_time: 0.01820+/-0.00037), => aucs:0.6087222222222224-0.6235222222222221-0.6343777777777777-0.5407666666666666-0.6290444444444445, train_times:0-0-0-0-0, test_times:0.018213847582228482-0.018312409974168987-0.018553591123782097-0.018443124776240438-0.017488737171515823, n_comp: -, -, space_sizes: |model_spaces: 29.688-29.936-29.936-30.435-29.936,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5966+/-0.0329,train_time: 0.00000+/-0.00000,test_time: 0.01868+/-0.00023), => aucs:0.6394444444444446-0.6255944444444446-0.5973555555555556-0.5537055555555557-0.566677777777778, train_times:0-0-0-0-0, test_times:0.018767526524607094-0.018883646349422634-0.018320816732011736-0.01850443857256323-0.018905092286877333, n_comp: -, -, space_sizes: |model_spaces: 30.943-30.447-30.196-30.196-30.196,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9977+/-0.0047,train_time: 0.00000+/-0.00000,test_time: 0.28085+/-0.01808), => aucs:1.0-0.9999777777777782-0.9883333333333335-1.0-0.9999666666666664, train_times:0-0-0-0-0, test_times:0.2899960455019027-0.2886811831616797-0.24471430535195396-0.2906374921556562-0.29020520698977637, n_comp: -, -, space_sizes: |model_spaces: 1601.226-1601.226-1601.866-1601.226-1601.226,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9199+/-0.0246,train_time: 0.00000+/-0.00000,test_time: 0.02451+/-0.00080), => aucs:0.9044999999999999-0.9536111111111112-0.9455999999999998-0.8997444444444443-0.895888888888889, train_times:0-0-0-0-0, test_times:0.025650475244037806-0.024317635397892445-0.023689429415389894-0.025221649336162954-0.023695041018072516, n_comp: -, -, space_sizes: |model_spaces: 188.061-188.061-188.061-188.061-188.061,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9957+/-0.0005,train_time: 0.00000+/-0.00000,test_time: 0.02508+/-0.00061), => aucs:0.9964888888888886-0.9960444444444443-0.9955444444444443-0.9953000000000001-0.9949777777777777, train_times:0-0-0-0-0, test_times:0.02465218093711883-0.024920982762705535-0.02440615096129477-0.025263788050506265-0.026170376979280263, n_comp: -, -, space_sizes: |model_spaces: 188.073-188.073-188.073-188.073-188.121,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9907+/-0.0086,train_time: 0.00000+/-0.00000,test_time: 0.02194+/-0.00259), => aucs:0.9952555555555556-0.9858444444444446-0.9995888888888892-0.9762999999999996-0.9967, train_times:0-0-0-0-0, test_times:0.024365121265873313-0.019197536830324678-0.025476884841918946-0.019246483861934394-0.021403145242948084, n_comp: -, -, space_sizes: |model_spaces: 71.867-68.888-72.859-68.888-69.883,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9889+/-0.0037,train_time: 0.00000+/-0.00000,test_time: 0.02171+/-0.00267), => aucs:0.9916111111111112-0.9853555555555559-0.9931666666666666-0.9837333333333333-0.9906777777777777, train_times:0-0-0-0-0, test_times:0.02362417451804504-0.020898181071970612-0.02546030390076339-0.01761881319107488-0.02095258601475507, n_comp: -, -, space_sizes: |model_spaces: 71.383-69.895-72.375-68.153-69.895,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MAWI1_2020|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MAWI1_2020|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9505+/-0.0396,train_time: 0.00000+/-0.00000,test_time: 0.01928+/-0.00018), => aucs:0.9829777777777776-0.9732777777777779-0.989022222222222-0.8899333333333331-0.9173444444444445, train_times:0-0-0-0-0, test_times:0.01942690248833969-0.019110513536725195-0.019349475542549045-0.019473455508705228-0.01902856145752594, n_comp: -, -, space_sizes: |model_spaces: 69.136-69.136-69.136-69.136-69.136,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9765+/-0.0087,train_time: 0.00000+/-0.00000,test_time: 0.01900+/-0.00046), => aucs:0.9827111111111112-0.9692777777777775-0.9831666666666665-0.9629222222222221-0.9842777777777776, train_times:0-0-0-0-0, test_times:0.018965281022246927-0.019465794321149588-0.01821741022868082-0.019449897727463396-0.01890174807049334, n_comp: -, -, space_sizes: |model_spaces: 69.148-69.148-68.9-69.148-69.148,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.7402+/-0.0347,train_time: 0.00000+/-0.00000,test_time: 0.26497+/-0.00077), => aucs:0.7559333333333332-0.7586444444444445-0.7565333333333333-0.7589555555555557-0.6707444444444446, train_times:0-0-0-0-0, test_times:0.26520253195194526-0.2652443540049717-0.2655655524344184-0.2634625384118408-0.26538412302033976, n_comp: -, -, space_sizes: |model_spaces: 640.842-640.586-640.586-640.586-640.842,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.5865+/-0.0706,train_time: 0.00000+/-0.00000,test_time: 0.02276+/-0.00081), => aucs:0.5839277777777776-0.5950722222222223-0.5142888888888888-0.7129888888888889-0.5259888888888891, train_times:0-0-0-0-0, test_times:0.021645182208158077-0.02374271147418767-0.023413593752775342-0.02198939697118476-0.02301884099142626, n_comp: -, -, space_sizes: |model_spaces: 149.661-149.709-149.901-149.661-149.661,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.7408+/-0.0334,train_time: 0.00000+/-0.00000,test_time: 0.02324+/-0.00072), => aucs:0.755911111111111-0.7586444444444445-0.756522222222222-0.7589555555555557-0.6741222222222222, train_times:0-0-0-0-0, test_times:0.02226667256327346-0.022904090431984513-0.024412252358160913-0.02302520340308547-0.023604067496489734, n_comp: -, -, space_sizes: |model_spaces: 149.721-149.673-149.673-149.673-149.673,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.7022+/-0.0319,train_time: 0.00000+/-0.00000,test_time: 0.01802+/-0.00215), => aucs:0.7003444444444447-0.6796000000000001-0.7438-0.7303333333333335-0.657, train_times:0-0-0-0-0, test_times:0.01697779413079843-0.01745599100831896-0.021975268982350825-0.01812776131555438-0.01557035552104935, n_comp: -, -, space_sizes: |model_spaces: 30.488-30.488-33.467-30.984-29.741,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.6928+/-0.0775,train_time: 0.00000+/-0.00000,test_time: 0.01772+/-0.00156), => aucs:0.7889666666666668-0.6265666666666668-0.7863777777777778-0.6302444444444446-0.6317000000000002, train_times:0-0-0-0-0, test_times:0.020005782193038613-0.017355975566897542-0.018799779354594648-0.017007094249129294-0.015451350028160959, n_comp: -, -, space_sizes: |model_spaces: 30.5-30.5-30.5-29.753-29.753,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MACCDC1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
MACCDC1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.8162+/-0.0574,train_time: 0.00000+/-0.00000,test_time: 0.01873+/-0.00043), => aucs:0.8490666666666666-0.8072666666666667-0.7078444444444443-0.8569222222222223-0.8601222222222222, train_times:0-0-0-0-0, test_times:0.018691232067067177-0.018203237606212497-0.019496016460470854-0.01852603544248268-0.018709193577524274, n_comp: -, -, space_sizes: |model_spaces: 31.235-30.736-31.235-30.984-30.984,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MACCDC1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-31), stats(auc: 0.6312+/-0.0847,train_time: 0.00000+/-0.00000,test_time: 0.01996+/-0.00043), => aucs:0.6222944444444444-0.5463666666666669-0.7400611111111111-0.7148555555555556-0.5322999999999999, train_times:0-0-0-0-0, test_times:0.019898451527114957-0.02013419719878584-0.019785406836308538-0.02064690333791077-0.019324816402513535, n_comp: -, -, space_sizes: |model_spaces: 31.743-31.495-31.991-32.239-31.495,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.9240+/-0.0068,train_time: 0.00000+/-0.00000,test_time: 0.23751+/-0.00530), => aucs:0.9349055555555555-0.9288500000000001-0.9169333333333333-0.9197888888888889-0.9193555555555554, train_times:0-0-0-0-0, test_times:0.23144401990575716-0.23128946156939492-0.2410411793855019-0.2392040447331965-0.2445665194070898, n_comp: -, -, space_sizes: |model_spaces: 621.33-621.826-621.578-621.33-621.578,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.8221+/-0.0036,train_time: 0.00000+/-0.00000,test_time: 0.02342+/-0.00046), => aucs:0.8279166666666666-0.8211611111111111-0.8167611111111113-0.8230944444444445-0.8214833333333335, train_times:0-0-0-0-0, test_times:0.023590817011427134-0.024091835448052733-0.022745763265993445-0.02357035777531564-0.023086573847103865, n_comp: -, -, space_sizes: |model_spaces: 148.861-148.861-148.861-148.861-148.861,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.8654+/-0.0052,train_time: 0.00000+/-0.00000,test_time: 0.02249+/-0.00038), => aucs:0.8695722222222221-0.8619722222222223-0.8677166666666667-0.8569333333333334-0.8708055555555555, train_times:0-0-0-0-0, test_times:0.023099252046085893-0.02267355329822749-0.02235094829229638-0.021952414454426618-0.0223515969584696, n_comp: -, -, space_sizes: |model_spaces: 148.969-148.969-148.873-149.065-149.017,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.9115+/-0.0101,train_time: 0.00000+/-0.00000,test_time: 0.02132+/-0.00276), => aucs:0.8941833333333336-0.9145722222222222-0.9134722222222221-0.9097444444444445-0.9252833333333333, train_times:0-0-0-0-0, test_times:0.023408327728975564-0.02534179304493591-0.017535475257318467-0.019619811326265335-0.020687868108507246, n_comp: -, -, space_sizes: |model_spaces: 33.163-33.659-29.688-30.683-30.683,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.9056+/-0.0041,train_time: 0.00000+/-0.00000,test_time: 0.02281+/-0.00235), => aucs:0.9111833333333333-0.9044611111111112-0.90955-0.9022499999999999-0.9007833333333334, train_times:0-0-0-0-0, test_times:0.02443983908742666-0.024564871669281275-0.024523508548736573-0.018555275886319576-0.021948304725810885, n_comp: -, -, space_sizes: |model_spaces: 33.671-33.175-33.671-30.196-32.183,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
SFRIG1_2020|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
SFRIG1_2020|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
