UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.5852+/-0.0034,train_time: 0.00000+/-0.00000,test_time: 0.07804+/-0.00053), => aucs:0.5788777777777779-0.5865333333333334-0.5876777777777777-0.5845666666666668-0.5881055555555557, train_times:0-0-0-0-0, test_times:0.07709488794207572-0.07847201460972428-0.07799723176285625-0.07860034201294183-0.0780161153525114, n_comp: -, -, space_sizes: |model_spaces: 962.506-962.506-961.738-962.89-962.89,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.3830+/-0.1971,train_time: 0.00000+/-0.00000,test_time: 0.00638+/-0.00314), => aucs:0.5166222222222224-0.5522833333333332-0.21515555555555554-0.08037222222222226-0.5505222222222221, train_times:0-0-0-0-0, test_times:0.012163939233869315-0.007307764049619437-0.0041939251124858854-0.004116856027394533-0.004134210105985403, n_comp: -, -, space_sizes: |model_spaces: 162.509-162.509-162.509-162.557-162.509,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.3702+/-0.1704,train_time: 0.00000+/-0.00000,test_time: 0.00476+/-0.00078), => aucs:0.1960666666666667-0.5769444444444445-0.17214999999999991-0.3549222222222222-0.5507944444444443, train_times:0-0-0-0-0, test_times:0.006312699429690838-0.004322183784097433-0.004431384708732366-0.004371849074959755-0.0043489491567015644, n_comp: -, -, space_sizes: |model_spaces: 162.521-162.521-162.521-162.521-162.521,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.0550+/-0.0589,train_time: 0.00000+/-0.00000,test_time: 0.00326+/-0.00004), => aucs:0.01944444444444447-0.17162777777777777-0.04132777777777782-0.0215611111111111-0.020855555555555554, train_times:0-0-0-0-0, test_times:0.003327582124620676-0.003243150096386671-0.003226426523178816-0.0032562640495598315-0.0032262590713799, n_comp: -, -, space_sizes: |model_spaces: 42.379-42.379-42.379-42.379-42.379,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7541+/-0.1237,train_time: 0.00000+/-0.00000,test_time: 0.00326+/-0.00058), => aucs:0.590611111111111-0.6161555555555557-0.8721166666666667-0.8459444444444445-0.8457444444444444, train_times:0-0-0-0-0, test_times:0.004306800477206707-0.003359020408242941-0.0027237608097493648-0.003203410096466541-0.002730806078761816, n_comp: -, -, space_sizes: |model_spaces: 42.391-42.391-42.391-42.391-42.391,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9328+/-0.0362,train_time: 0.00000+/-0.00000,test_time: 0.00343+/-0.00004), => aucs:0.9469555555555553-0.8609666666666665-0.9490333333333332-0.9589777777777779-0.9481277777777779, train_times:0-0-0-0-0, test_times:0.0034820623695850372-0.0034622951410710812-0.0034044548869132996-0.0034180487506091594-0.0033721928484737873, n_comp: -, -, space_sizes: |model_spaces: 42.731-43.089-42.731-42.731-42.643,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8402+/-0.0476,train_time: 0.00000+/-0.00000,test_time: 0.00378+/-0.00006), => aucs:0.8989833333333334-0.8154-0.8964166666666668-0.7951277777777778-0.7948388888888889, train_times:0-0-0-0-0, test_times:0.003895960748195648-0.0037861429154872894-0.0037706175819039343-0.0037327671423554422-0.003736771084368229, n_comp: -, -, space_sizes: |model_spaces: 44.069-44.069-44.069-43.893-44.069,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.5896+/-0.0245,train_time: 0.00000+/-0.00000,test_time: 0.07707+/-0.00072), => aucs:0.564188888888889-0.5829777777777778-0.5831111111111114-0.5811888888888889-0.6365333333333332, train_times:0-0-0-0-0, test_times:0.07605050429701805-0.07642771052196622-0.07752072382718325-0.07739318422973156-0.0779701117426157, n_comp: -, -, space_sizes: |model_spaces: 481.546-481.354-481.354-481.354-481.354,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4394+/-0.0643,train_time: 0.00000+/-0.00000,test_time: 0.00391+/-0.00049), => aucs:0.5385277777777778-0.4578444444444445-0.45134444444444444-0.4058777777777777-0.34315555555555555, train_times:0-0-0-0-0, test_times:0.004661753121763468-0.0031303737312555315-0.00379141541197896-0.003994602523744106-0.003982745297253132, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.309-143.309-143.309,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4438+/-0.0916,train_time: 0.00000+/-0.00000,test_time: 0.00394+/-0.00028), => aucs:0.47204444444444443-0.39222777777777773-0.6082944444444445-0.3460388888888889-0.4002777777777776, train_times:0-0-0-0-0, test_times:0.004331939574331045-0.003913564141839743-0.004083245806396007-0.0034750981256365778-0.0038869868032634257, n_comp: -, -, space_sizes: |model_spaces: 143.465-143.369-143.369-143.369-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
