UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.5852+/-0.0034,train_time: 0.00000+/-0.00000,test_time: 0.07804+/-0.00053), => aucs:0.5788777777777779-0.5865333333333334-0.5876777777777777-0.5845666666666668-0.5881055555555557, train_times:0-0-0-0-0, test_times:0.07709488794207572-0.07847201460972428-0.07799723176285625-0.07860034201294183-0.0780161153525114, n_comp: -, -, space_sizes: |model_spaces: 962.506-962.506-961.738-962.89-962.89,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.3830+/-0.1971,train_time: 0.00000+/-0.00000,test_time: 0.00638+/-0.00314), => aucs:0.5166222222222224-0.5522833333333332-0.21515555555555554-0.08037222222222226-0.5505222222222221, train_times:0-0-0-0-0, test_times:0.012163939233869315-0.007307764049619437-0.0041939251124858854-0.004116856027394533-0.004134210105985403, n_comp: -, -, space_sizes: |model_spaces: 162.509-162.509-162.509-162.557-162.509,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.3702+/-0.1704,train_time: 0.00000+/-0.00000,test_time: 0.00476+/-0.00078), => aucs:0.1960666666666667-0.5769444444444445-0.17214999999999991-0.3549222222222222-0.5507944444444443, train_times:0-0-0-0-0, test_times:0.006312699429690838-0.004322183784097433-0.004431384708732366-0.004371849074959755-0.0043489491567015644, n_comp: -, -, space_sizes: |model_spaces: 162.521-162.521-162.521-162.521-162.521,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7962+/-0.0741,train_time: 0.00000+/-0.00000,test_time: 0.00458+/-0.00146), => aucs:0.7846444444444443-0.6564166666666666-0.8501000000000001-0.8540611111111112-0.835538888888889, train_times:0-0-0-0-0, test_times:0.007131651882082224-0.003438845928758383-0.0037750814110040663-0.00527663929387927-0.0032715828157961367, n_comp: -, -, space_sizes: |model_spaces: 42.541-42.541-42.541-42.541-42.541,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.7647+/-0.1291,train_time: 0.00000+/-0.00000,test_time: 0.00340+/-0.00008), => aucs:0.5924777777777777-0.625188888888889-0.9032166666666666-0.852588888888889-0.8499722222222224, train_times:0-0-0-0-0, test_times:0.0035202269442379474-0.00331883504986763-0.0034699163399636744-0.0033711864612996577-0.003310254868119955, n_comp: -, -, space_sizes: |model_spaces: 42.553-42.553-42.553-42.553-42.553,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.8670+/-0.0350,train_time: 0.00000+/-0.00000,test_time: 0.00308+/-0.00012), => aucs:0.864022222222222-0.8163888888888889-0.9248555555555557-0.8747777777777778-0.8549444444444447, train_times:0-0-0-0-0, test_times:0.003029061760753393-0.003306282591074705-0.0029874644242227077-0.0031112154945731165-0.00298652034252882, n_comp: -, -, space_sizes: |model_spaces: 43.536-44.531-43.536-43.536-43.288,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-47), iat_size(auc: 0.9224+/-0.0373,train_time: 0.00000+/-0.00000,test_time: 0.00493+/-0.00031), => aucs:0.8873555555555555-0.9137111111111113-0.9658833333333335-0.9660166666666669-0.879061111111111, train_times:0-0-0-0-0, test_times:0.004315865971148014-0.00510519128292799-0.005075816065073013-0.005006454605609179-0.005135889537632466, n_comp: -, -, space_sizes: |model_spaces: 47.271-47.271-47.271-46.775-47.271,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.5896+/-0.0245,train_time: 0.00000+/-0.00000,test_time: 0.07707+/-0.00072), => aucs:0.564188888888889-0.5829777777777778-0.5831111111111114-0.5811888888888889-0.6365333333333332, train_times:0-0-0-0-0, test_times:0.07605050429701805-0.07642771052196622-0.07752072382718325-0.07739318422973156-0.0779701117426157, n_comp: -, -, space_sizes: |model_spaces: 481.546-481.354-481.354-481.354-481.354,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4394+/-0.0643,train_time: 0.00000+/-0.00000,test_time: 0.00391+/-0.00049), => aucs:0.5385277777777778-0.4578444444444445-0.45134444444444444-0.4058777777777777-0.34315555555555555, train_times:0-0-0-0-0, test_times:0.004661753121763468-0.0031303737312555315-0.00379141541197896-0.003994602523744106-0.003982745297253132, n_comp: -, -, space_sizes: |model_spaces: 143.357-143.309-143.309-143.309-143.309,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4438+/-0.0916,train_time: 0.00000+/-0.00000,test_time: 0.00394+/-0.00028), => aucs:0.47204444444444443-0.39222777777777773-0.6082944444444445-0.3460388888888889-0.4002777777777776, train_times:0-0-0-0-0, test_times:0.004331939574331045-0.003913564141839743-0.004083245806396007-0.0034750981256365778-0.0038869868032634257, n_comp: -, -, space_sizes: |model_spaces: 143.465-143.369-143.369-143.369-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
